Datum,Vodostaj [cm],Pretok [m³/s],Temperatura vode [°C]
30.08.2023 00:30,172,4.65,24.1
30.08.2023 00:00,168,4.27,24.1
29.08.2023 23:30,162,3.72,23.3
29.08.2023 23:00,156,3.20,23.6
29.08.2023 22:30,149,2.62,23.4
29.08.2023 22:00,141,2.01,23.4
29.08.2023 21:30,133,1.46,23.2
29.08.2023 21:00,132,1.40,23.1
29.08.2023 20:30,136,1.66,23.1
29.08.2023 20:00,142,2.08,23.3
29.08.2023 19:30,147,2.46,23.8
29.08.2023 19:00,149,2.62,24.1
29.08.2023 18:30,151,2.78,23.3
29.08.2023 18:00,148,2.54,23.8
29.08.2023 17:30,140,1.94,23.2
29.08.2023 17:00,120,0.774,22.9
29.08.2023 16:30,103,0.270,23.6
29.08.2023 16:00,102,0.249,23.9
29.08.2023 15:30,103,0.270,24.2
29.08.2023 15:00,103,0.270,24.5
29.08.2023 14:30,103,0.270,24.5
29.08.2023 14:00,103,0.270,24.4
29.08.2023 13:30,103,0.270,24.1
29.08.2023 13:00,103,0.270,24.0
29.08.2023 12:30,103,0.270,24.0
29.08.2023 12:00,104,0.291,24.1
29.08.2023 11:30,105,0.314,24.2
29.08.2023 11:00,107,0.362,24.3
29.08.2023 10:30,110,0.442,24.4
29.08.2023 10:00,113,0.530,24.6
29.08.2023 09:30,117,0.663,24.8
29.08.2023 09:00,122,0.854,24.9
29.08.2023 08:30,127,1.10,24.9
29.08.2023 08:00,133,1.46,23.9
29.08.2023 07:30,140,1.94,23.8
29.08.2023 07:00,146,2.39,23.7
29.08.2023 06:30,149,2.62,23.3
29.08.2023 06:00,148,2.54,23.7
29.08.2023 05:30,140,1.94,23.0
29.08.2023 05:00,116,0.628,22.9
29.08.2023 04:30,101,0.229,23.0
29.08.2023 04:00,101,0.229,23.1
29.08.2023 03:30,101,0.229,23.2
29.08.2023 03:00,102,0.249,23.4
29.08.2023 02:30,103,0.270,23.6
29.08.2023 02:00,103,0.270,23.7
29.08.2023 01:30,104,0.291,23.8
29.08.2023 01:00,104,0.291,24.0
29.08.2023 00:30,104,0.291,24.3
29.08.2023 00:00,104,0.291,24.7
28.08.2023 23:30,101,0.229,25.0
28.08.2023 23:00,100,0.210,25.3
28.08.2023 22:30,100,0.210,25.5
28.08.2023 22:00,101,0.229,25.7
28.08.2023 21:30,102,0.249,25.9
28.08.2023 21:00,104,0.291,26.1
28.08.2023 20:30,105,0.314,26.3
28.08.2023 20:00,108,0.388,26.5
28.08.2023 19:30,112,0.500,26.7
28.08.2023 19:00,116,0.628,26.8
28.08.2023 18:30,121,0.814,26.8
28.08.2023 18:00,128,1.16,26.8
28.08.2023 17:30,135,1.59,25.8
28.08.2023 17:00,144,2.23,25.6
28.08.2023 16:30,151,2.78,25.3
28.08.2023 16:00,154,3.03,24.6
28.08.2023 15:30,149,2.62,25.3
28.08.2023 15:00,131,1.34,24.7
28.08.2023 14:30,101,0.229,25.0
28.08.2023 14:00,100,0.210,25.0
28.08.2023 13:30,100,0.210,25.2
28.08.2023 13:00,100,0.210,25.1
28.08.2023 12:30,100,0.210,25.0
28.08.2023 12:00,100,0.210,24.7
28.08.2023 11:30,100,0.210,24.4
28.08.2023 11:00,100,0.210,24.1
28.08.2023 10:30,99,0.191,23.9
28.08.2023 10:00,100,0.210,23.8
28.08.2023 09:30,99,0.191,23.7
28.08.2023 09:00,99,0.191,23.7
28.08.2023 08:30,99,0.191,23.6
28.08.2023 08:00,99,0.191,23.6
28.08.2023 07:30,99,0.191,23.6
28.08.2023 07:00,99,0.191,23.7
28.08.2023 06:30,99,0.191,23.9
28.08.2023 06:00,99,0.191,24.1
28.08.2023 05:30,99,0.191,24.2
28.08.2023 05:00,99,0.191,24.4
28.08.2023 04:30,99,0.191,24.6
28.08.2023 04:00,99,0.191,24.8
28.08.2023 03:30,99,0.191,25.0
28.08.2023 03:00,99,0.191,25.2
28.08.2023 02:30,99,0.191,25.3
28.08.2023 02:00,99,0.191,25.5
28.08.2023 01:30,99,0.191,25.7
28.08.2023 01:00,99,0.191,25.9
28.08.2023 00:30,100,0.210,26.0
28.08.2023 00:00,99,0.191,26.0
27.08.2023 23:30,99,0.191,26.1
27.08.2023 23:00,100,0.210,26.3
27.08.2023 22:30,99,0.191,26.4
27.08.2023 22:00,100,0.210,26.5
27.08.2023 21:30,100,0.210,26.7
27.08.2023 21:00,100,0.210,26.8
27.08.2023 20:30,101,0.229,27.0
27.08.2023 20:00,101,0.229,27.1
27.08.2023 19:30,101,0.229,27.3
27.08.2023 19:00,101,0.229,27.5
27.08.2023 18:30,102,0.249,27.6
27.08.2023 18:00,102,0.249,27.9
27.08.2023 17:30,103,0.270,28.0
27.08.2023 17:00,103,0.270,28.1
27.08.2023 16:30,103,0.270,28.1
27.08.2023 16:00,105,0.314,28.0
27.08.2023 15:30,106,0.338,27.9
27.08.2023 15:00,108,0.388,27.6
27.08.2023 14:30,110,0.442,27.4
27.08.2023 14:00,113,0.530,27.1
27.08.2023 13:30,117,0.663,26.8
27.08.2023 13:00,122,0.854,26.5
27.08.2023 12:30,127,1.10,26.1
27.08.2023 12:00,131,1.34,25.9
27.08.2023 11:30,135,1.59,25.9
27.08.2023 11:00,135,1.59,25.8
27.08.2023 10:30,133,1.46,25.8
27.08.2023 10:00,126,1.04,25.8
27.08.2023 09:30,118,0.699,25.8
27.08.2023 09:00,116,0.628,25.8
27.08.2023 08:30,116,0.628,25.9
27.08.2023 08:00,118,0.699,26.0
27.08.2023 07:30,121,0.814,26.1
27.08.2023 07:00,126,1.04,26.1
27.08.2023 06:30,133,1.46,25.0
27.08.2023 06:00,139,1.87,25.0
27.08.2023 05:30,146,2.39,25.1
27.08.2023 05:00,149,2.62,25.0
27.08.2023 04:30,148,2.54,24.6
27.08.2023 04:00,140,1.94,24.1
27.08.2023 03:30,117,0.663,24.6
27.08.2023 03:00,100,0.210,24.9
27.08.2023 02:30,100,0.210,25.1
27.08.2023 02:00,100,0.210,25.3
27.08.2023 01:30,100,0.210,25.4
27.08.2023 01:00,100,0.210,25.6
27.08.2023 00:30,100,0.210,25.8
27.08.2023 00:00,101,0.229,26.0
26.08.2023 23:30,100,0.210,26.1
26.08.2023 23:00,101,0.229,26.3
26.08.2023 22:30,101,0.229,26.5
26.08.2023 22:00,101,0.229,26.6
26.08.2023 21:30,101,0.229,26.7
26.08.2023 21:00,101,0.229,26.8
26.08.2023 20:30,101,0.229,26.9
26.08.2023 20:00,102,0.249,27.0
26.08.2023 19:30,103,0.270,27.1
26.08.2023 19:00,103,0.270,27.2
26.08.2023 18:30,103,0.270,27.2
26.08.2023 18:00,103,0.270,27.4
26.08.2023 17:30,104,0.291,27.5
26.08.2023 17:00,103,0.270,27.5
26.08.2023 16:30,103,0.270,27.5
26.08.2023 16:00,103,0.270,27.5
26.08.2023 15:30,103,0.270,27.4
26.08.2023 15:00,103,0.270,27.3
26.08.2023 14:30,103,0.270,27.1
26.08.2023 14:00,103,0.270,26.9
26.08.2023 13:30,103,0.270,26.6
26.08.2023 13:00,103,0.270,26.4
26.08.2023 12:30,103,0.270,26.1
26.08.2023 12:00,102,0.249,25.8
26.08.2023 11:30,102,0.249,25.4
26.08.2023 11:00,102,0.249,25.0
26.08.2023 10:30,102,0.249,24.7
26.08.2023 10:00,102,0.249,24.5
26.08.2023 09:30,102,0.249,24.2
26.08.2023 09:00,101,0.229,24.1
26.08.2023 08:30,101,0.229,23.9
26.08.2023 08:00,101,0.229,23.9
26.08.2023 07:30,101,0.229,23.9
26.08.2023 07:00,101,0.229,24.0
26.08.2023 06:30,101,0.229,24.2
26.08.2023 06:00,101,0.229,24.3
26.08.2023 05:30,101,0.229,24.5
26.08.2023 05:00,101,0.229,24.7
26.08.2023 04:30,101,0.229,24.9
26.08.2023 04:00,101,0.229,25.0
26.08.2023 03:30,101,0.229,25.2
26.08.2023 03:00,101,0.229,25.4
26.08.2023 02:30,101,0.229,25.7
26.08.2023 02:00,101,0.229,25.9
26.08.2023 01:30,101,0.229,26.0
26.08.2023 01:00,101,0.229,26.2
26.08.2023 00:30,101,0.229,26.4
26.08.2023 00:00,101,0.229,26.5
25.08.2023 23:30,101,0.229,26.6
25.08.2023 23:00,101,0.229,26.7
25.08.2023 22:30,102,0.249,26.8
25.08.2023 22:00,102,0.249,26.9
25.08.2023 21:30,102,0.249,27.0
25.08.2023 21:00,102,0.249,27.1
