Datum,Vodostaj [cm],Pretok [m³/s],Temperatura vode [°C]
31.07.2023 01:30,119,0.018,10.5
31.07.2023 02:00,119,0.018,10.4
31.07.2023 02:30,119,0.018,10.2
31.07.2023 03:00,119,0.018,10.1
31.07.2023 03:30,119,0.018,10.1
31.07.2023 04:00,119,0.018,10.0
31.07.2023 04:30,119,0.018,10.0
31.07.2023 05:00,119,0.018,10.0
31.07.2023 05:30,119,0.018,9.9
31.07.2023 06:00,119,0.018,9.9
31.07.2023 06:30,119,0.018,10.0
31.07.2023 07:00,119,0.018,10.0
31.07.2023 07:30,119,0.018,10.2
31.07.2023 08:00,119,0.018,10.6
31.07.2023 08:30,119,0.018,10.9
31.07.2023 09:00,128,0.058,9.3
31.07.2023 09:30,119,0.018,12.1
31.07.2023 10:00,119,0.018,13.2
31.07.2023 10:30,119,0.018,13.3
31.07.2023 11:00,119,0.018,13.3
31.07.2023 11:30,119,0.018,13.1
31.07.2023 12:00,119,0.018,12.7
31.07.2023 12:30,119,0.018,12.9
31.07.2023 13:00,119,0.018,13.2
31.07.2023 13:30,119,0.018,13.7
31.07.2023 14:00,119,0.018,13.9
31.07.2023 14:30,119,0.018,14.0
31.07.2023 15:00,119,0.018,13.7
31.07.2023 15:30,119,0.018,13.5
31.07.2023 16:00,119,0.018,13.5
31.07.2023 16:30,119,0.018,13.4
31.07.2023 17:00,119,0.018,13.2
31.07.2023 17:30,119,0.018,12.9
31.07.2023 18:00,119,0.018,12.7
31.07.2023 18:30,119,0.018,12.3
31.07.2023 19:00,119,0.018,11.8
31.07.2023 19:30,119,0.018,11.3
31.07.2023 20:00,119,0.018,10.9
31.07.2023 20:30,119,0.018,10.6
31.07.2023 21:00,118,0.014,10.5
31.07.2023 21:30,118,0.014,10.2
31.07.2023 22:00,118,0.014,10.1
31.07.2023 22:30,118,0.014,10.0
31.07.2023 23:00,118,0.014,9.9
31.07.2023 23:30,118,0.014,9.8
01.08.2023 00:00,118,0.014,9.8
01.08.2023 00:30,118,0.014,9.8
01.08.2023 01:00,118,0.014,9.8
01.08.2023 01:30,118,0.014,9.8
01.08.2023 02:00,118,0.014,9.9
01.08.2023 02:30,118,0.014,9.9
01.08.2023 03:00,118,0.014,9.9
01.08.2023 03:30,118,0.014,9.9
01.08.2023 04:00,118,0.014,9.8
01.08.2023 04:30,118,0.014,9.6
01.08.2023 05:00,118,0.014,9.6
01.08.2023 05:30,118,0.014,9.5
01.08.2023 06:00,118,0.014,9.5
01.08.2023 06:30,118,0.014,9.7
01.08.2023 07:00,118,0.014,9.8
01.08.2023 07:30,118,0.014,10.1
01.08.2023 08:00,118,0.014,10.1
01.08.2023 08:30,118,0.014,10.4
01.08.2023 09:00,118,0.014,10.6
01.08.2023 09:30,118,0.014,10.5
01.08.2023 10:00,118,0.014,10.7
01.08.2023 10:30,118,0.014,10.7
01.08.2023 11:00,118,0.014,10.4
01.08.2023 11:30,118,0.014,10.2
01.08.2023 12:00,118,0.014,11.1
01.08.2023 12:30,118,0.014,11.5
01.08.2023 13:00,118,0.014,12.0
01.08.2023 13:30,118,0.014,12.3
01.08.2023 14:00,118,0.014,12.1
01.08.2023 14:30,118,0.014,11.8
01.08.2023 15:00,118,0.014,11.6
01.08.2023 15:30,118,0.014,11.2
01.08.2023 16:00,118,0.014,11.1
01.08.2023 16:30,118,0.014,11.3
01.08.2023 17:00,118,0.014,11.4
01.08.2023 17:30,118,0.014,11.2
01.08.2023 18:00,118,0.014,11.0
01.08.2023 18:30,118,0.014,10.8
01.08.2023 19:00,118,0.014,10.6
01.08.2023 19:30,118,0.014,10.4
01.08.2023 20:00,118,0.014,10.3
01.08.2023 20:30,120,0.022,10.6
01.08.2023 21:00,119,0.018,11.2
01.08.2023 21:30,119,0.018,11.0
01.08.2023 22:00,119,0.018,10.8
01.08.2023 22:30,119,0.018,10.7
01.08.2023 23:00,118,0.014,10.4
01.08.2023 23:30,118,0.014,10.1
02.08.2023 00:00,118,0.014,10.1
02.08.2023 00:30,118,0.014,9.9
02.08.2023 01:00,118,0.014,9.8
02.08.2023 01:30,118,0.014,9.8
02.08.2023 02:00,118,0.014,9.9
02.08.2023 02:30,118,0.014,9.9
02.08.2023 03:00,118,0.014,9.8
02.08.2023 03:30,118,0.014,9.9
02.08.2023 04:00,118,0.014,9.8
02.08.2023 04:30,118,0.014,9.7
02.08.2023 05:00,118,0.014,9.7
02.08.2023 05:30,118,0.014,9.6
02.08.2023 06:00,118,0.014,9.5
02.08.2023 06:30,118,0.014,9.5
02.08.2023 07:00,118,0.014,9.5
02.08.2023 07:30,118,0.014,9.5
02.08.2023 08:00,118,0.014,9.6
02.08.2023 08:30,118,0.014,10.0
02.08.2023 09:00,118,0.014,10.6
02.08.2023 09:30,118,0.014,10.9
02.08.2023 10:00,118,0.014,11.3
02.08.2023 10:30,118,0.014,11.3
02.08.2023 11:00,118,0.014,11.4
02.08.2023 11:30,118,0.014,11.9
02.08.2023 12:00,118,0.014,12.1
02.08.2023 12:30,118,0.014,12.1
02.08.2023 13:00,118,0.014,12.4
02.08.2023 13:30,118,0.014,12.4
02.08.2023 14:00,118,0.014,12.7
02.08.2023 14:30,118,0.014,13.1
02.08.2023 15:00,118,0.014,12.8
02.08.2023 15:30,118,0.014,12.6
02.08.2023 16:00,118,0.014,12.3
02.08.2023 16:30,118,0.014,12.4
02.08.2023 17:00,118,0.014,12.5
02.08.2023 17:30,118,0.014,12.3
02.08.2023 18:00,118,0.014,11.8
02.08.2023 18:30,118,0.014,11.6
02.08.2023 19:00,118,0.014,11.2
02.08.2023 19:30,118,0.014,10.9
02.08.2023 20:00,118,0.014,10.5
02.08.2023 20:30,118,0.014,10.1
02.08.2023 21:00,118,0.014,9.9
02.08.2023 21:30,118,0.014,9.8
02.08.2023 22:00,118,0.014,9.7
02.08.2023 22:30,118,0.014,9.7
02.08.2023 23:00,118,0.014,9.6
02.08.2023 23:30,118,0.014,9.6
03.08.2023 00:00,118,0.014,9.6
03.08.2023 00:30,118,0.014,9.6
03.08.2023 01:00,118,0.014,9.5
03.08.2023 01:30,118,0.014,9.7
03.08.2023 02:00,118,0.014,9.7
03.08.2023 02:30,118,0.014,9.7
03.08.2023 03:00,118,0.014,9.7
03.08.2023 03:30,118,0.014,9.7
03.08.2023 04:00,118,0.014,9.7
03.08.2023 04:30,118,0.014,9.7
03.08.2023 05:00,119,0.018,9.9
03.08.2023 05:30,118,0.014,9.8
03.08.2023 06:00,118,0.014,10.0
03.08.2023 06:30,118,0.014,9.9
03.08.2023 07:00,118,0.014,9.8
03.08.2023 07:30,118,0.014,9.8
03.08.2023 08:00,118,0.014,9.8
03.08.2023 08:30,118,0.014,9.9
03.08.2023 09:00,118,0.014,10.0
03.08.2023 09:30,118,0.014,10.1
03.08.2023 10:00,118,0.014,10.1
03.08.2023 10:30,118,0.014,10.2
03.08.2023 11:00,118,0.014,10.2
03.08.2023 11:30,118,0.014,10.1
03.08.2023 12:00,118,0.014,10.1
03.08.2023 12:30,118,0.014,10.2
03.08.2023 13:00,118,0.014,10.5
03.08.2023 13:30,118,0.014,10.7
03.08.2023 14:00,118,0.014,11.0
03.08.2023 14:30,118,0.014,11.1
03.08.2023 15:00,118,0.014,11.1
03.08.2023 15:30,118,0.014,11.5
03.08.2023 16:00,118,0.014,12.4
03.08.2023 16:30,118,0.014,12.9
03.08.2023 17:00,118,0.014,12.8
03.08.2023 17:30,118,0.014,12.5
03.08.2023 18:00,118,0.014,12.0
03.08.2023 18:30,118,0.014,11.5
03.08.2023 19:00,118,0.014,11.1
03.08.2023 19:30,118,0.014,10.7
03.08.2023 20:00,118,0.014,10.6
03.08.2023 20:30,118,0.014,10.5
03.08.2023 21:00,118,0.014,10.2
03.08.2023 21:30,118,0.014,10.0
03.08.2023 22:00,118,0.014,9.9
03.08.2023 22:30,119,0.018,10.3
03.08.2023 23:00,121,0.026,11.6
03.08.2023 23:30,120,0.022,12.6
04.08.2023 00:00,120,0.022,12.1
04.08.2023 00:30,120,0.022,12.4
04.08.2023 01:00,123,0.034,13.4
04.08.2023 01:30,123,0.034,15.6
04.08.2023 02:00,121,0.026,14.4
04.08.2023 02:30,120,0.022,13.2
04.08.2023 03:00,121,0.026,12.7
04.08.2023 03:30,120,0.022,12.4
04.08.2023 04:00,120,0.022,12.2
04.08.2023 04:30,120,0.022,12.0
04.08.2023 05:00,120,0.022,12.0
04.08.2023 05:30,120,0.022,11.8
04.08.2023 06:00,120,0.022,11.7
04.08.2023 06:30,120,0.022,11.6
04.08.2023 07:00,120,0.022,11.6
04.08.2023 07:30,120,0.022,11.5
04.08.2023 08:00,120,0.022,11.6
04.08.2023 08:30,120,0.022,11.8
04.08.2023 09:00,119,0.018,12.0
04.08.2023 09:30,120,0.022,11.8
04.08.2023 10:00,123,0.034,12.1
04.08.2023 10:30,137,0.141,15.9
04.08.2023 11:00,129,0.064,17.2
04.08.2023 11:30,126,0.048,15.9
04.08.2023 12:00,125,0.043,15.3
04.08.2023 12:30,125,0.043,14.8
04.08.2023 13:00,125,0.043,14.7
04.08.2023 13:30,125,0.043,14.9
04.08.2023 14:00,124,0.038,15.4
04.08.2023 14:30,124,0.038,15.1
04.08.2023 15:00,124,0.038,14.5
04.08.2023 15:30,124,0.038,14.3
04.08.2023 16:00,124,0.038,14.4
04.08.2023 16:30,123,0.034,14.2
04.08.2023 17:00,123,0.034,14.0
04.08.2023 17:30,124,0.038,14.0
04.08.2023 18:00,125,0.043,14.2
04.08.2023 18:30,125,0.043,14.7
04.08.2023 19:00,125,0.043,14.8
04.08.2023 19:30,125,0.043,14.5
04.08.2023 20:00,125,0.043,14.5
04.08.2023 20:30,125,0.043,14.5
04.08.2023 21:00,125,0.043,14.4
04.08.2023 21:30,124,0.038,14.2
04.08.2023 22:00,124,0.038,14.1
04.08.2023 22:30,125,0.043,14.1
04.08.2023 23:00,126,0.048,14.2
04.08.2023 23:30,128,0.058,15.0
05.08.2023 00:00,131,0.077,15.9
05.08.2023 00:30,135,0.112,16.2
05.08.2023 01:00,136,0.121,16.1
05.08.2023 01:30,135,0.112,16.0
05.08.2023 02:00,134,0.102,15.9
05.08.2023 02:30,132,0.085,16.0
05.08.2023 03:00,130,0.070,15.5
05.08.2023 03:30,129,0.064,15.2
05.08.2023 04:00,129,0.064,15.1
05.08.2023 04:30,128,0.058,15.0
05.08.2023 05:00,128,0.058,14.9
05.08.2023 05:30,127,0.053,14.9
05.08.2023 06:00,127,0.053,14.8
05.08.2023 06:30,127,0.053,14.7
05.08.2023 07:00,126,0.048,14.5
05.08.2023 07:30,127,0.053,14.5
05.08.2023 08:00,127,0.053,14.7
05.08.2023 08:30,127,0.053,14.7
05.08.2023 09:00,128,0.058,15.0
05.08.2023 09:30,128,0.058,15.2
05.08.2023 10:00,128,0.058,15.1
05.08.2023 10:30,128,0.058,15.1
05.08.2023 11:00,128,0.058,15.1
05.08.2023 11:30,128,0.058,15.0
05.08.2023 12:00,128,0.058,15.0
05.08.2023 12:30,128,0.058,15.1
05.08.2023 13:00,128,0.058,15.0
05.08.2023 13:30,128,0.058,15.0
