Datum,Vodostaj [cm],Pretok [mÂ³/s],Temperatura vode [Â°C]
17.08.2023 00:30,142,41.5,17.7
17.08.2023 00:00,142,41.5,17.7
16.08.2023 23:30,142,41.5,17.8
16.08.2023 23:00,141,40.5,17.8
16.08.2023 22:30,142,41.5,18.0
16.08.2023 22:00,142,41.5,18.0
16.08.2023 21:30,143,42.4,18.1
16.08.2023 21:00,143,42.4,18.2
16.08.2023 20:30,143,42.4,18.3
16.08.2023 20:00,142,41.5,18.5
16.08.2023 19:30,142,41.5,18.6
16.08.2023 19:00,142,41.5,18.7
16.08.2023 18:30,142,41.5,18.7
16.08.2023 18:00,141,40.5,18.7
16.08.2023 17:30,141,40.5,18.5
16.08.2023 17:00,142,41.5,18.3
16.08.2023 16:30,142,41.5,18.2
16.08.2023 16:00,142,41.5,18.0
16.08.2023 15:30,142,41.5,17.8
16.08.2023 15:00,142,41.5,17.8
16.08.2023 14:30,143,42.4,17.7
16.08.2023 14:00,143,42.4,17.7
16.08.2023 13:30,142,41.5,17.7
16.08.2023 13:00,142,41.5,17.8
16.08.2023 12:30,143,42.4,17.9
16.08.2023 12:00,143,42.4,17.8
16.08.2023 11:30,142,41.5,17.5
16.08.2023 11:00,143,42.4,17.3
16.08.2023 10:30,143,42.4,17.1
16.08.2023 10:00,143,42.4,17.0
16.08.2023 09:30,143,42.4,16.8
16.08.2023 09:00,143,42.4,16.7
16.08.2023 08:30,144,43.4,16.7
16.08.2023 08:00,143,42.4,16.7
16.08.2023 07:30,143,42.4,16.8
16.08.2023 07:00,143,42.4,16.8
16.08.2023 06:30,143,42.4,16.9
16.08.2023 06:00,143,42.4,17.0
16.08.2023 05:30,143,42.4,17.1
16.08.2023 05:00,143,42.4,17.2
16.08.2023 04:30,143,42.4,17.3
16.08.2023 04:00,143,42.4,17.3
16.08.2023 03:30,143,42.4,17.4
16.08.2023 03:00,144,43.4,17.5
16.08.2023 02:30,144,43.4,17.6
16.08.2023 02:00,144,43.4,17.6
16.08.2023 01:30,144,43.4,17.7
16.08.2023 01:00,144,43.4,17.7
16.08.2023 00:30,144,43.4,17.8
16.08.2023 00:00,143,42.4,17.9
15.08.2023 23:30,144,43.4,18.0
15.08.2023 23:00,144,43.4,18.1
15.08.2023 22:30,144,43.4,18.1
15.08.2023 22:00,144,43.4,18.2
15.08.2023 21:30,145,44.4,18.3
15.08.2023 21:00,145,44.4,18.4
15.08.2023 20:30,145,44.4,18.5
15.08.2023 20:00,146,45.4,18.6
15.08.2023 19:30,145,44.4,18.7
15.08.2023 19:00,145,44.4,18.8
15.08.2023 18:30,146,45.4,18.9
15.08.2023 18:00,146,45.4,19.0
15.08.2023 17:30,146,45.4,19.0
15.08.2023 17:00,146,45.4,18.9
15.08.2023 16:30,146,45.4,18.8
15.08.2023 16:00,146,45.4,18.7
15.08.2023 15:30,147,46.4,18.6
15.08.2023 15:00,147,46.4,18.4
15.08.2023 14:30,147,46.4,18.2
15.08.2023 14:00,146,45.4,18.0
15.08.2023 13:30,146,45.4,17.7
15.08.2023 13:00,146,45.4,17.5
15.08.2023 12:30,147,46.4,17.3
15.08.2023 12:00,147,46.4,17.1
15.08.2023 11:30,146,45.4,16.8
15.08.2023 11:00,147,46.4,16.6
15.08.2023 10:30,147,46.4,16.4
15.08.2023 10:00,147,46.4,16.3
15.08.2023 09:30,147,46.4,16.1
15.08.2023 09:00,147,46.4,16.1
15.08.2023 08:30,148,47.4,16.1
15.08.2023 08:00,147,46.4,16.1
15.08.2023 07:30,147,46.4,16.2
15.08.2023 07:00,147,46.4,16.3
15.08.2023 06:30,147,46.4,16.4
15.08.2023 06:00,147,46.4,16.5
15.08.2023 05:30,147,46.4,16.6
15.08.2023 05:00,148,47.4,16.8
15.08.2023 04:30,148,47.4,16.9
15.08.2023 04:00,148,47.4,17.0
15.08.2023 03:30,148,47.4,17.1
15.08.2023 03:00,148,47.4,17.2
15.08.2023 02:30,148,47.4,17.3
15.08.2023 02:00,147,46.4,17.4
15.08.2023 01:30,147,46.4,17.4
15.08.2023 01:00,148,47.4,17.5
15.08.2023 00:30,148,47.4,17.6
15.08.2023 00:00,148,47.4,17.6
14.08.2023 23:30,148,47.4,17.7
14.08.2023 23:00,148,47.4,17.8
14.08.2023 22:30,149,48.4,18.0
14.08.2023 22:00,149,48.4,18.0
14.08.2023 21:30,149,48.4,18.1
14.08.2023 21:00,149,48.4,18.2
14.08.2023 20:30,149,48.4,18.3
14.08.2023 20:00,149,48.4,18.5
14.08.2023 19:30,150,49.3,18.6
14.08.2023 19:00,150,49.3,18.7
14.08.2023 18:30,150,49.3,18.8
14.08.2023 18:00,150,49.3,18.8
14.08.2023 17:30,151,50.4,18.8
14.08.2023 17:00,151,50.4,18.7
14.08.2023 16:30,151,50.4,18.6
14.08.2023 16:00,151,50.4,18.5
14.08.2023 15:30,151,50.4,18.4
14.08.2023 15:00,152,51.6,18.2
14.08.2023 14:30,152,51.6,18.0
14.08.2023 14:00,151,50.4,17.7
14.08.2023 13:30,152,51.6,17.5
14.08.2023 13:00,151,50.4,17.3
14.08.2023 12:30,152,51.6,17.0
14.08.2023 12:00,152,51.6,16.8
