Datum,Temperatura vode [°C],Smer morskega toka 2m pod gladino [°],Hitrost morskega toka 2m pod glad. [cm/s],Smer morskega toka 10m pod gladino [°],Hitrost morskega toka 10m pod glad. [cm/s],ZnaÄilna viÅ¡ina valov [m],Maksimalna viÅ¡ina valov [m],Smer valovanja [°],Perioda valovanja [s]
30.08.2023 01:00,-,-,-,-,-,-,-,-,-
30.08.2023 00:00,26.1,187,11,193,15,0.43,0.62,56,3
29.08.2023 23:00,26.2,184,11,190,8,0.31,0.31,53,3
29.08.2023 22:00,26.3,138,7,183,5,0.27,0.00,68,3
29.08.2023 21:00,26.3,93,8,105,5,0.31,0.35,98,3
29.08.2023 20:00,26.4,107,13,110,11,0.39,0.39,124,3
29.08.2023 19:00,26.4,77,12,77,12,0.35,0.35,200,3
29.08.2023 18:00,26.4,105,8,94,8,0.27,0.31,202,3
29.08.2023 17:00,26.4,101,4,134,9,0.23,0.00,340,3
29.08.2023 16:00,26.5,236,5,127,8,0.31,0.35,58,3
29.08.2023 15:00,26.5,212,9,132,4,0.27,0.35,191,4
29.08.2023 14:00,26.4,188,13,221,9,0.31,0.35,209,4
29.08.2023 13:00,26.5,201,8,207,12,0.39,0.55,210,4
29.08.2023 12:00,26.4,207,7,191,11,0.43,0.51,213,4
29.08.2023 11:00,26.5,183,12,166,13,0.47,0.55,208,4
29.08.2023 10:00,26.6,158,8,188,12,0.47,0.74,199,4
29.08.2023 09:00,26.5,132,8,136,11,0.39,0.51,186,4
29.08.2023 08:00,26.5,108,9,117,11,0.47,0.70,194,4
29.08.2023 07:00,26.5,122,9,122,11,0.55,0.66,197,4
29.08.2023 06:00,26.6,114,9,105,12,0.59,0.82,197,4
29.08.2023 05:00,26.5,83,8,72,11,0.78,0.98,188,4
29.08.2023 04:00,26.6,90,8,121,7,0.82,1.21,192,4
29.08.2023 03:00,26.6,115,6,214,12,0.82,1.05,197,4
29.08.2023 02:00,26.6,180,1,217,13,0.82,1.25,188,4
29.08.2023 01:00,0.0,0,0,0,0,0.00,0.00,0,0
29.08.2023 00:00,-,-,-,-,-,-,-,-,-
28.08.2023 23:00,-,-,-,-,-,-,-,-,-
28.08.2023 22:00,-,-,-,-,-,-,-,-,-
28.08.2023 21:00,-,-,-,-,-,-,-,-,-
28.08.2023 20:00,-,-,-,-,-,-,-,-,-
28.08.2023 19:00,-,-,-,-,-,-,-,-,-
28.08.2023 18:00,-,-,-,-,-,-,-,-,-
28.08.2023 17:00,-,-,-,-,-,-,-,-,-
28.08.2023 16:00,-,-,-,-,-,-,-,-,-
28.08.2023 15:00,-,-,-,-,-,-,-,-,-
28.08.2023 14:00,-,-,-,-,-,-,-,-,-
28.08.2023 13:00,-,-,-,-,-,-,-,-,-
28.08.2023 12:00,27.3,145,7,224,13,0.23,0.00,203,3
28.08.2023 11:00,27.3,122,8,218,15,0.35,0.43,200,3
28.08.2023 10:00,27.3,38,6,229,20,0.43,0.62,165,3
