Datum,Vodostaj [cm],Pretok [mÂ³/s],Temperatura vode [Â°C]
17.08.2023 00:30,158,333,19.6
17.08.2023 00:00,173,379,19.7
16.08.2023 23:30,193,442,19.7
16.08.2023 23:00,216,517,19.8
16.08.2023 22:30,242,604,19.7
16.08.2023 22:00,238,590,19.7
16.08.2023 21:30,233,574,19.5
16.08.2023 21:00,231,567,19.5
16.08.2023 20:30,230,563,19.5
16.08.2023 20:00,232,570,19.5
16.08.2023 19:30,236,584,19.5
16.08.2023 19:00,222,537,19.5
16.08.2023 18:30,204,477,19.5
16.08.2023 18:00,194,445,19.5
16.08.2023 17:30,180,401,19.5
16.08.2023 17:00,170,369,19.6
16.08.2023 16:30,166,357,19.5
16.08.2023 16:00,165,354,19.5
16.08.2023 15:30,164,351,19.5
16.08.2023 15:00,164,351,19.4
16.08.2023 14:30,164,351,19.5
16.08.2023 14:00,164,351,19.5
16.08.2023 13:30,165,354,19.5
16.08.2023 13:00,165,354,19.4
16.08.2023 12:30,166,357,19.4
16.08.2023 12:00,167,360,19.4
16.08.2023 11:30,166,357,19.3
16.08.2023 11:00,163,348,19.3
16.08.2023 10:30,162,345,19.2
16.08.2023 10:00,163,348,19.1
16.08.2023 09:30,165,354,19.1
16.08.2023 09:00,163,348,19.0
16.08.2023 08:30,157,329,19.0
16.08.2023 08:00,152,314,19.0
16.08.2023 07:30,152,314,19.0
16.08.2023 07:00,157,329,19.0
16.08.2023 06:30,157,329,19.0
16.08.2023 06:00,152,314,19.0
16.08.2023 05:30,149,305,19.0
16.08.2023 05:00,152,314,19.1
16.08.2023 04:30,154,320,19.1
16.08.2023 04:00,154,320,19.1
16.08.2023 03:30,155,323,19.2
16.08.2023 03:00,155,323,19.1
16.08.2023 02:30,155,323,19.1
16.08.2023 02:00,156,326,19.2
16.08.2023 01:30,166,357,19.2
16.08.2023 01:00,185,416,19.3
16.08.2023 00:30,204,477,19.3
16.08.2023 00:00,213,507,19.3
15.08.2023 23:30,226,550,19.3
15.08.2023 23:00,232,570,19.2
15.08.2023 22:30,240,597,19.0
15.08.2023 22:00,236,584,19.1
15.08.2023 21:30,228,557,19.1
15.08.2023 21:00,218,523,19.0
15.08.2023 20:30,203,474,19.0
15.08.2023 20:00,187,423,19.0
15.08.2023 19:30,171,372,19.0
15.08.2023 19:00,157,329,19.0
15.08.2023 18:30,144,290,19.1
15.08.2023 18:00,131,251,19.1
15.08.2023 17:30,127,239,19.2
15.08.2023 17:00,130,248,19.2
15.08.2023 16:30,132,254,19.2
15.08.2023 16:00,137,269,19.2
15.08.2023 15:30,140,278,19.1
