Datum,Temperatura vode [Â°C],Smer morskega toka 2m pod gladino [Â°],Hitrost morskega toka 2m pod glad. [cm/s],Smer morskega toka 10m pod gladino [Â°],Hitrost morskega toka 10m pod glad. [cm/s],ZnaÄilna viÅ¡ina valov [m],Maksimalna viÅ¡ina valov [m],Smer valovanja [Â°],Perioda valovanja [s]
17.08.2023 01:00,-,-,-,-,-,-,-,-,-
17.08.2023 00:00,26.1,259,11,207,13,0.16,0.00,47,2
16.08.2023 23:00,26.2,255,8,193,7,0.16,0.00,41,2
16.08.2023 22:00,26.2,233,8,86,2,0.20,0.00,40,2
16.08.2023 21:00,26.4,229,14,110,6,0.16,0.00,115,3
16.08.2023 20:00,26.7,210,16,125,5,0.20,0.00,120,3
16.08.2023 19:00,27.0,162,13,28,12,0.12,0.00,181,3
16.08.2023 18:00,26.6,145,11,7,7,0.12,0.00,197,3
16.08.2023 17:00,26.8,131,9,83,1,0.12,0.00,214,3
16.08.2023 16:00,26.9,156,8,285,1,0.08,0.00,160,3
16.08.2023 15:00,26.8,86,4,141,1,0.12,0.00,90,3
16.08.2023 14:00,26.6,107,5,183,7,0.12,0.00,216,3
16.08.2023 13:00,26.2,309,4,141,7,0.12,0.00,71,3
16.08.2023 12:00,25.9,319,7,112,5,0.16,0.00,68,3
16.08.2023 11:00,25.9,297,11,86,5,0.20,0.00,57,3
16.08.2023 10:00,25.8,285,11,94,9,0.20,0.00,58,2
16.08.2023 09:00,25.7,260,4,86,11,0.23,0.00,47,2
16.08.2023 08:00,25.7,114,4,70,11,0.27,0.00,56,2
16.08.2023 07:00,25.7,46,9,84,9,0.27,0.00,62,2
16.08.2023 06:00,25.8,38,8,80,7,0.16,0.00,55,2
16.08.2023 05:00,25.9,51,9,104,7,0.08,0.00,47,2
16.08.2023 04:00,26.0,122,2,153,7,0.08,0.00,43,2
16.08.2023 03:00,26.0,198,2,176,7,0.08,0.00,60,3
16.08.2023 02:00,26.2,300,7,184,13,0.08,0.00,26,2
16.08.2023 01:00,26.2,256,5,190,15,0.12,0.00,44,2
16.08.2023 00:00,26.5,264,12,156,8,0.16,0.00,26,2
15.08.2023 23:00,26.6,256,5,110,7,0.08,0.00,231,3
15.08.2023 22:00,26.6,222,15,84,12,0.12,0.00,261,3
15.08.2023 21:00,26.6,195,16,97,6,0.16,0.00,263,2
15.08.2023 20:00,26.6,184,9,83,11,0.16,0.00,30,3
15.08.2023 19:00,26.6,177,12,86,8,0.12,0.00,62,3
15.08.2023 18:00,26.8,148,13,105,7,0.12,0.00,233,3
15.08.2023 17:00,27.0,169,16,132,7,0.12,0.00,210,3
15.08.2023 16:00,-,-,-,-,-,-,-,-,-
15.08.2023 15:00,27.0,155,7,148,9,0.12,0.00,134,3
15.08.2023 14:00,27.0,210,4,180,14,0.12,0.00,37,3
15.08.2023 13:00,27.1,165,5,184,12,0.12,0.00,58,3
15.08.2023 12:00,26.2,174,5,205,9,0.12,0.00,25,3
15.08.2023 11:00,25.7,73,4,202,8,0.16,0.00,46,3
15.08.2023 10:00,25.5,278,1,172,5,0.20,0.00,53,3
15.08.2023 09:00,25.5,49,5,131,8,0.23,0.00,46,3
15.08.2023 08:00,25.5,332,5,107,8,0.23,0.00,53,2
15.08.2023 07:00,25.5,63,7,82,12,0.20,0.00,51,3
15.08.2023 06:00,25.6,60,5,100,9,0.23,0.00,49,3
15.08.2023 05:00,25.8,59,7,118,6,0.20,0.00,36,2
15.08.2023 04:00,25.9,55,4,163,4,0.12,0.00,52,2
15.08.2023 03:00,25.9,278,9,205,5,0.16,0.00,82,2
15.08.2023 02:00,26.1,260,8,181,7,0.16,0.00,229,3
15.08.2023 01:00,26.2,238,7,197,9,0.20,0.00,315,3
15.08.2023 00:00,26.2,225,9,195,13,0.16,0.00,245,3
14.08.2023 23:00,26.3,228,7,142,5,0.20,0.00,253,3
14.08.2023 22:00,26.4,228,14,141,6,0.20,0.00,244,3
14.08.2023 21:00,26.4,195,9,107,5,0.23,0.00,245,3
14.08.2023 20:00,26.4,166,5,53,2,0.20,0.00,243,2
14.08.2023 19:00,26.6,0,0,46,6,0.20,0.00,264,2
14.08.2023 18:00,26.6,173,7,108,5,0.16,0.00,182,2
14.08.2023 17:00,26.6,186,8,115,5,0.12,0.00,194,2
14.08.2023 16:00,26.5,183,14,82,2,0.16,0.00,189,3
14.08.2023 15:00,26.8,214,15,212,2,0.12,0.00,231,3
14.08.2023 14:00,26.8,208,14,197,6,0.12,0.00,238,3
14.08.2023 13:00,27.1,221,9,193,7,0.12,0.00,169,3
14.08.2023 12:00,26.5,222,5,210,5,0.16,0.00,28,3
14.08.2023 11:00,25.9,210,5,270,4,0.16,0.00,108,3
14.08.2023 10:00,25.7,326,0,114,1,0.12,0.00,63,2
14.08.2023 09:00,25.7,59,9,270,0,0.08,0.00,150,3
14.08.2023 08:00,25.7,31,14,103,1,0.08,0.00,179,3
14.08.2023 07:00,25.8,27,18,96,6,0.12,0.00,41,3
14.08.2023 06:00,25.7,52,8,111,9,0.16,0.00,47,3
14.08.2023 05:00,25.5,349,6,62,6,0.23,0.00,72,3
14.08.2023 04:00,25.6,170,2,142,7,0.16,0.00,44,2
14.08.2023 03:00,25.8,263,6,177,2,0.08,0.00,238,3
14.08.2023 02:00,25.5,219,13,273,2,0.08,0.00,236,3
14.08.2023 01:00,25.9,219,12,284,4,0.12,0.00,240,3
14.08.2023 00:00,25.7,222,12,297,4,0.12,0.00,276,3
13.08.2023 23:00,25.8,235,18,217,8,0.16,0.00,259,2
13.08.2023 22:00,25.9,242,14,224,7,0.16,0.00,236,3
13.08.2023 21:00,26.2,242,12,238,5,0.20,0.00,247,2
13.08.2023 20:00,26.3,208,8,343,5,0.20,0.00,254,2
13.08.2023 19:00,26.3,217,8,58,5,0.20,0.00,256,2
13.08.2023 18:00,26.6,187,2,80,2,0.20,0.00,229,2
13.08.2023 17:00,26.6,183,8,100,4,0.20,0.00,245,3
13.08.2023 16:00,26.6,229,8,211,1,0.20,0.00,264,3
13.08.2023 15:00,26.3,228,12,187,6,0.16,0.00,243,3
13.08.2023 14:00,26.2,235,8,10,2,0.16,0.00,190,3
13.08.2023 13:00,25.9,246,8,41,2,0.12,0.00,284,3
13.08.2023 12:00,25.6,248,19,283,8,0.12,0.00,232,3
13.08.2023 11:00,25.9,238,14,318,1,0.08,0.00,207,4
13.08.2023 10:00,25.2,252,12,4,4,0.08,0.00,82,3
13.08.2023 09:00,25.4,269,4,356,8,0.16,0.00,188,4
13.08.2023 08:00,25.3,248,6,342,8,0.04,0.00,14,2
13.08.2023 07:00,25.2,55,6,354,6,0.04,0.00,20,3
13.08.2023 06:00,24.8,20,11,339,5,0.04,0.00,196,3
13.08.2023 05:00,24.8,53,13,65,5,0.04,0.00,280,3
13.08.2023 04:00,25.1,7,13,207,6,0.04,0.00,258,3
13.08.2023 03:00,24.7,354,11,200,8,0.08,0.00,283,3
13.08.2023 02:00,24.8,0,8,202,6,0.08,0.00,208,3
13.08.2023 01:00,25.0,292,13,191,11,0.08,0.00,251,3
13.08.2023 00:00,24.8,287,19,191,7,0.12,0.00,19,3
12.08.2023 23:00,25.0,273,14,231,7,0.16,0.00,48,3
12.08.2023 22:00,25.4,271,14,181,5,0.12,0.00,248,3
12.08.2023 21:00,25.5,253,15,107,1,0.20,0.00,224,3
12.08.2023 20:00,25.4,263,13,94,4,0.20,0.00,257,3
12.08.2023 19:00,25.6,233,14,72,2,0.16,0.00,238,2
12.08.2023 18:00,25.6,210,14,59,4,0.16,0.00,248,2
