Datum,Vodostaj [cm],Temperatura vode [Â°C]
31.07.2023 02:30,176,26.7
31.07.2023 02:00,185,26.7
31.07.2023 01:30,196,26.7
31.07.2023 01:00,205,26.8
31.07.2023 00:30,214,26.8
31.07.2023 00:00,224,26.8
30.07.2023 23:30,232,26.8
30.07.2023 23:00,243,26.8
30.07.2023 22:30,253,26.8
30.07.2023 22:00,258,26.8
30.07.2023 21:30,261,26.8
30.07.2023 21:00,267,26.8
30.07.2023 20:30,271,26.9
30.07.2023 20:00,274,26.9
30.07.2023 19:30,268,26.9
30.07.2023 19:00,260,26.9
30.07.2023 18:30,253,26.9
30.07.2023 18:00,249,26.8
30.07.2023 17:30,243,26.8
30.07.2023 17:00,238,26.8
30.07.2023 16:30,232,26.8
30.07.2023 16:00,230,26.8
30.07.2023 15:30,227,26.8
30.07.2023 15:00,226,26.8
30.07.2023 14:30,222,26.7
30.07.2023 14:00,221,26.7
30.07.2023 13:30,228,26.7
30.07.2023 13:00,235,26.6
30.07.2023 12:30,242,26.6
30.07.2023 12:00,247,26.6
30.07.2023 11:30,249,26.6
30.07.2023 11:00,252,26.6
30.07.2023 10:30,253,26.6
30.07.2023 10:00,260,26.7
30.07.2023 09:30,262,26.6
30.07.2023 09:00,261,26.6
30.07.2023 08:30,251,26.7
30.07.2023 08:00,238,26.7
30.07.2023 07:30,229,26.6
30.07.2023 07:00,219,26.7
30.07.2023 06:30,209,26.7
30.07.2023 06:00,205,26.7
30.07.2023 05:30,200,26.7
30.07.2023 05:00,199,26.7
30.07.2023 04:30,189,26.8
30.07.2023 04:00,182,26.8
30.07.2023 03:30,178,26.8
30.07.2023 03:00,176,26.8
30.07.2023 02:30,176,26.8
30.07.2023 02:00,177,26.9
30.07.2023 01:30,184,26.9
30.07.2023 01:00,191,26.9
30.07.2023 00:30,201,26.9
30.07.2023 00:00,209,26.9
29.07.2023 23:30,217,26.9
29.07.2023 23:00,228,26.8
29.07.2023 22:30,238,26.9
29.07.2023 22:00,246,27.0
29.07.2023 21:30,254,27.1
29.07.2023 21:00,260,27.1
29.07.2023 20:30,265,27.2
29.07.2023 20:00,267,27.3
29.07.2023 19:30,267,27.3
29.07.2023 19:00,266,27.2
29.07.2023 18:30,264,27.2
29.07.2023 18:00,262,27.2
29.07.2023 17:30,260,27.2
29.07.2023 17:00,254,27.3
29.07.2023 16:30,249,27.2
29.07.2023 16:00,243,27.0
29.07.2023 15:30,238,26.9
29.07.2023 15:00,235,26.8
29.07.2023 14:30,234,26.6
29.07.2023 14:00,232,26.4
29.07.2023 13:30,234,26.3
29.07.2023 13:00,234,26.0
29.07.2023 12:30,235,25.9
29.07.2023 12:00,236,26.0
29.07.2023 11:30,240,25.9
29.07.2023 11:00,242,25.8
29.07.2023 10:30,246,25.8
29.07.2023 10:00,248,25.8
29.07.2023 09:30,248,25.8
29.07.2023 09:00,248,25.8
29.07.2023 08:30,246,25.8
29.07.2023 08:00,243,25.8
29.07.2023 07:30,237,25.8
29.07.2023 07:00,232,25.9
29.07.2023 06:30,225,25.9
29.07.2023 06:00,218,26.0
29.07.2023 05:30,208,26.1
29.07.2023 05:00,202,26.1
29.07.2023 04:30,196,26.1
29.07.2023 04:00,191,26.2
29.07.2023 03:30,188,26.3
29.07.2023 03:00,184,26.3
29.07.2023 02:30,183,26.3
29.07.2023 02:00,183,26.4
29.07.2023 01:30,186,26.4
29.07.2023 01:00,189,26.4
29.07.2023 00:30,192,26.5
29.07.2023 00:00,197,26.5
28.07.2023 23:30,206,26.5
28.07.2023 23:00,213,26.5
28.07.2023 22:30,224,26.5
28.07.2023 22:00,232,26.6
28.07.2023 21:30,240,26.6
28.07.2023 21:00,246,26.6
28.07.2023 20:30,253,26.7
28.07.2023 20:00,260,26.7
28.07.2023 19:30,263,26.7
28.07.2023 19:00,267,26.6
28.07.2023 18:30,269,26.5
28.07.2023 18:00,272,26.5
28.07.2023 17:30,269,26.5
28.07.2023 17:00,267,26.4
28.07.2023 16:30,263,26.5
28.07.2023 16:00,260,26.4
28.07.2023 15:30,255,26.3
28.07.2023 15:00,253,26.2
28.07.2023 14:30,247,26.1
28.07.2023 14:00,243,26.0
28.07.2023 13:30,239,25.8
28.07.2023 13:00,237,25.8
28.07.2023 12:30,234,25.7
28.07.2023 12:00,233,25.7
28.07.2023 11:30,234,25.7
28.07.2023 11:00,236,25.7
28.07.2023 10:30,238,25.6
28.07.2023 10:00,239,25.6
28.07.2023 09:30,239,25.6
28.07.2023 09:00,236,25.6
28.07.2023 08:30,232,25.6
28.07.2023 08:00,231,25.6
28.07.2023 07:30,229,25.6
28.07.2023 07:00,229,25.6
28.07.2023 06:30,226,25.7
28.07.2023 06:00,224,25.7
28.07.2023 05:30,219,25.8
28.07.2023 05:00,214,25.8
28.07.2023 04:30,208,25.9
28.07.2023 04:00,202,25.9
28.07.2023 03:30,198,25.9
28.07.2023 03:00,195,26.0
28.07.2023 02:30,194,26.0
28.07.2023 02:00,192,26.1
28.07.2023 01:30,192,26.1
28.07.2023 01:00,193,26.1
28.07.2023 00:30,198,26.1
28.07.2023 00:00,201,26.1
27.07.2023 23:30,208,26.1
27.07.2023 23:00,212,26.1
27.07.2023 22:30,217,26.1
27.07.2023 22:00,223,26.2
27.07.2023 21:30,231,26.2
27.07.2023 21:00,237,26.3
27.07.2023 20:30,241,26.3
27.07.2023 20:00,250,26.3
27.07.2023 19:30,256,26.3
27.07.2023 19:00,267,26.4
27.07.2023 18:30,269,26.4
27.07.2023 18:00,271,26.4
27.07.2023 17:30,270,26.4
27.07.2023 17:00,269,26.4
27.07.2023 16:30,266,26.4
27.07.2023 16:00,264,26.3
27.07.2023 15:30,259,26.2
27.07.2023 15:00,256,26.2
27.07.2023 14:30,252,26.1
27.07.2023 14:00,248,26.0
27.07.2023 13:30,242,26.0
27.07.2023 13:00,235,25.9
27.07.2023 12:30,233,25.9
27.07.2023 12:00,227,25.8
27.07.2023 11:30,223,25.7
27.07.2023 11:00,215,25.7
27.07.2023 10:30,213,25.7
27.07.2023 10:00,212,25.7
27.07.2023 09:30,213,25.7
27.07.2023 09:00,217,25.7
27.07.2023 08:30,223,25.7
27.07.2023 08:00,227,25.7
27.07.2023 07:30,230,25.7
27.07.2023 07:00,229,25.8
27.07.2023 06:30,223,25.8
27.07.2023 06:00,216,25.9
27.07.2023 05:30,208,25.9
27.07.2023 05:00,212,25.9
27.07.2023 04:30,217,25.9
27.07.2023 04:00,219,25.9
27.07.2023 03:30,215,25.9
27.07.2023 03:00,214,26.2
27.07.2023 02:30,213,26.3
27.07.2023 02:00,205,26.3
27.07.2023 01:30,200,26.3
27.07.2023 01:00,199,26.4
27.07.2023 00:30,202,26.4
27.07.2023 00:00,204,26.4
26.07.2023 23:30,209,26.4
26.07.2023 23:00,212,26.4
26.07.2023 22:30,216,26.5
26.07.2023 22:00,222,26.4
26.07.2023 21:30,228,26.5
26.07.2023 21:00,233,26.5
26.07.2023 20:30,231,26.5
26.07.2023 20:00,232,26.5
26.07.2023 19:30,242,26.5
26.07.2023 19:00,248,26.5
26.07.2023 18:30,246,26.6
26.07.2023 18:00,252,26.6
26.07.2023 17:30,258,26.6
26.07.2023 17:00,258,26.6
26.07.2023 16:30,269,26.6
26.07.2023 16:00,263,26.5
26.07.2023 15:30,264,26.5
26.07.2023 15:00,261,26.6
26.07.2023 14:30,253,26.6
26.07.2023 14:00,239,26.6
26.07.2023 13:30,235,26.5
26.07.2023 13:00,231,26.5
26.07.2023 12:30,232,26.4
26.07.2023 12:00,229,26.3
26.07.2023 11:30,228,26.4
26.07.2023 11:00,223,26.5
26.07.2023 10:30,221,26.4
26.07.2023 10:00,213,26.6
26.07.2023 09:30,205,26.8
26.07.2023 09:00,201,26.8
26.07.2023 08:30,212,26.8
26.07.2023 08:00,215,26.9
26.07.2023 07:30,214,26.9
26.07.2023 07:00,212,27.0
26.07.2023 06:30,211,27.0
26.07.2023 06:00,215,27.0
26.07.2023 05:30,223,27.1
26.07.2023 05:00,223,27.1
26.07.2023 04:30,215,27.2
26.07.2023 04:00,212,27.2
26.07.2023 03:30,210,27.2
26.07.2023 03:00,217,27.2
26.07.2023 02:30,207,27.2
26.07.2023 02:00,207,27.3
26.07.2023 01:30,218,27.3
26.07.2023 01:00,235,27.3
26.07.2023 00:30,238,27.4
26.07.2023 00:00,236,27.5
25.07.2023 23:30,231,27.5
25.07.2023 23:00,224,27.5
25.07.2023 22:30,219,27.5
25.07.2023 22:00,224,27.6
25.07.2023 21:30,218,27.6
25.07.2023 21:00,227,27.6
25.07.2023 20:30,249,27.6
25.07.2023 20:00,263,27.6
25.07.2023 19:30,256,27.6
25.07.2023 19:00,263,27.6
25.07.2023 18:30,256,27.6
25.07.2023 18:00,254,27.5
25.07.2023 17:30,255,27.4
25.07.2023 17:00,252,27.4
25.07.2023 16:30,267,27.4
25.07.2023 16:00,270,27.3
25.07.2023 15:30,276,27.3
25.07.2023 15:00,266,27.3
25.07.2023 14:30,266,27.3
25.07.2023 14:00,270,27.3
25.07.2023 13:30,270,27.2
25.07.2023 13:00,267,27.2
25.07.2023 12:30,260,27.2
25.07.2023 12:00,243,27.2
25.07.2023 11:30,228,27.2
25.07.2023 11:00,224,27.2
25.07.2023 10:30,225,27.2
25.07.2023 10:00,220,27.2
25.07.2023 09:30,223,27.3
25.07.2023 09:00,236,27.3
25.07.2023 08:30,229,27.3
25.07.2023 08:00,221,27.4
25.07.2023 07:30,213,27.4
25.07.2023 07:00,211,27.4
25.07.2023 06:30,202,27.4
25.07.2023 06:00,205,27.4
25.07.2023 05:30,214,27.4
25.07.2023 05:00,224,27.4
25.07.2023 04:30,236,27.4
25.07.2023 04:00,244,27.5
25.07.2023 03:30,239,27.5
25.07.2023 03:00,226,27.5
25.07.2023 02:30,238,27.5
25.07.2023 02:00,241,27.5
25.07.2023 01:30,247,27.5
25.07.2023 01:00,244,27.5
25.07.2023 00:30,233,27.6
25.07.2023 00:00,232,27.6
24.07.2023 23:30,231,27.6
24.07.2023 23:00,226,27.6
24.07.2023 22:30,235,27.6
24.07.2023 22:00,237,27.7
24.07.2023 21:30,231,27.7
24.07.2023 21:00,228,27.7
24.07.2023 20:30,225,27.7
24.07.2023 20:00,218,27.7
24.07.2023 19:30,226,27.7
24.07.2023 19:00,227,27.7
24.07.2023 18:30,239,27.7
24.07.2023 18:00,247,27.7
24.07.2023 17:30,258,27.7
24.07.2023 17:00,262,27.7
24.07.2023 16:30,263,27.7
24.07.2023 16:00,265,27.7
24.07.2023 15:30,262,27.6
24.07.2023 15:00,264,27.6
24.07.2023 14:30,268,27.6
24.07.2023 14:00,275,27.6
24.07.2023 13:30,271,27.5
24.07.2023 13:00,267,27.3
24.07.2023 12:30,261,27.3
24.07.2023 12:00,256,27.3
24.07.2023 11:30,244,27.3
24.07.2023 11:00,230,27.2
24.07.2023 10:30,221,27.2
24.07.2023 10:00,216,27.2
24.07.2023 09:30,208,27.2
24.07.2023 09:00,203,27.2
24.07.2023 08:30,198,27.2
24.07.2023 08:00,194,27.2
24.07.2023 07:30,191,27.2
24.07.2023 07:00,192,27.2
24.07.2023 06:30,194,27.3
24.07.2023 06:00,195,27.3
24.07.2023 05:30,196,27.3
24.07.2023 05:00,199,27.3
24.07.2023 04:30,205,27.4
24.07.2023 04:00,212,27.4
24.07.2023 03:30,224,27.4
24.07.2023 03:00,230,27.4
24.07.2023 02:30,235,27.4
24.07.2023 02:00,237,27.4
24.07.2023 01:30,239,27.5
24.07.2023 01:00,238,27.5
24.07.2023 00:30,238,27.5
24.07.2023 00:00,238,27.5
23.07.2023 23:30,238,27.5
23.07.2023 23:00,238,27.5
23.07.2023 22:30,231,27.6
23.07.2023 22:00,225,27.6
23.07.2023 21:30,221,27.7
23.07.2023 21:00,220,27.7
23.07.2023 20:30,220,27.8
23.07.2023 20:00,220,27.8
23.07.2023 19:30,222,27.9
23.07.2023 19:00,224,27.9
23.07.2023 18:30,227,27.9
23.07.2023 18:00,226,27.8
23.07.2023 17:30,233,27.8
23.07.2023 17:00,244,27.8
23.07.2023 16:30,256,27.8
23.07.2023 16:00,262,27.5
23.07.2023 15:30,266,27.4
23.07.2023 15:00,267,27.4
23.07.2023 14:30,265,27.2
23.07.2023 14:00,265,27.1
23.07.2023 13:30,262,27.0
23.07.2023 13:00,262,26.9
23.07.2023 12:30,256,26.8
23.07.2023 12:00,250,-
23.07.2023 11:30,246,26.7
23.07.2023 11:00,235,26.7
23.07.2023 10:30,226,26.7
23.07.2023 10:00,212,26.7
23.07.2023 09:30,207,26.6
23.07.2023 09:00,198,26.6
23.07.2023 08:30,192,26.6
23.07.2023 08:00,176,26.6
23.07.2023 07:30,172,26.7
23.07.2023 07:00,177,26.7
23.07.2023 06:30,184,26.8
23.07.2023 06:00,189,26.8
23.07.2023 05:30,193,26.8
23.07.2023 05:00,197,26.8
23.07.2023 04:30,211,26.9
23.07.2023 04:00,209,26.9
23.07.2023 03:30,214,26.9
23.07.2023 03:00,223,26.9
23.07.2023 02:30,234,26.9
23.07.2023 02:00,239,26.9
23.07.2023 01:30,248,26.9
23.07.2023 01:00,248,26.9
23.07.2023 00:30,247,26.9
23.07.2023 00:00,248,26.9
22.07.2023 23:30,248,26.9
22.07.2023 23:00,252,26.9
22.07.2023 22:30,251,27.0
22.07.2023 22:00,244,27.0
22.07.2023 21:30,241,27.0
22.07.2023 21:00,231,27.0
22.07.2023 20:30,230,27.2
22.07.2023 20:00,225,27.2
22.07.2023 19:30,226,27.2
22.07.2023 19:00,224,27.2
22.07.2023 18:30,230,27.2
22.07.2023 18:00,229,27.2
22.07.2023 17:30,228,27.2
22.07.2023 17:00,229,27.2
22.07.2023 16:30,244,27.2
22.07.2023 16:00,259,27.2
22.07.2023 15:30,254,27.2
22.07.2023 15:00,260,27.3
22.07.2023 14:30,262,27.3
22.07.2023 14:00,262,27.2
22.07.2023 13:30,262,27.1
22.07.2023 13:00,260,27.0
22.07.2023 12:30,265,26.9
22.07.2023 12:00,260,26.8
22.07.2023 11:30,261,26.7
22.07.2023 11:00,249,26.7
22.07.2023 10:30,243,26.7
22.07.2023 10:00,228,26.7
22.07.2023 09:30,213,26.7
22.07.2023 09:00,199,26.7
22.07.2023 08:30,192,26.7
22.07.2023 08:00,189,26.7
22.07.2023 07:30,183,26.7
22.07.2023 07:00,184,26.7
22.07.2023 06:30,181,26.7
22.07.2023 06:00,177,26.8
22.07.2023 05:30,184,26.8
22.07.2023 05:00,191,26.8
22.07.2023 04:30,194,26.9
22.07.2023 04:00,202,26.9
22.07.2023 03:30,214,27.0
22.07.2023 03:00,226,27.0
22.07.2023 02:30,228,27.0
22.07.2023 02:00,242,27.0
22.07.2023 01:30,250,27.0
22.07.2023 01:00,264,27.1
22.07.2023 00:30,266,27.1
22.07.2023 00:00,272,27.1
21.07.2023 23:30,264,27.1
21.07.2023 23:00,266,27.1
21.07.2023 22:30,260,27.2
21.07.2023 22:00,249,27.2
21.07.2023 21:30,249,27.2
21.07.2023 21:00,245,27.2
21.07.2023 20:30,244,27.2
21.07.2023 20:00,244,27.1
21.07.2023 19:30,242,27.2
21.07.2023 19:00,232,27.2
21.07.2023 18:30,214,27.2
21.07.2023 18:00,213,27.2
21.07.2023 17:30,219,27.2
21.07.2023 17:00,224,27.1
21.07.2023 16:30,230,27.1
21.07.2023 16:00,236,27.0
21.07.2023 15:30,271,27.1
21.07.2023 15:00,260,26.7
21.07.2023 14:30,262,26.7
21.07.2023 14:00,270,26.8
21.07.2023 13:30,268,26.7
21.07.2023 13:00,267,26.8
21.07.2023 12:30,262,27.0
21.07.2023 12:00,260,27.1
21.07.2023 11:30,257,27.0
21.07.2023 11:00,253,27.0
21.07.2023 10:30,245,27.3
21.07.2023 10:00,238,27.5
21.07.2023 09:30,225,27.3
21.07.2023 09:00,213,27.5
21.07.2023 08:30,196,27.7
21.07.2023 08:00,190,27.9
21.07.2023 07:30,180,28.1
21.07.2023 07:00,171,28.1
21.07.2023 06:30,170,28.2
21.07.2023 06:00,179,28.2
21.07.2023 05:30,178,28.2
21.07.2023 05:00,182,28.3
21.07.2023 04:30,189,28.3
21.07.2023 04:00,197,28.4
21.07.2023 03:30,206,28.5
21.07.2023 03:00,216,28.5
21.07.2023 02:30,229,28.6
21.07.2023 02:00,240,28.6
21.07.2023 01:30,251,28.6
21.07.2023 01:00,262,28.5
21.07.2023 00:30,271,28.6
21.07.2023 00:00,274,28.6
20.07.2023 23:30,273,28.6
20.07.2023 23:00,271,28.6
20.07.2023 22:30,264,28.6
20.07.2023 22:00,260,28.6
20.07.2023 21:30,250,28.6
20.07.2023 21:00,244,28.7
20.07.2023 20:30,236,28.7
20.07.2023 20:00,234,28.7
20.07.2023 19:30,233,28.7
20.07.2023 19:00,233,28.7
20.07.2023 18:30,229,28.7
20.07.2023 18:00,228,28.9
20.07.2023 17:30,224,29.2
20.07.2023 17:00,220,29.3
20.07.2023 16:30,222,29.4
20.07.2023 16:00,221,29.4
20.07.2023 15:30,232,29.3
20.07.2023 15:00,240,29.3
20.07.2023 14:30,246,29.2
20.07.2023 14:00,254,29.1
20.07.2023 13:30,266,28.8
20.07.2023 13:00,272,28.5
20.07.2023 12:30,275,28.3
20.07.2023 12:00,269,28.2
20.07.2023 11:30,260,28.2
20.07.2023 11:00,244,28.0
20.07.2023 10:30,237,28.1
20.07.2023 10:00,230,28.2
20.07.2023 09:30,226,27.9
20.07.2023 09:00,218,27.7
20.07.2023 08:30,211,28.0
20.07.2023 08:00,193,28.2
20.07.2023 07:30,184,28.3
20.07.2023 07:00,169,28.5
20.07.2023 06:30,162,28.7
20.07.2023 06:00,161,28.8
20.07.2023 05:30,176,28.7
20.07.2023 05:00,182,28.8
20.07.2023 04:30,186,28.9
20.07.2023 04:00,201,28.9
20.07.2023 03:30,210,29.0
20.07.2023 03:00,221,29.1
20.07.2023 02:30,234,29.1
20.07.2023 02:00,230,29.2
20.07.2023 01:30,243,29.2
20.07.2023 01:00,241,29.3
20.07.2023 00:30,252,29.3
20.07.2023 00:00,237,29.4
19.07.2023 23:30,252,29.5
19.07.2023 23:00,254,29.5
19.07.2023 22:30,269,29.4
19.07.2023 22:00,267,29.5
19.07.2023 21:30,264,29.6
19.07.2023 21:00,258,29.6
19.07.2023 20:30,250,29.7
19.07.2023 20:00,241,29.8
19.07.2023 19:30,230,29.8
19.07.2023 19:00,228,29.9
19.07.2023 18:30,222,29.9
19.07.2023 18:00,221,29.8
19.07.2023 17:30,216,29.8
19.07.2023 17:00,220,29.7
19.07.2023 16:30,224,29.7
19.07.2023 16:00,232,29.7
19.07.2023 15:30,234,29.7
19.07.2023 15:00,242,29.7
19.07.2023 14:30,246,29.6
19.07.2023 14:00,249,29.5
19.07.2023 13:30,254,29.3
19.07.2023 13:00,256,29.3
19.07.2023 12:30,256,29.3
19.07.2023 12:00,258,29.2
19.07.2023 11:30,259,28.9
19.07.2023 11:00,255,28.8
19.07.2023 10:30,251,28.9
19.07.2023 10:00,242,28.9
19.07.2023 09:30,231,29.0
19.07.2023 09:00,222,29.0
19.07.2023 08:30,212,29.0
19.07.2023 08:00,201,29.0
19.07.2023 07:30,195,29.0
19.07.2023 07:00,187,29.0
19.07.2023 06:30,180,29.0
19.07.2023 06:00,173,29.1
19.07.2023 05:30,167,29.1
19.07.2023 05:00,166,29.1
19.07.2023 04:30,171,29.1
19.07.2023 04:00,183,29.3
19.07.2023 03:30,190,29.2
19.07.2023 03:00,197,29.3
19.07.2023 02:30,206,29.5
19.07.2023 02:00,216,29.5
19.07.2023 01:30,226,29.5
19.07.2023 01:00,237,29.6
19.07.2023 00:30,251,29.6
19.07.2023 00:00,261,29.6
18.07.2023 23:30,268,29.6
18.07.2023 23:00,269,29.6
18.07.2023 22:30,268,29.6
18.07.2023 22:00,254,29.7
18.07.2023 21:30,246,29.8
18.07.2023 21:00,247,29.8
18.07.2023 20:30,251,29.9
18.07.2023 20:00,244,29.9
18.07.2023 19:30,239,29.9
18.07.2023 19:00,236,30.0
18.07.2023 18:30,227,30.0
18.07.2023 18:00,222,30.1
18.07.2023 17:30,219,30.1
18.07.2023 17:00,215,29.9
18.07.2023 16:30,214,29.7
18.07.2023 16:00,214,29.5
18.07.2023 15:30,216,29.4
18.07.2023 15:00,220,29.3
18.07.2023 14:30,228,29.1
18.07.2023 14:00,234,28.9
18.07.2023 13:30,242,28.7
18.07.2023 13:00,247,28.5
18.07.2023 12:30,250,28.4
18.07.2023 12:00,253,28.3
18.07.2023 11:30,256,28.3
18.07.2023 11:00,256,28.3
18.07.2023 10:30,254,28.3
18.07.2023 10:00,250,28.3
18.07.2023 09:30,242,28.3
18.07.2023 09:00,232,28.3
18.07.2023 08:30,220,28.4
18.07.2023 08:00,208,28.4
18.07.2023 07:30,198,28.4
18.07.2023 07:00,188,28.4
18.07.2023 06:30,180,28.5
18.07.2023 06:00,174,28.5
18.07.2023 05:30,167,28.5
18.07.2023 05:00,165,28.5
18.07.2023 04:30,165,28.5
18.07.2023 04:00,167,28.6
18.07.2023 03:30,172,28.6
18.07.2023 03:00,181,28.6
18.07.2023 02:30,193,28.5
18.07.2023 02:00,203,28.6
18.07.2023 01:30,216,28.7
