Datum,Vodostaj [cm],Temperatura vode [Â°C]
13.08.2023 04:00,174,26.2
13.08.2023 03:30,171,26.2
13.08.2023 03:00,171,26.2
13.08.2023 02:30,173,26.3
13.08.2023 02:00,176,26.3
13.08.2023 01:30,181,26.3
13.08.2023 01:00,187,26.3
13.08.2023 00:30,195,26.3
13.08.2023 00:00,206,26.4
12.08.2023 23:30,215,26.4
12.08.2023 23:00,224,26.4
12.08.2023 22:30,232,26.5
12.08.2023 22:00,238,26.5
12.08.2023 21:30,244,26.5
12.08.2023 21:00,250,26.6
12.08.2023 20:30,250,26.6
12.08.2023 20:00,251,26.7
12.08.2023 19:30,250,26.6
12.08.2023 19:00,247,26.7
12.08.2023 18:30,245,26.7
12.08.2023 18:00,243,26.7
12.08.2023 17:30,239,26.8
12.08.2023 17:00,236,26.8
12.08.2023 16:30,232,26.7
12.08.2023 16:00,228,26.5
12.08.2023 15:30,226,26.4
12.08.2023 15:00,226,26.3
12.08.2023 14:30,227,26.2
12.08.2023 14:00,227,26.1
12.08.2023 13:30,229,26.1
12.08.2023 13:00,232,26.0
12.08.2023 12:30,236,25.9
12.08.2023 12:00,240,25.8
12.08.2023 11:30,243,25.8
12.08.2023 11:00,247,25.8
12.08.2023 10:30,251,25.7
12.08.2023 10:00,253,25.6
12.08.2023 09:30,252,25.6
12.08.2023 09:00,249,25.6
12.08.2023 08:30,246,25.6
12.08.2023 08:00,242,25.6
12.08.2023 07:30,237,25.7
12.08.2023 07:00,231,25.7
12.08.2023 06:30,225,25.8
12.08.2023 06:00,217,25.8
12.08.2023 05:30,210,25.8
12.08.2023 05:00,200,25.9
12.08.2023 04:30,192,25.9
12.08.2023 04:00,185,25.9
12.08.2023 03:30,182,25.9
12.08.2023 03:00,179,25.9
12.08.2023 02:30,178,25.9
12.08.2023 02:00,180,26.0
12.08.2023 01:30,181,26.0
12.08.2023 01:00,187,26.0
12.08.2023 00:30,194,26.0
12.08.2023 00:00,200,26.0
11.08.2023 23:30,206,26.0
11.08.2023 23:00,214,26.1
11.08.2023 22:30,222,26.1
11.08.2023 22:00,228,26.2
11.08.2023 21:30,234,26.2
11.08.2023 21:00,240,26.3
11.08.2023 20:30,245,26.3
11.08.2023 20:00,248,26.3
11.08.2023 19:30,249,26.3
11.08.2023 19:00,248,26.3
11.08.2023 18:30,248,26.2
11.08.2023 18:00,247,26.2
11.08.2023 17:30,245,26.2
11.08.2023 17:00,243,26.2
11.08.2023 16:30,240,26.1
11.08.2023 16:00,239,26.1
11.08.2023 15:30,237,25.9
11.08.2023 15:00,235,25.8
11.08.2023 14:30,234,25.8
11.08.2023 14:00,233,25.6
11.08.2023 13:30,233,25.6
11.08.2023 13:00,234,25.6
11.08.2023 12:30,234,25.4
11.08.2023 12:00,234,25.4
11.08.2023 11:30,235,25.4
11.08.2023 11:00,237,25.2
11.08.2023 10:30,238,25.1
11.08.2023 10:00,240,25.1
11.08.2023 09:30,241,25.1
11.08.2023 09:00,242,25.2
11.08.2023 08:30,242,25.3
11.08.2023 08:00,241,25.4
11.08.2023 07:30,238,25.4
11.08.2023 07:00,235,25.4
11.08.2023 06:30,232,25.4
11.08.2023 06:00,227,25.4
11.08.2023 05:30,223,25.5
11.08.2023 05:00,217,25.6
11.08.2023 04:30,211,25.6
11.08.2023 04:00,206,25.6
11.08.2023 03:30,201,25.6
11.08.2023 03:00,197,25.6
11.08.2023 02:30,194,25.6
11.08.2023 02:00,192,25.6
11.08.2023 01:30,191,25.6
11.08.2023 01:00,193,25.6
11.08.2023 00:30,195,25.7
11.08.2023 00:00,200,25.7
10.08.2023 23:30,206,25.8
10.08.2023 23:00,212,25.8
10.08.2023 22:30,217,25.8
10.08.2023 22:00,222,25.9
10.08.2023 21:30,228,25.9
10.08.2023 21:00,234,25.9
10.08.2023 20:30,238,25.8
10.08.2023 20:00,242,25.8
10.08.2023 19:30,245,25.8
10.08.2023 19:00,248,25.8
10.08.2023 18:30,251,25.9
10.08.2023 18:00,252,25.9
10.08.2023 17:30,251,25.8
10.08.2023 17:00,250,25.7
10.08.2023 16:30,248,25.7
10.08.2023 16:00,246,25.6
10.08.2023 15:30,245,25.7
10.08.2023 15:00,243,25.6
10.08.2023 14:30,239,25.6
10.08.2023 14:00,238,25.6
10.08.2023 13:30,238,25.6
10.08.2023 13:00,237,25.5
10.08.2023 12:30,235,25.5
10.08.2023 12:00,237,25.5
10.08.2023 11:30,236,25.5
10.08.2023 11:00,236,25.5
10.08.2023 10:30,235,25.5
10.08.2023 10:00,236,25.5
10.08.2023 09:30,237,25.5
10.08.2023 09:00,240,25.5
10.08.2023 08:30,241,25.5
10.08.2023 08:00,242,25.4
10.08.2023 07:30,242,25.5
10.08.2023 07:00,240,25.5
10.08.2023 06:30,238,25.5
10.08.2023 06:00,234,25.5
10.08.2023 05:30,229,25.5
10.08.2023 05:00,226,25.5
10.08.2023 04:30,224,25.6
10.08.2023 04:00,219,25.6
10.08.2023 03:30,215,25.6
10.08.2023 03:00,213,25.6
10.08.2023 02:30,211,25.6
10.08.2023 02:00,208,25.6
10.08.2023 01:30,204,25.7
10.08.2023 01:00,203,25.7
10.08.2023 00:30,204,25.7
10.08.2023 00:00,203,25.7
09.08.2023 23:30,204,25.7
09.08.2023 23:00,205,25.7
