Datum,Vodostaj [cm],Pretok [mÂ³/s],Temperatura vode [Â°C]
17.08.2023 00:30,110,2.25,11.5
17.08.2023 00:00,110,2.25,11.6
16.08.2023 23:30,110,2.25,11.7
16.08.2023 23:00,110,2.25,11.8
16.08.2023 22:30,110,2.25,11.9
16.08.2023 22:00,110,2.25,12.0
16.08.2023 21:30,110,2.25,12.1
16.08.2023 21:00,111,2.34,12.1
16.08.2023 20:30,111,2.34,12.2
16.08.2023 20:00,111,2.34,12.2
16.08.2023 19:30,111,2.34,12.3
16.08.2023 19:00,111,2.34,12.3
16.08.2023 18:30,111,2.34,12.3
16.08.2023 18:00,111,2.34,12.3
16.08.2023 17:30,111,2.34,12.2
16.08.2023 17:00,111,2.34,12.2
16.08.2023 16:30,111,2.34,12.1
16.08.2023 16:00,111,2.34,12.0
16.08.2023 15:30,112,2.44,11.9
16.08.2023 15:00,112,2.44,11.8
16.08.2023 14:30,112,2.44,11.7
16.08.2023 14:00,112,2.44,11.6
16.08.2023 13:30,112,2.44,11.4
16.08.2023 13:00,112,2.44,11.3
16.08.2023 12:30,112,2.44,11.1
16.08.2023 12:00,112,2.44,11.0
16.08.2023 11:30,112,2.44,10.8
16.08.2023 11:00,112,2.44,10.7
16.08.2023 10:30,112,2.44,10.5
16.08.2023 10:00,112,2.44,10.4
16.08.2023 09:30,112,2.44,10.3
16.08.2023 09:00,112,2.44,10.3
16.08.2023 08:30,113,2.53,10.2
16.08.2023 08:00,113,2.53,10.2
16.08.2023 07:30,113,2.53,10.2
16.08.2023 07:00,113,2.53,10.2
16.08.2023 06:30,113,2.53,10.3
16.08.2023 06:00,113,2.53,10.3
16.08.2023 05:30,113,2.53,10.3
16.08.2023 05:00,113,2.53,10.4
16.08.2023 04:30,113,2.53,10.4
16.08.2023 04:00,113,2.53,10.5
16.08.2023 03:30,114,2.62,10.5
16.08.2023 03:00,114,2.62,10.6
16.08.2023 02:30,114,2.62,10.7
16.08.2023 02:00,114,2.62,10.8
16.08.2023 01:30,114,2.62,10.9
16.08.2023 01:00,114,2.62,11.1
16.08.2023 00:30,114,2.62,11.2
16.08.2023 00:00,114,2.62,11.3
15.08.2023 23:30,114,2.62,11.5
15.08.2023 23:00,114,2.62,11.6
15.08.2023 22:30,115,2.72,11.7
15.08.2023 22:00,115,2.72,11.8
15.08.2023 21:30,115,2.72,11.9
15.08.2023 21:00,115,2.72,12.0
15.08.2023 20:30,115,2.72,12.1
15.08.2023 20:00,115,2.72,12.2
15.08.2023 19:30,115,2.72,12.2
15.08.2023 19:00,115,2.72,12.3
15.08.2023 18:30,115,2.72,12.3
15.08.2023 18:00,116,2.81,12.3
15.08.2023 17:30,116,2.81,12.3
15.08.2023 17:00,116,2.81,12.2
15.08.2023 16:30,116,2.81,12.2
15.08.2023 16:00,116,2.81,12.1
15.08.2023 15:30,116,2.81,11.9
15.08.2023 15:00,116,2.81,11.8
15.08.2023 14:30,116,2.81,11.6
15.08.2023 14:00,117,2.91,11.5
15.08.2023 13:30,117,2.91,11.3
15.08.2023 13:00,117,2.91,11.1
15.08.2023 12:30,117,2.91,11.0
15.08.2023 12:00,117,2.91,10.8
15.08.2023 11:30,117,2.91,10.7
15.08.2023 11:00,117,2.91,10.5
15.08.2023 10:30,118,3.01,10.4
15.08.2023 10:00,118,3.01,10.3
15.08.2023 09:30,118,3.01,10.2
15.08.2023 09:00,118,3.01,10.1
15.08.2023 08:30,118,3.01,10.1
15.08.2023 08:00,118,3.01,10.1
15.08.2023 07:30,118,3.01,10.1
15.08.2023 07:00,118,3.01,10.1
15.08.2023 06:30,119,3.11,10.1
15.08.2023 06:00,119,3.11,10.1
15.08.2023 05:30,119,3.11,10.2
15.08.2023 05:00,119,3.11,10.2
15.08.2023 04:30,119,3.11,10.2
15.08.2023 04:00,119,3.11,10.3
15.08.2023 03:30,120,3.21,10.3
15.08.2023 03:00,120,3.21,10.4
15.08.2023 02:30,120,3.21,10.4
15.08.2023 02:00,121,3.31,10.5
15.08.2023 01:30,121,3.31,10.6
15.08.2023 01:00,121,3.31,10.8
15.08.2023 00:30,121,3.31,10.9
15.08.2023 00:00,121,3.31,11.1
14.08.2023 23:30,121,3.31,11.2
14.08.2023 23:00,122,3.41,11.4
14.08.2023 22:30,122,3.41,11.5
14.08.2023 22:00,122,3.41,11.6
14.08.2023 21:30,123,3.51,11.8
14.08.2023 21:00,123,3.51,11.9
14.08.2023 20:30,123,3.51,12.0
14.08.2023 20:00,123,3.51,12.1
14.08.2023 19:30,124,3.61,12.2
14.08.2023 19:00,124,3.61,12.2
14.08.2023 18:30,124,3.61,12.3
14.08.2023 18:00,124,3.61,12.3
14.08.2023 17:30,125,3.72,12.2
14.08.2023 17:00,125,3.72,12.2
14.08.2023 16:30,125,3.72,12.1
14.08.2023 16:00,125,3.72,12.0
14.08.2023 15:30,125,3.72,11.8
14.08.2023 15:00,126,3.82,11.7
14.08.2023 14:30,126,3.82,11.5
14.08.2023 14:00,126,3.82,11.3
14.08.2023 13:30,127,3.93,11.2
14.08.2023 13:00,127,3.93,11.0
14.08.2023 12:30,127,3.93,10.8
14.08.2023 12:00,127,3.93,10.7
14.08.2023 11:30,127,3.93,10.5
14.08.2023 11:00,128,4.03,10.4
14.08.2023 10:30,128,4.03,10.3
14.08.2023 10:00,128,4.03,10.2
14.08.2023 09:30,129,4.14,10.1
14.08.2023 09:00,129,4.14,10.1
14.08.2023 08:30,129,4.14,9.9
14.08.2023 08:00,130,4.25,9.9
14.08.2023 07:30,130,4.25,9.9
14.08.2023 07:00,130,4.25,9.9
14.08.2023 06:30,130,4.25,9.9
14.08.2023 06:00,131,4.36,10.0
14.08.2023 05:30,131,4.36,10.0
14.08.2023 05:00,131,4.36,10.1
14.08.2023 04:30,131,4.36,10.1
14.08.2023 04:00,132,4.47,10.1
14.08.2023 03:30,132,4.47,10.1
14.08.2023 03:00,132,4.47,10.2
14.08.2023 02:30,133,4.58,10.2
14.08.2023 02:00,133,4.58,10.3
14.08.2023 01:30,133,4.58,10.4
14.08.2023 01:00,134,4.69,10.5
14.08.2023 00:30,134,4.69,10.6
14.08.2023 00:00,134,4.69,10.7
13.08.2023 23:30,135,4.80,10.8
13.08.2023 23:00,135,4.80,11.0
13.08.2023 22:30,135,4.80,11.1
13.08.2023 22:00,136,4.92,11.2
13.08.2023 21:30,136,4.92,11.4
13.08.2023 21:00,136,4.92,11.5
13.08.2023 20:30,137,5.03,11.6
13.08.2023 20:00,137,5.03,11.7
13.08.2023 19:30,137,5.03,11.8
13.08.2023 19:00,138,5.15,11.9
13.08.2023 18:30,138,5.15,12.0
13.08.2023 18:00,138,5.15,12.0
13.08.2023 17:30,139,5.26,12.0
13.08.2023 17:00,139,5.26,11.9
13.08.2023 16:30,139,5.26,11.9
13.08.2023 16:00,140,5.38,11.8
13.08.2023 15:30,140,5.38,11.6
13.08.2023 15:00,140,5.38,11.5
13.08.2023 14:30,141,5.50,11.4
13.08.2023 14:00,141,5.50,11.2
13.08.2023 13:30,142,5.62,11.0
13.08.2023 13:00,142,5.62,10.9
