Datum,Vodostaj [cm],Pretok [mÂ³/s],Temperatura vode [Â°C]
17.08.2023 00:30,151,0.599,14.5
17.08.2023 00:00,151,0.599,14.6
16.08.2023 23:30,151,0.599,14.6
16.08.2023 23:00,151,0.599,14.8
16.08.2023 22:30,152,0.660,14.9
16.08.2023 22:00,152,0.660,15.1
16.08.2023 21:30,153,0.729,15.3
16.08.2023 21:00,153,0.729,15.5
16.08.2023 20:30,154,0.805,15.8
16.08.2023 20:00,157,1.09,16.1
16.08.2023 19:30,158,1.20,16.3
16.08.2023 19:00,159,1.38,16.7
16.08.2023 18:30,166,2.75,17.0
16.08.2023 18:00,172,4.09,16.4
16.08.2023 17:30,156,0.985,17.4
16.08.2023 17:00,167,2.96,17.6
16.08.2023 16:30,147,0.417,16.2
16.08.2023 16:00,147,0.417,16.6
16.08.2023 15:30,147,0.417,17.0
16.08.2023 15:00,147,0.417,16.9
16.08.2023 14:30,147,0.417,16.8
16.08.2023 14:00,147,0.417,16.6
16.08.2023 13:30,147,0.417,16.2
16.08.2023 13:00,148,0.454,16.1
16.08.2023 12:30,147,0.417,15.9
16.08.2023 12:00,148,0.454,15.4
16.08.2023 11:30,148,0.454,14.9
16.08.2023 11:00,148,0.454,14.6
16.08.2023 10:30,148,0.454,14.3
16.08.2023 10:00,148,0.454,14.0
16.08.2023 09:30,148,0.454,13.8
16.08.2023 09:00,148,0.454,13.7
16.08.2023 08:30,148,0.454,13.7
16.08.2023 08:00,148,0.454,13.7
16.08.2023 07:30,148,0.454,13.6
16.08.2023 07:00,148,0.454,13.6
16.08.2023 06:30,148,0.454,13.6
16.08.2023 06:00,148,0.454,13.6
16.08.2023 05:30,148,0.454,13.6
16.08.2023 05:00,148,0.454,13.7
16.08.2023 04:30,148,0.454,13.7
16.08.2023 04:00,148,0.454,13.8
16.08.2023 03:30,148,0.454,13.8
16.08.2023 03:00,148,0.454,13.9
16.08.2023 02:30,148,0.454,13.9
16.08.2023 02:00,148,0.454,14.0
16.08.2023 01:30,148,0.454,14.0
16.08.2023 01:00,148,0.454,14.1
16.08.2023 00:30,148,0.454,14.2
16.08.2023 00:00,149,0.497,14.2
15.08.2023 23:30,148,0.454,14.3
15.08.2023 23:00,148,0.454,14.4
15.08.2023 22:30,148,0.454,14.5
15.08.2023 22:00,148,0.454,14.6
15.08.2023 21:30,148,0.454,14.7
15.08.2023 21:00,148,0.454,14.9
15.08.2023 20:30,148,0.454,15.0
15.08.2023 20:00,148,0.454,15.2
15.08.2023 19:30,149,0.497,15.5
15.08.2023 19:00,148,0.454,15.7
15.08.2023 18:30,148,0.454,15.9
15.08.2023 18:00,148,0.454,16.3
15.08.2023 17:30,149,0.497,16.5
15.08.2023 17:00,148,0.454,16.7
15.08.2023 16:30,149,0.497,16.8
15.08.2023 16:00,148,0.454,16.9
15.08.2023 15:30,148,0.454,16.8
15.08.2023 15:00,148,0.454,16.7
15.08.2023 14:30,148,0.454,16.5
15.08.2023 14:00,148,0.454,16.3
15.08.2023 13:30,148,0.454,16.0
15.08.2023 13:00,149,0.497,15.6
15.08.2023 12:30,149,0.497,15.2
15.08.2023 12:00,149,0.497,14.8
15.08.2023 11:30,149,0.497,14.5
15.08.2023 11:00,149,0.497,14.2
15.08.2023 10:30,149,0.497,13.9
15.08.2023 10:00,149,0.497,13.6
15.08.2023 09:30,149,0.497,13.5
15.08.2023 09:00,149,0.497,13.4
15.08.2023 08:30,149,0.497,13.4
