Datum,Vodostaj [cm],Pretok [mÂ³/s],Temperatura vode [Â°C]
17.08.2023 00:30,178,73.6,13.4
17.08.2023 00:00,177,72.4,13.6
16.08.2023 23:30,178,73.6,13.8
16.08.2023 23:00,178,73.6,13.9
16.08.2023 22:30,178,73.6,14.1
16.08.2023 22:00,178,73.6,14.2
16.08.2023 21:30,178,73.6,14.3
16.08.2023 21:00,178,73.6,14.3
16.08.2023 20:30,178,73.6,14.3
16.08.2023 20:00,177,72.4,14.3
16.08.2023 19:30,176,71.3,14.4
16.08.2023 19:00,177,72.4,14.5
16.08.2023 18:30,178,73.6,14.6
16.08.2023 18:00,176,71.3,14.7
16.08.2023 17:30,177,72.4,14.8
16.08.2023 17:00,179,74.8,14.8
16.08.2023 16:30,180,75.9,14.8
16.08.2023 16:00,180,75.9,14.8
16.08.2023 15:30,180,75.9,14.7
16.08.2023 15:00,180,75.9,14.5
16.08.2023 14:30,180,75.9,14.3
16.08.2023 14:00,181,77.1,14.0
16.08.2023 13:30,180,75.9,13.7
16.08.2023 13:00,180,75.9,13.6
16.08.2023 12:30,180,75.9,13.4
16.08.2023 12:00,180,75.9,13.2
16.08.2023 11:30,181,77.1,13.1
16.08.2023 11:00,179,74.8,13.0
16.08.2023 10:30,179,74.8,12.8
16.08.2023 10:00,176,71.3,12.7
16.08.2023 09:30,174,69.0,12.5
16.08.2023 09:00,172,66.8,12.5
16.08.2023 08:30,171,65.7,12.5
16.08.2023 08:00,171,65.7,12.5
16.08.2023 07:30,171,65.7,12.5
16.08.2023 07:00,171,65.7,12.5
16.08.2023 06:30,172,66.8,12.6
16.08.2023 06:00,175,70.2,12.7
16.08.2023 05:30,176,71.3,12.7
16.08.2023 05:00,176,71.3,12.8
16.08.2023 04:30,177,72.4,12.8
16.08.2023 04:00,178,73.6,12.9
16.08.2023 03:30,180,75.9,12.9
16.08.2023 03:00,180,75.9,13.0
16.08.2023 02:30,180,75.9,13.1
16.08.2023 02:00,180,75.9,13.2
16.08.2023 01:30,180,75.9,13.3
16.08.2023 01:00,180,75.9,13.4
16.08.2023 00:30,180,75.9,13.5
16.08.2023 00:00,180,75.9,13.7
15.08.2023 23:30,181,77.1,13.8
15.08.2023 23:00,180,75.9,13.9
15.08.2023 22:30,180,75.9,14.1
15.08.2023 22:00,180,75.9,14.3
15.08.2023 21:30,181,77.1,14.4
15.08.2023 21:00,181,77.1,14.7
15.08.2023 20:30,181,77.1,14.8
15.08.2023 20:00,181,77.1,14.9
15.08.2023 19:30,181,77.1,15.0
15.08.2023 19:00,181,77.1,15.1
15.08.2023 18:30,180,75.9,15.1
15.08.2023 18:00,181,77.1,15.2
15.08.2023 17:30,180,75.9,15.1
15.08.2023 17:00,181,77.1,15.1
15.08.2023 16:30,180,75.9,15.0
15.08.2023 16:00,181,77.1,14.8
15.08.2023 15:30,181,77.1,14.6
15.08.2023 15:00,181,77.1,14.4
15.08.2023 14:30,181,77.1,14.2
15.08.2023 14:00,182,78.3,14.0
15.08.2023 13:30,183,79.5,13.7
15.08.2023 13:00,183,79.5,13.5
15.08.2023 12:30,183,79.5,13.3
15.08.2023 12:00,184,80.8,13.1
15.08.2023 11:30,184,80.8,12.9
15.08.2023 11:00,184,80.8,12.7
15.08.2023 10:30,184,80.8,12.5
15.08.2023 10:00,183,79.5,12.3
15.08.2023 09:30,183,79.5,12.2
15.08.2023 09:00,183,79.5,12.2
15.08.2023 08:30,183,79.5,12.1
15.08.2023 08:00,183,79.5,12.2
15.08.2023 07:30,183,79.5,12.2
15.08.2023 07:00,183,79.5,12.2
15.08.2023 06:30,183,79.5,12.3
15.08.2023 06:00,184,80.8,12.3
15.08.2023 05:30,184,80.8,12.4
15.08.2023 05:00,183,79.5,12.5
15.08.2023 04:30,184,80.8,12.5
15.08.2023 04:00,184,80.8,12.6
15.08.2023 03:30,183,79.5,12.7
15.08.2023 03:00,183,79.5,12.8
15.08.2023 02:30,183,79.5,12.9
15.08.2023 02:00,183,79.5,13.1
15.08.2023 01:30,183,79.5,13.2
15.08.2023 01:00,183,79.5,13.3
15.08.2023 00:30,183,79.5,13.5
15.08.2023 00:00,184,80.8,13.6
14.08.2023 23:30,184,80.8,13.8
14.08.2023 23:00,185,82.0,14.0
14.08.2023 22:30,185,82.0,14.1
14.08.2023 22:00,186,83.2,14.2
14.08.2023 21:30,184,80.8,14.4
14.08.2023 21:00,185,82.0,14.5
14.08.2023 20:30,183,79.5,14.7
14.08.2023 20:00,182,78.3,14.8
14.08.2023 19:30,183,79.5,14.9
14.08.2023 19:00,182,78.3,15.0
14.08.2023 18:30,183,79.5,15.1
14.08.2023 18:00,183,79.5,15.1
14.08.2023 17:30,183,79.5,15.1
14.08.2023 17:00,183,79.5,15.0
14.08.2023 16:30,184,80.8,14.9
14.08.2023 16:00,184,80.8,14.8
14.08.2023 15:30,184,80.8,14.5
14.08.2023 15:00,184,80.8,14.3
14.08.2023 14:30,184,80.8,14.1
14.08.2023 14:00,185,82.0,13.9
14.08.2023 13:30,187,84.5,13.7
14.08.2023 13:00,188,85.7,13.6
14.08.2023 12:30,189,87.0,13.5
14.08.2023 12:00,189,87.0,13.3
14.08.2023 11:30,188,85.7,13.1
14.08.2023 11:00,187,84.5,12.8
14.08.2023 10:30,185,82.0,12.6
14.08.2023 10:00,177,72.4,12.5
14.08.2023 09:30,173,67.9,12.4
14.08.2023 09:00,174,69.0,12.3
14.08.2023 08:30,174,69.0,12.4
14.08.2023 08:00,176,71.3,12.4
14.08.2023 07:30,180,75.9,12.4
14.08.2023 07:00,183,79.5,12.3
14.08.2023 06:30,185,82.0,12.3
14.08.2023 06:00,185,82.0,12.3
14.08.2023 05:30,186,83.2,12.4
14.08.2023 05:00,187,84.5,12.4
14.08.2023 04:30,188,85.7,12.4
14.08.2023 04:00,190,88.3,12.5
14.08.2023 03:30,192,90.9,12.5
14.08.2023 03:00,193,92.2,12.5
14.08.2023 02:30,193,92.2,12.6
14.08.2023 02:00,194,93.5,12.6
14.08.2023 01:30,194,93.5,12.7
14.08.2023 01:00,194,93.5,12.8
14.08.2023 00:30,195,94.9,12.9
14.08.2023 00:00,194,93.5,13.0
13.08.2023 23:30,195,94.9,13.2
13.08.2023 23:00,195,94.9,13.3
13.08.2023 22:30,194,93.5,13.4
13.08.2023 22:00,194,93.5,13.7
13.08.2023 21:30,194,93.5,13.8
13.08.2023 21:00,192,90.9,14.0
13.08.2023 20:30,189,87.0,14.1
13.08.2023 20:00,188,85.7,14.3
13.08.2023 19:30,187,84.5,14.4
13.08.2023 19:00,187,84.5,14.5
13.08.2023 18:30,186,83.2,14.7
13.08.2023 18:00,186,83.2,14.8
13.08.2023 17:30,186,83.2,14.7
13.08.2023 17:00,187,84.5,14.6
13.08.2023 16:30,188,85.7,14.5
13.08.2023 16:00,191,89.6,14.5
13.08.2023 15:30,193,92.2,14.3
13.08.2023 15:00,194,93.5,14.1
13.08.2023 14:30,194,93.5,13.8
13.08.2023 14:00,194,93.5,13.6
13.08.2023 13:30,194,93.5,13.4
13.08.2023 13:00,195,94.9,13.2
13.08.2023 12:30,195,94.9,13.0
13.08.2023 12:00,195,94.9,12.8
13.08.2023 11:30,195,94.9,12.6
13.08.2023 11:00,195,94.9,12.4
13.08.2023 10:30,195,94.9,12.2
13.08.2023 10:00,193,92.2,12.0
13.08.2023 09:30,192,90.9,12.0
13.08.2023 09:00,191,89.6,11.9
13.08.2023 08:30,191,89.6,11.9
13.08.2023 08:00,191,89.6,11.8
13.08.2023 07:30,192,90.9,11.9
13.08.2023 07:00,192,90.9,11.9
13.08.2023 06:30,192,90.9,11.9
13.08.2023 06:00,192,90.9,12.0
13.08.2023 05:30,193,92.2,12.1
13.08.2023 05:00,195,94.9,12.1
13.08.2023 04:30,196,96.2,12.1
13.08.2023 04:00,197,97.6,12.2
13.08.2023 03:30,197,97.6,12.2
13.08.2023 03:00,197,97.6,12.3
13.08.2023 02:30,197,97.6,12.4
13.08.2023 02:00,198,99.0,12.5
13.08.2023 01:30,198,99.0,12.6
13.08.2023 01:00,198,99.0,12.7
13.08.2023 00:30,198,99.0,12.9
13.08.2023 00:00,199,100,13.1
12.08.2023 23:30,199,100,13.4
12.08.2023 23:00,199,100,13.5
12.08.2023 22:30,199,100,13.6
12.08.2023 22:00,198,99.0,13.8
12.08.2023 21:30,198,99.0,13.9
12.08.2023 21:00,196,96.2,14.0
12.08.2023 20:30,193,92.2,14.1
12.08.2023 20:00,192,90.9,14.2
12.08.2023 19:30,192,90.9,14.3
12.08.2023 19:00,192,90.9,14.3
