Datum,Vodostaj [cm],Pretok [m³/s],Temperatura vode [°C]
31.07.2023 01:30,98,0.096,20.8
31.07.2023 02:00,98,0.096,20.7
31.07.2023 02:30,97,0.078,20.6
31.07.2023 03:00,97,0.078,20.4
31.07.2023 03:30,97,0.078,20.3
31.07.2023 04:00,97,0.078,20.2
31.07.2023 04:30,97,0.078,20.0
31.07.2023 05:00,97,0.078,19.9
31.07.2023 05:30,97,0.078,19.8
31.07.2023 06:00,97,0.078,19.7
31.07.2023 06:30,96,0.062,19.6
31.07.2023 07:00,96,0.062,19.5
31.07.2023 07:30,96,0.062,19.4
31.07.2023 08:00,96,0.062,19.3
31.07.2023 08:30,96,0.062,19.3
31.07.2023 09:00,96,0.062,19.3
31.07.2023 09:30,96,0.062,19.4
31.07.2023 10:00,96,0.062,19.5
31.07.2023 10:30,96,0.062,19.6
31.07.2023 11:00,96,0.062,19.8
31.07.2023 11:30,95,0.049,20.0
31.07.2023 12:00,95,0.049,20.2
31.07.2023 12:30,95,0.049,20.5
31.07.2023 13:00,95,0.049,20.8
31.07.2023 13:30,95,0.049,21.0
31.07.2023 14:00,95,0.049,21.2
31.07.2023 14:30,95,0.049,21.4
31.07.2023 15:00,94,0.037,21.7
31.07.2023 15:30,94,0.037,22.0
31.07.2023 16:00,94,0.037,22.3
31.07.2023 16:30,94,0.037,22.6
31.07.2023 17:00,94,0.037,22.7
31.07.2023 17:30,94,0.037,22.7
31.07.2023 18:00,94,0.037,22.8
31.07.2023 18:30,94,0.037,23.0
31.07.2023 19:00,94,0.037,23.2
31.07.2023 19:30,94,0.037,23.4
31.07.2023 20:00,94,0.037,23.4
31.07.2023 20:30,94,0.037,23.4
31.07.2023 21:00,94,0.037,23.2
31.07.2023 21:30,94,0.037,22.9
31.07.2023 22:00,93,0.028,22.7
31.07.2023 22:30,94,0.037,22.5
31.07.2023 23:00,93,0.028,22.3
31.07.2023 23:30,93,0.028,22.1
01.08.2023 00:00,93,0.028,21.9
01.08.2023 00:30,93,0.028,21.7
01.08.2023 01:00,93,0.028,21.5
01.08.2023 01:30,93,0.028,21.3
01.08.2023 02:00,93,0.028,21.2
01.08.2023 02:30,93,0.028,21.0
01.08.2023 03:00,93,0.028,20.8
01.08.2023 03:30,93,0.028,20.7
01.08.2023 04:00,93,0.028,20.4
01.08.2023 04:30,93,0.028,20.3
01.08.2023 05:00,93,0.028,20.2
01.08.2023 05:30,93,0.028,20.1
01.08.2023 06:00,93,0.028,20.0
01.08.2023 06:30,93,0.028,19.8
01.08.2023 07:00,93,0.028,19.7
01.08.2023 07:30,93,0.028,19.7
01.08.2023 08:00,93,0.028,19.6
01.08.2023 08:30,93,0.028,19.6
01.08.2023 09:00,93,0.028,19.6
01.08.2023 09:30,94,0.037,19.6
01.08.2023 10:00,93,0.028,19.6
01.08.2023 10:30,93,0.028,19.7
01.08.2023 11:00,93,0.028,19.8
01.08.2023 11:30,93,0.028,19.9
01.08.2023 12:00,93,0.028,19.9
01.08.2023 12:30,93,0.028,20.0
01.08.2023 13:00,92,0.020,20.1
01.08.2023 13:30,93,0.028,20.2
01.08.2023 14:00,92,0.020,20.4
01.08.2023 14:30,92,0.020,20.8
01.08.2023 15:00,92,0.020,21.0
01.08.2023 15:30,92,0.020,21.2
01.08.2023 16:00,92,0.020,21.4
01.08.2023 16:30,92,0.020,21.5
01.08.2023 17:00,92,0.020,21.6
01.08.2023 17:30,92,0.020,21.7
01.08.2023 18:00,92,0.020,21.8
01.08.2023 18:30,92,0.020,21.8
