Datum,Vodostaj [cm],Pretok [m³/s],Temperatura vode [°C]
31.07.2023 01:30,141,1.65,17.0
31.07.2023 02:00,141,1.65,16.9
31.07.2023 02:30,141,1.65,16.8
31.07.2023 03:00,141,1.65,16.7
31.07.2023 03:30,141,1.65,16.6
31.07.2023 04:00,140,1.53,16.6
31.07.2023 04:30,141,1.65,16.5
31.07.2023 05:00,140,1.53,16.4
31.07.2023 05:30,140,1.53,16.3
31.07.2023 06:00,140,1.53,16.3
31.07.2023 06:30,140,1.53,16.2
31.07.2023 07:00,140,1.53,16.2
31.07.2023 07:30,139,1.40,16.2
31.07.2023 08:00,140,1.53,16.2
31.07.2023 08:30,139,1.40,16.2
31.07.2023 09:00,139,1.40,16.2
31.07.2023 09:30,139,1.40,16.2
31.07.2023 10:00,139,1.40,16.4
31.07.2023 10:30,139,1.40,16.5
31.07.2023 11:00,139,1.40,16.6
31.07.2023 11:30,139,1.40,16.8
31.07.2023 12:00,139,1.40,17.1
31.07.2023 12:30,139,1.40,17.4
31.07.2023 13:00,138,1.29,17.7
31.07.2023 13:30,138,1.29,18.0
31.07.2023 14:00,138,1.29,18.1
31.07.2023 14:30,138,1.29,18.2
31.07.2023 15:00,138,1.29,18.3
31.07.2023 15:30,137,1.17,18.5
31.07.2023 16:00,137,1.17,18.6
31.07.2023 16:30,137,1.17,18.8
31.07.2023 17:00,137,1.17,18.9
31.07.2023 17:30,137,1.17,18.9
31.07.2023 18:00,137,1.17,18.8
31.07.2023 18:30,137,1.17,18.8
31.07.2023 19:00,137,1.17,18.7
31.07.2023 19:30,137,1.17,18.6
31.07.2023 20:00,137,1.17,18.5
31.07.2023 20:30,136,1.07,18.5
31.07.2023 21:00,136,1.07,18.4
31.07.2023 21:30,137,1.17,18.3
31.07.2023 22:00,136,1.07,18.2
31.07.2023 22:30,136,1.07,18.1
31.07.2023 23:00,136,1.07,18.0
31.07.2023 23:30,136,1.07,17.9
01.08.2023 00:00,136,1.07,17.7
01.08.2023 00:30,136,1.07,17.6
01.08.2023 01:00,136,1.07,17.4
01.08.2023 01:30,136,1.07,17.3
01.08.2023 02:00,136,1.07,17.1
01.08.2023 02:30,136,1.07,17.0
01.08.2023 03:00,136,1.07,16.8
01.08.2023 03:30,136,1.07,16.7
01.08.2023 04:00,136,1.07,16.6
01.08.2023 04:30,136,1.07,16.5
01.08.2023 05:00,136,1.07,16.5
01.08.2023 05:30,136,1.07,16.4
01.08.2023 06:00,136,1.07,16.3
01.08.2023 06:30,136,1.07,16.3
01.08.2023 07:00,136,1.07,16.2
