Datum,Vodostaj [cm],Pretok [m³/s],Temperatura vode [°C]
31.07.2023 01:30,73,7.68,11.0
31.07.2023 02:00,73,7.68,11.0
31.07.2023 02:30,73,7.68,11.0
31.07.2023 03:00,74,8.06,11.0
31.07.2023 03:30,74,8.06,11.0
31.07.2023 04:00,74,8.06,11.0
31.07.2023 04:30,75,8.45,11.0
31.07.2023 05:00,75,8.45,11.0
31.07.2023 05:30,75,8.45,11.0
31.07.2023 06:00,76,8.83,10.9
31.07.2023 06:30,76,8.83,10.9
31.07.2023 07:00,76,8.83,10.9
31.07.2023 07:30,75,8.45,10.9
31.07.2023 08:00,75,8.45,10.9
31.07.2023 08:30,75,8.45,10.9
31.07.2023 09:00,76,8.83,11.0
31.07.2023 09:30,75,8.45,11.0
31.07.2023 10:00,75,8.45,11.1
31.07.2023 10:30,74,8.06,11.1
31.07.2023 11:00,74,8.06,11.2
31.07.2023 11:30,73,7.68,11.4
31.07.2023 12:00,73,7.68,11.4
31.07.2023 12:30,72,7.31,11.5
31.07.2023 13:00,71,6.95,11.6
31.07.2023 13:30,71,6.95,11.7
31.07.2023 14:00,70,6.59,11.9
31.07.2023 14:30,69,6.30,12.0
31.07.2023 15:00,69,6.30,12.1
31.07.2023 15:30,69,6.30,12.2
31.07.2023 16:00,68,6.02,12.2
31.07.2023 16:30,68,6.02,12.2
31.07.2023 17:00,67,5.74,12.2
31.07.2023 17:30,66,5.45,12.1
31.07.2023 18:00,66,5.45,12.1
31.07.2023 18:30,66,5.45,12.1
31.07.2023 19:00,66,5.45,12.0
31.07.2023 19:30,66,5.45,11.9
31.07.2023 20:00,66,5.45,11.9
31.07.2023 20:30,65,5.18,11.8
31.07.2023 21:00,65,5.18,11.7
31.07.2023 21:30,65,5.18,11.6
31.07.2023 22:00,64,4.90,11.5
31.07.2023 22:30,64,4.90,11.5
31.07.2023 23:00,64,4.90,11.4
31.07.2023 23:30,64,4.90,11.3
01.08.2023 00:00,64,4.90,11.2
01.08.2023 00:30,64,4.90,11.2
01.08.2023 01:00,64,4.90,11.1
01.08.2023 01:30,63,4.63,11.0
01.08.2023 02:00,63,4.63,11.0
01.08.2023 02:30,63,4.63,10.9
01.08.2023 03:00,63,4.63,10.9
01.08.2023 03:30,63,4.63,10.8
01.08.2023 04:00,63,4.63,10.8
01.08.2023 04:30,62,4.36,10.7
01.08.2023 05:00,62,4.36,10.7
01.08.2023 05:30,62,4.36,10.7
01.08.2023 06:00,62,4.36,10.6
01.08.2023 06:30,62,4.36,10.6
01.08.2023 07:00,62,4.36,10.6
01.08.2023 07:30,62,4.36,10.6
01.08.2023 08:00,61,4.10,10.6
01.08.2023 08:30,61,4.10,10.7
01.08.2023 09:00,61,4.10,10.7
01.08.2023 09:30,61,4.10,10.8
01.08.2023 10:00,61,4.10,10.8
01.08.2023 10:30,61,4.10,10.9
01.08.2023 11:00,61,4.10,10.9
01.08.2023 11:30,61,4.10,10.9
01.08.2023 12:00,61,4.10,11.0
01.08.2023 12:30,60,3.85,11.0
01.08.2023 13:00,60,3.85,11.1
01.08.2023 13:30,61,4.10,11.2
01.08.2023 14:00,60,3.85,11.3
01.08.2023 14:30,60,3.85,11.3
01.08.2023 15:00,60,3.85,11.4
01.08.2023 15:30,60,3.85,11.4
01.08.2023 16:00,60,3.85,11.5
01.08.2023 16:30,60,3.85,11.5
01.08.2023 17:00,59,3.60,11.6
01.08.2023 17:30,60,3.85,11.7
01.08.2023 18:00,60,3.85,11.7
01.08.2023 18:30,59,3.60,11.7
01.08.2023 19:00,59,3.60,11.6
01.08.2023 19:30,59,3.60,11.6
01.08.2023 20:00,59,3.60,11.6
01.08.2023 20:30,61,4.10,11.8
01.08.2023 21:00,82,11.3,12.6
01.08.2023 21:30,69,6.30,13.3
01.08.2023 22:00,76,8.83,12.7
01.08.2023 22:30,77,9.23,12.2
01.08.2023 23:00,75,8.45,12.9
01.08.2023 23:30,73,7.68,13.0
02.08.2023 00:00,71,6.95,12.9
02.08.2023 00:30,71,6.95,12.7
02.08.2023 01:00,74,8.06,12.6
02.08.2023 01:30,77,9.23,12.7
02.08.2023 02:00,79,10.0,13.3
02.08.2023 02:30,82,11.3,14.5
02.08.2023 03:00,84,12.2,14.5
02.08.2023 03:30,85,12.6,13.6
02.08.2023 04:00,88,14.0,12.7
02.08.2023 04:30,89,14.4,12.1
02.08.2023 05:00,91,15.4,11.7
02.08.2023 05:30,92,15.8,11.4
02.08.2023 06:00,93,16.3,11.2
02.08.2023 06:30,95,17.3,11.1
02.08.2023 07:00,95,17.3,11.0
02.08.2023 07:30,95,17.3,10.9
02.08.2023 08:00,96,17.8,10.9
02.08.2023 08:30,96,17.8,10.8
02.08.2023 09:00,98,18.8,10.8
02.08.2023 09:30,98,18.8,10.8
02.08.2023 10:00,98,18.8,10.8
02.08.2023 10:30,98,18.8,10.8
02.08.2023 11:00,98,18.8,10.8
02.08.2023 11:30,98,18.8,10.8
02.08.2023 12:00,98,18.8,10.8
02.08.2023 12:30,98,18.8,10.8
02.08.2023 13:00,98,18.8,10.8
02.08.2023 13:30,97,18.3,10.8
02.08.2023 14:00,97,18.3,10.9
02.08.2023 14:30,97,18.3,11.0
02.08.2023 15:00,96,17.8,11.0
