Datum,Vodostaj [cm],Pretok [m³/s],Temperatura vode [°C]
30.08.2023 00:30,139,11.8,14.6
30.08.2023 00:00,140,12.3,14.7
29.08.2023 23:30,140,12.3,14.8
29.08.2023 23:00,140,12.3,14.9
29.08.2023 22:30,141,12.7,15.0
29.08.2023 22:00,141,12.7,15.0
29.08.2023 21:30,141,12.7,15.1
29.08.2023 21:00,142,13.2,15.2
29.08.2023 20:30,142,13.2,15.3
29.08.2023 20:00,143,13.7,15.3
29.08.2023 19:30,144,14.2,15.3
29.08.2023 19:00,144,14.2,15.4
29.08.2023 18:30,144,14.2,15.4
29.08.2023 18:00,144,14.2,15.4
29.08.2023 17:30,144,14.2,15.4
29.08.2023 17:00,145,14.8,15.4
29.08.2023 16:30,145,14.8,15.3
29.08.2023 16:00,146,15.3,15.3
29.08.2023 15:30,146,15.3,15.3
29.08.2023 15:00,146,15.3,15.1
29.08.2023 14:30,146,15.3,15.1
29.08.2023 14:00,147,15.9,15.0
29.08.2023 13:30,148,16.5,15.0
29.08.2023 13:00,149,17.1,15.0
29.08.2023 12:30,150,17.7,14.7
29.08.2023 12:00,150,17.7,14.4
29.08.2023 11:30,151,18.3,14.3
29.08.2023 11:00,152,18.9,14.2
29.08.2023 10:30,152,18.9,14.2
29.08.2023 10:00,154,20.2,14.1
29.08.2023 09:30,155,20.8,14.1
29.08.2023 09:00,156,21.4,14.1
29.08.2023 08:30,156,21.4,14.1
29.08.2023 08:00,158,22.7,14.1
29.08.2023 07:30,160,23.9,14.1
29.08.2023 07:00,161,24.6,14.1
29.08.2023 06:30,163,25.9,14.1
29.08.2023 06:00,165,27.1,14.1
29.08.2023 05:30,168,29.1,14.2
29.08.2023 05:00,170,30.4,14.2
29.08.2023 04:30,172,31.7,14.2
29.08.2023 04:00,176,34.3,14.3
29.08.2023 03:30,178,35.6,14.4
29.08.2023 03:00,181,37.6,14.4
29.08.2023 02:30,183,38.9,14.5
29.08.2023 02:00,187,41.6,14.5
29.08.2023 01:30,189,42.9,14.7
29.08.2023 01:00,193,45.6,14.8
29.08.2023 00:30,197,48.4,14.9
29.08.2023 00:00,202,51.8,15.0
28.08.2023 23:30,207,55.2,15.2
28.08.2023 23:00,213,59.4,15.4
28.08.2023 22:30,220,64.4,15.8
28.08.2023 22:00,227,69.3,16.1
28.08.2023 21:30,236,75.8,16.1
28.08.2023 21:00,242,80.2,16.2
28.08.2023 20:30,241,79.5,16.4
28.08.2023 20:00,242,80.2,16.5
