Datum,Vodostaj [cm],Pretok [mÂ³/s],Temperatura vode [Â°C]
17.08.2023 00:30,45,1.21,-
17.08.2023 00:00,45,1.21,-
16.08.2023 23:30,45,1.21,-
16.08.2023 23:00,45,1.21,-
16.08.2023 22:30,45,1.21,-
16.08.2023 22:00,45,1.21,-
16.08.2023 21:30,45,1.21,-
16.08.2023 21:00,45,1.21,-
16.08.2023 20:30,45,1.21,-
16.08.2023 20:00,45,1.21,-
16.08.2023 19:30,45,1.21,-
16.08.2023 19:00,45,1.21,-
16.08.2023 18:30,45,1.21,-
16.08.2023 18:00,46,1.34,-
16.08.2023 17:30,45,1.21,-
16.08.2023 17:00,45,1.21,-
16.08.2023 16:30,45,1.21,-
16.08.2023 16:00,46,1.34,-
16.08.2023 15:30,46,1.34,-
16.08.2023 15:00,46,1.34,-
16.08.2023 14:30,46,1.34,-
16.08.2023 14:00,46,1.34,-
16.08.2023 13:30,46,1.34,-
16.08.2023 13:00,46,1.34,-
16.08.2023 12:30,46,1.34,-
16.08.2023 12:00,46,1.34,-
16.08.2023 11:30,46,1.34,-
16.08.2023 11:00,46,1.34,-
16.08.2023 10:30,46,1.34,-
16.08.2023 10:00,46,1.34,-
16.08.2023 09:30,46,1.34,-
16.08.2023 09:00,46,1.34,-
16.08.2023 08:30,46,1.34,-
16.08.2023 08:00,46,1.34,-
16.08.2023 07:30,46,1.34,7.7
16.08.2023 07:00,46,1.34,7.7
16.08.2023 06:30,46,1.34,7.8
16.08.2023 06:00,46,1.34,7.8
16.08.2023 05:30,46,1.34,7.8
16.08.2023 05:00,46,1.34,7.8
16.08.2023 04:30,46,1.34,7.9
16.08.2023 04:00,46,1.34,7.9
16.08.2023 03:30,46,1.34,8.0
16.08.2023 03:00,46,1.34,8.0
16.08.2023 02:30,46,1.34,8.1
16.08.2023 02:00,46,1.34,8.1
16.08.2023 01:30,46,1.34,8.2
16.08.2023 01:00,46,1.34,8.2
16.08.2023 00:30,46,1.34,8.3
16.08.2023 00:00,46,1.34,8.4
15.08.2023 23:30,46,1.34,8.4
15.08.2023 23:00,46,1.34,8.5
15.08.2023 22:30,46,1.34,8.6
15.08.2023 22:00,46,1.34,8.7
15.08.2023 21:30,46,1.34,8.9
15.08.2023 21:00,46,1.34,9.0
15.08.2023 20:30,46,1.34,9.2
15.08.2023 20:00,46,1.34,9.5
15.08.2023 19:30,46,1.34,9.8
15.08.2023 19:00,47,1.49,10.1
15.08.2023 18:30,46,1.34,10.4
15.08.2023 18:00,47,1.49,10.8
15.08.2023 17:30,46,1.34,11.1
15.08.2023 17:00,47,1.49,11.2
15.08.2023 16:30,47,1.49,11.3
15.08.2023 16:00,47,1.49,11.3
15.08.2023 15:30,46,1.34,11.1
15.08.2023 15:00,46,1.34,10.9
15.08.2023 14:30,47,1.49,10.6
15.08.2023 14:00,46,1.34,10.1
15.08.2023 13:30,46,1.34,9.8
15.08.2023 13:00,47,1.49,9.3
15.08.2023 12:30,46,1.34,8.9
15.08.2023 12:00,47,1.49,8.5
15.08.2023 11:30,47,1.49,8.3
15.08.2023 11:00,46,1.34,8.1
15.08.2023 10:30,47,1.49,8.0
15.08.2023 10:00,47,1.49,7.9
15.08.2023 09:30,46,1.34,7.8
15.08.2023 09:00,46,1.34,7.7
15.08.2023 08:30,47,1.49,7.7
15.08.2023 08:00,46,1.34,7.6
15.08.2023 07:30,46,1.34,7.6
15.08.2023 07:00,47,1.49,7.6
15.08.2023 06:30,47,1.49,7.6
15.08.2023 06:00,47,1.49,7.6
15.08.2023 05:30,47,1.49,7.6
15.08.2023 05:00,47,1.49,7.6
15.08.2023 04:30,47,1.49,7.6
15.08.2023 04:00,47,1.49,7.7
15.08.2023 03:30,47,1.49,7.7
15.08.2023 03:00,47,1.49,7.7
15.08.2023 02:30,47,1.49,7.8
15.08.2023 02:00,47,1.49,7.8
15.08.2023 01:30,47,1.49,7.9
15.08.2023 01:00,47,1.49,8.0
15.08.2023 00:30,47,1.49,8.0
15.08.2023 00:00,47,1.49,8.1
14.08.2023 23:30,47,1.49,8.2
14.08.2023 23:00,47,1.49,8.3
14.08.2023 22:30,47,1.49,8.4
14.08.2023 22:00,47,1.49,8.5
14.08.2023 21:30,47,1.49,8.7
14.08.2023 21:00,47,1.49,8.8
14.08.2023 20:30,47,1.49,9.0
14.08.2023 20:00,47,1.49,9.2
14.08.2023 19:30,47,1.49,9.5
14.08.2023 19:00,47,1.49,9.8
14.08.2023 18:30,47,1.49,10.1
14.08.2023 18:00,47,1.49,10.3
14.08.2023 17:30,47,1.49,10.7
14.08.2023 17:00,48,1.64,11.0
14.08.2023 16:30,47,1.49,11.0
14.08.2023 16:00,47,1.49,11.0
14.08.2023 15:30,47,1.49,10.9
14.08.2023 15:00,47,1.49,10.7
14.08.2023 14:30,47,1.49,10.4
14.08.2023 14:00,47,1.49,10.0
14.08.2023 13:30,48,1.64,9.6
14.08.2023 13:00,47,1.49,9.2
14.08.2023 12:30,47,1.49,8.8
14.08.2023 12:00,48,1.64,8.6
14.08.2023 11:30,47,1.49,8.3
14.08.2023 11:00,47,1.49,8.2
14.08.2023 10:30,48,1.64,8.0
14.08.2023 10:00,47,1.49,7.9
14.08.2023 09:30,48,1.64,7.9
14.08.2023 09:00,47,1.49,7.8
14.08.2023 08:30,48,1.64,7.8
14.08.2023 08:00,47,1.49,7.8
14.08.2023 07:30,47,1.49,7.8
14.08.2023 07:00,47,1.49,7.8
14.08.2023 06:30,48,1.64,7.8
14.08.2023 06:00,48,1.64,7.8
14.08.2023 05:30,48,1.64,7.8
14.08.2023 05:00,48,1.64,7.8
14.08.2023 04:30,48,1.64,7.8
14.08.2023 04:00,48,1.64,7.8
14.08.2023 03:30,48,1.64,7.8
14.08.2023 03:00,48,1.64,7.8
14.08.2023 02:30,48,1.64,7.8
14.08.2023 02:00,48,1.64,7.9
14.08.2023 01:30,48,1.64,7.9
14.08.2023 01:00,48,1.64,7.9
14.08.2023 00:30,48,1.64,8.0
14.08.2023 00:00,48,1.64,8.0
13.08.2023 23:30,48,1.64,8.1
13.08.2023 23:00,48,1.64,8.2
13.08.2023 22:30,48,1.64,8.3
13.08.2023 22:00,48,1.64,8.3
13.08.2023 21:30,48,1.64,8.4
13.08.2023 21:00,48,1.64,8.5
13.08.2023 20:30,48,1.64,8.6
13.08.2023 20:00,48,1.64,8.8
13.08.2023 19:30,48,1.64,9.0
13.08.2023 19:00,48,1.64,9.2
13.08.2023 18:30,48,1.64,9.4
13.08.2023 18:00,49,1.79,9.5
13.08.2023 17:30,48,1.64,9.6
13.08.2023 17:00,49,1.79,9.8
13.08.2023 16:30,48,1.64,10.0
13.08.2023 16:00,49,1.79,10.2
13.08.2023 15:30,48,1.64,9.9
13.08.2023 15:00,49,1.79,9.7
13.08.2023 14:30,49,1.79,9.5
13.08.2023 14:00,48,1.64,9.2
13.08.2023 13:30,49,1.79,9.3
13.08.2023 13:00,49,1.79,9.1
13.08.2023 12:30,49,1.79,8.9
13.08.2023 12:00,49,1.79,8.5
13.08.2023 11:30,49,1.79,8.3
13.08.2023 11:00,49,1.79,8.1
13.08.2023 10:30,49,1.79,7.9
13.08.2023 10:00,49,1.79,7.8
13.08.2023 09:30,49,1.79,7.7
13.08.2023 09:00,49,1.79,7.6
13.08.2023 08:30,49,1.79,7.5
13.08.2023 08:00,49,1.79,7.5
13.08.2023 07:30,49,1.79,7.5
13.08.2023 07:00,49,1.79,7.5
13.08.2023 06:30,49,1.79,7.5
13.08.2023 06:00,49,1.79,7.5
13.08.2023 05:30,49,1.79,7.5
13.08.2023 05:00,49,1.79,7.5
13.08.2023 04:30,49,1.79,7.5
13.08.2023 04:00,49,1.79,7.5
13.08.2023 03:30,49,1.79,7.5
13.08.2023 03:00,49,1.79,7.6
13.08.2023 02:30,49,1.79,7.6
13.08.2023 02:00,49,1.79,7.6
13.08.2023 01:30,49,1.79,7.7
13.08.2023 01:00,49,1.79,7.7
13.08.2023 00:30,49,1.79,7.8
13.08.2023 00:00,49,1.79,7.8
12.08.2023 23:30,49,1.79,7.9
12.08.2023 23:00,49,1.79,8.0
12.08.2023 22:30,49,1.79,8.1
12.08.2023 22:00,49,1.79,8.2
12.08.2023 21:30,49,1.79,8.3
12.08.2023 21:00,49,1.79,8.4
12.08.2023 20:30,49,1.79,8.6
12.08.2023 20:00,49,1.79,8.8
12.08.2023 19:30,49,1.79,9.0
12.08.2023 19:00,50,1.95,9.3
12.08.2023 18:30,49,1.79,9.6
12.08.2023 18:00,50,1.95,9.8
12.08.2023 17:30,49,1.79,10.1
12.08.2023 17:00,50,1.95,10.3
12.08.2023 16:30,50,1.95,10.4
12.08.2023 16:00,49,1.79,10.4
12.08.2023 15:30,50,1.95,10.3
12.08.2023 15:00,49,1.79,10.1
12.08.2023 14:30,50,1.95,9.8
12.08.2023 14:00,50,1.95,9.5
12.08.2023 13:30,50,1.95,9.2
12.08.2023 13:00,49,1.79,8.8
12.08.2023 12:30,50,1.95,8.5
12.08.2023 12:00,50,1.95,8.2
12.08.2023 11:30,50,1.95,7.9
12.08.2023 11:00,50,1.95,7.8
12.08.2023 10:30,50,1.95,7.7
12.08.2023 10:00,50,1.95,7.6
12.08.2023 09:30,50,1.95,7.5
12.08.2023 09:00,50,1.95,7.4
12.08.2023 08:30,50,1.95,7.4
12.08.2023 08:00,50,1.95,7.3
12.08.2023 07:30,50,1.95,7.3
12.08.2023 07:00,50,1.95,7.3
12.08.2023 06:30,50,1.95,7.3
12.08.2023 06:00,50,1.95,7.3
12.08.2023 05:30,50,1.95,7.3
12.08.2023 05:00,50,1.95,7.3
12.08.2023 04:30,50,1.95,7.3
12.08.2023 04:00,50,1.95,7.3
12.08.2023 03:30,50,1.95,7.3
12.08.2023 03:00,50,1.95,7.3
12.08.2023 02:30,50,1.95,7.4
12.08.2023 02:00,50,1.95,7.4
12.08.2023 01:30,50,1.95,7.4
12.08.2023 01:00,50,1.95,7.5
12.08.2023 00:30,51,2.12,7.6
12.08.2023 00:00,50,1.95,7.7
11.08.2023 23:30,51,2.12,7.8
11.08.2023 23:00,51,2.12,7.8
11.08.2023 22:30,52,2.29,7.9
11.08.2023 22:00,52,2.29,8.0
11.08.2023 21:30,50,1.95,8.0
11.08.2023 21:00,47,1.49,8.1
11.08.2023 20:30,51,2.12,8.2
11.08.2023 20:00,51,2.12,8.4
11.08.2023 19:30,51,2.12,8.5
11.08.2023 19:00,51,2.12,8.8
11.08.2023 18:30,51,2.12,9.0
11.08.2023 18:00,51,2.12,9.3
11.08.2023 17:30,51,2.12,9.6
11.08.2023 17:00,51,2.12,9.8
11.08.2023 16:30,51,2.12,9.8
11.08.2023 16:00,51,2.12,9.8
11.08.2023 15:30,51,2.12,9.8
