Datum,Vodostaj [cm],Pretok [m³/s],Temperatura vode [°C]
30.08.2023 00:30,82,0.025,16.8
30.08.2023 00:00,82,0.025,16.9
29.08.2023 23:30,83,0.035,17.0
29.08.2023 23:00,83,0.035,17.2
29.08.2023 22:30,83,0.035,17.3
29.08.2023 22:00,83,0.035,17.4
29.08.2023 21:30,83,0.035,17.6
29.08.2023 21:00,83,0.035,17.7
29.08.2023 20:30,83,0.035,17.9
29.08.2023 20:00,83,0.035,18.2
29.08.2023 19:30,84,0.045,18.4
29.08.2023 19:00,84,0.045,18.6
29.08.2023 18:30,84,0.045,18.8
29.08.2023 18:00,84,0.045,18.8
29.08.2023 17:30,84,0.045,18.8
29.08.2023 17:00,84,0.045,18.8
29.08.2023 16:30,84,0.045,18.7
29.08.2023 16:00,84,0.045,18.7
29.08.2023 15:30,84,0.045,18.6
29.08.2023 15:00,84,0.045,18.6
29.08.2023 14:30,84,0.045,18.6
29.08.2023 14:00,84,0.045,18.7
29.08.2023 13:30,84,0.045,18.6
29.08.2023 13:00,83,0.035,18.5
29.08.2023 12:30,83,0.035,18.5
29.08.2023 12:00,83,0.035,18.4
29.08.2023 11:30,82,0.025,17.8
29.08.2023 11:00,82,0.025,17.3
29.08.2023 10:30,82,0.025,16.7
29.08.2023 10:00,81,0.017,16.1
29.08.2023 09:30,81,0.017,15.7
29.08.2023 09:00,81,0.017,15.6
29.08.2023 08:30,81,0.017,15.4
29.08.2023 08:00,80,0.010,15.4
29.08.2023 07:30,80,0.010,15.3
29.08.2023 07:00,80,0.010,15.3
29.08.2023 06:30,80,0.010,15.4
29.08.2023 06:00,80,0.010,15.4
29.08.2023 05:30,80,0.010,15.4
29.08.2023 05:00,80,0.010,15.5
29.08.2023 04:30,80,0.010,15.5
29.08.2023 04:00,80,0.010,15.6
29.08.2023 03:30,80,0.010,15.6
29.08.2023 03:00,80,0.010,15.6
29.08.2023 02:30,80,0.010,15.7
29.08.2023 02:00,80,0.010,15.9
29.08.2023 01:30,80,0.010,16.0
29.08.2023 01:00,80,0.010,16.1
29.08.2023 00:30,80,0.010,16.3
29.08.2023 00:00,81,0.017,16.6
28.08.2023 23:30,81,0.017,16.8
28.08.2023 23:00,81,0.017,17.1
28.08.2023 22:30,82,0.025,17.5
28.08.2023 22:00,82,0.025,18.1
28.08.2023 21:30,82,0.025,18.2
28.08.2023 21:00,81,0.017,18.6
28.08.2023 20:30,82,0.025,18.7
28.08.2023 20:00,81,0.017,19.0
28.08.2023 19:30,82,0.025,19.2
28.08.2023 19:00,82,0.025,19.5
28.08.2023 18:30,82,0.025,19.8
28.08.2023 18:00,82,0.025,20.0
28.08.2023 17:30,82,0.025,20.3
28.08.2023 17:00,82,0.025,20.4
28.08.2023 16:30,82,0.025,20.6
28.08.2023 16:00,82,0.025,20.6
28.08.2023 15:30,82,0.025,20.5
28.08.2023 15:00,82,0.025,20.2
28.08.2023 14:30,82,0.025,20.0
28.08.2023 14:00,82,0.025,19.6
28.08.2023 13:30,82,0.025,19.1
28.08.2023 13:00,81,0.017,18.8
28.08.2023 12:30,81,0.017,18.6
28.08.2023 12:00,81,0.017,18.2
28.08.2023 11:30,81,0.017,17.8
28.08.2023 11:00,80,0.010,17.2
28.08.2023 10:30,80,0.010,16.7
28.08.2023 10:00,79,0.007,16.2
28.08.2023 09:30,79,0.007,15.9
28.08.2023 09:00,79,0.007,15.7
28.08.2023 08:30,79,0.007,15.6
28.08.2023 08:00,79,0.007,15.5
28.08.2023 07:30,79,0.007,15.5
28.08.2023 07:00,79,0.007,15.5
28.08.2023 06:30,79,0.007,15.6
28.08.2023 06:00,79,0.007,15.7
28.08.2023 05:30,79,0.007,15.8
28.08.2023 05:00,79,0.007,15.9
28.08.2023 04:30,79,0.007,16.0
28.08.2023 04:00,79,0.007,16.1
28.08.2023 03:30,79,0.007,16.2
28.08.2023 03:00,79,0.007,16.4
28.08.2023 02:30,79,0.007,16.5
28.08.2023 02:00,80,0.010,16.6
28.08.2023 01:30,80,0.010,16.8
28.08.2023 01:00,80,0.010,16.9
28.08.2023 00:30,80,0.010,17.1
28.08.2023 00:00,80,0.010,17.3
27.08.2023 23:30,80,0.010,17.4
27.08.2023 23:00,80,0.010,17.7
27.08.2023 22:30,81,0.017,17.9
27.08.2023 22:00,81,0.017,18.2
27.08.2023 21:30,81,0.017,18.5
27.08.2023 21:00,81,0.017,18.8
27.08.2023 20:30,82,0.025,19.1
27.08.2023 20:00,82,0.025,19.4
27.08.2023 19:30,82,0.025,19.8
27.08.2023 19:00,82,0.025,20.3
27.08.2023 18:30,82,0.025,20.7
27.08.2023 18:00,83,0.035,21.2
27.08.2023 17:30,83,0.035,21.5
27.08.2023 17:00,83,0.035,21.8
27.08.2023 16:30,83,0.035,22.1
27.08.2023 16:00,84,0.045,22.3
27.08.2023 15:30,84,0.045,22.3
27.08.2023 15:00,84,0.045,22.2
27.08.2023 14:30,83,0.035,21.8
27.08.2023 14:00,83,0.035,21.4
27.08.2023 13:30,83,0.035,20.7
27.08.2023 13:00,82,0.025,20.1
27.08.2023 12:30,82,0.025,19.6
27.08.2023 12:00,81,0.017,19.0
27.08.2023 11:30,81,0.017,18.4
27.08.2023 11:00,80,0.010,17.7
27.08.2023 10:30,80,0.010,16.9
27.08.2023 10:00,79,0.007,16.0
27.08.2023 09:30,79,0.007,15.3
27.08.2023 09:00,79,0.007,14.9
27.08.2023 08:30,79,0.007,14.8
27.08.2023 08:00,78,0.004,14.8
27.08.2023 07:30,79,0.007,14.8
27.08.2023 07:00,79,0.007,14.9
27.08.2023 06:30,79,0.007,15.0
27.08.2023 06:00,79,0.007,15.1
27.08.2023 05:30,79,0.007,15.3
27.08.2023 05:00,79,0.007,15.5
27.08.2023 04:30,79,0.007,15.6
27.08.2023 04:00,79,0.007,15.8
27.08.2023 03:30,79,0.007,15.9
27.08.2023 03:00,79,0.007,16.1
27.08.2023 02:30,79,0.007,16.3
27.08.2023 02:00,80,0.010,16.5
27.08.2023 01:30,80,0.010,16.7
27.08.2023 01:00,80,0.010,16.9
27.08.2023 00:30,80,0.010,17.1
27.08.2023 00:00,80,0.010,17.3
26.08.2023 23:30,80,0.010,17.5
26.08.2023 23:00,80,0.010,17.7
26.08.2023 22:30,81,0.017,17.9
26.08.2023 22:00,81,0.017,18.1
26.08.2023 21:30,81,0.017,18.3
26.08.2023 21:00,81,0.017,18.6
26.08.2023 20:30,81,0.017,18.9
26.08.2023 20:00,82,0.025,19.2
26.08.2023 19:30,82,0.025,19.6
26.08.2023 19:00,82,0.025,20.1
26.08.2023 18:30,82,0.025,20.5
26.08.2023 18:00,83,0.035,21.0
26.08.2023 17:30,83,0.035,21.4
26.08.2023 17:00,83,0.035,21.8
26.08.2023 16:30,84,0.045,22.1
26.08.2023 16:00,84,0.045,22.4
26.08.2023 15:30,84,0.045,22.5
26.08.2023 15:00,84,0.045,22.4
26.08.2023 14:30,83,0.035,22.0
26.08.2023 14:00,83,0.035,21.5
26.08.2023 13:30,83,0.035,21.0
26.08.2023 13:00,82,0.025,20.3
26.08.2023 12:30,82,0.025,19.7
26.08.2023 12:00,82,0.025,19.0
26.08.2023 11:30,81,0.017,18.3
26.08.2023 11:00,80,0.010,17.5
26.08.2023 10:30,80,0.010,16.9
26.08.2023 10:00,79,0.007,16.1
26.08.2023 09:30,79,0.007,15.3
26.08.2023 09:00,79,0.007,14.9
26.08.2023 08:30,79,0.007,14.8
26.08.2023 08:00,79,0.007,14.8
26.08.2023 07:30,79,0.007,14.8
26.08.2023 07:00,79,0.007,14.9
26.08.2023 06:30,79,0.007,15.1
26.08.2023 06:00,79,0.007,15.2
26.08.2023 05:30,79,0.007,15.4
26.08.2023 05:00,79,0.007,15.5
26.08.2023 04:30,79,0.007,15.7
26.08.2023 04:00,79,0.007,15.9
26.08.2023 03:30,79,0.007,16.1
26.08.2023 03:00,80,0.010,16.3
26.08.2023 02:30,80,0.010,16.5
26.08.2023 02:00,80,0.010,16.8
26.08.2023 01:30,80,0.010,17.0
26.08.2023 01:00,80,0.010,17.3
26.08.2023 00:30,81,0.017,17.5
26.08.2023 00:00,81,0.017,17.8
25.08.2023 23:30,81,0.017,18.1
25.08.2023 23:00,81,0.017,18.4
25.08.2023 22:30,81,0.017,18.6
25.08.2023 22:00,82,0.025,18.8
25.08.2023 21:30,82,0.025,19.1
25.08.2023 21:00,82,0.025,19.3
25.08.2023 20:30,82,0.025,19.6
25.08.2023 20:00,82,0.025,19.9
25.08.2023 19:30,83,0.035,20.3
25.08.2023 19:00,83,0.035,20.7
25.08.2023 18:30,83,0.035,21.2
25.08.2023 18:00,83,0.035,21.6
25.08.2023 17:30,84,0.045,22.0
25.08.2023 17:00,84,0.045,22.3
25.08.2023 16:30,84,0.045,22.7
25.08.2023 16:00,84,0.045,22.9
25.08.2023 15:30,84,0.045,23.1
25.08.2023 15:00,84,0.045,23.0
25.08.2023 14:30,84,0.045,22.7
25.08.2023 14:00,84,0.045,22.2
25.08.2023 13:30,83,0.035,21.6
25.08.2023 13:00,83,0.035,20.8
25.08.2023 12:30,82,0.025,20.1
25.08.2023 12:00,82,0.025,19.4
25.08.2023 11:30,82,0.025,18.7
25.08.2023 11:00,81,0.017,18.1
25.08.2023 10:30,81,0.017,17.4
25.08.2023 10:00,80,0.010,16.7
25.08.2023 09:30,80,0.010,16.1
25.08.2023 09:00,80,0.010,15.7
25.08.2023 08:30,80,0.010,15.6
25.08.2023 08:00,80,0.010,15.5
25.08.2023 07:30,80,0.010,15.5
25.08.2023 07:00,80,0.010,15.6
25.08.2023 06:30,80,0.010,15.7
25.08.2023 06:00,80,0.010,15.8
25.08.2023 05:30,80,0.010,16.0
25.08.2023 05:00,80,0.010,16.1
25.08.2023 04:30,80,0.010,16.3
25.08.2023 04:00,80,0.010,16.5
25.08.2023 03:30,80,0.010,16.6
25.08.2023 03:00,80,0.010,16.8
25.08.2023 02:30,80,0.010,16.9
25.08.2023 02:00,81,0.017,17.1
25.08.2023 01:30,81,0.017,17.3
25.08.2023 01:00,81,0.017,17.5
25.08.2023 00:30,81,0.017,17.7
25.08.2023 00:00,81,0.017,17.9
24.08.2023 23:30,81,0.017,18.2
24.08.2023 23:00,81,0.017,18.4
24.08.2023 22:30,82,0.025,18.6
24.08.2023 22:00,82,0.025,18.8
24.08.2023 21:30,82,0.025,19.1
24.08.2023 21:00,82,0.025,19.3
24.08.2023 20:30,82,0.025,19.5
24.08.2023 20:00,82,0.025,19.7
24.08.2023 19:30,82,0.025,20.0
24.08.2023 19:00,83,0.035,20.3
24.08.2023 18:30,83,0.035,20.7
24.08.2023 18:00,83,0.035,21.2
24.08.2023 17:30,83,0.035,21.6
24.08.2023 17:00,84,0.045,21.9
24.08.2023 16:30,84,0.045,22.3
24.08.2023 16:00,84,0.045,22.6
24.08.2023 15:30,84,0.045,22.8
24.08.2023 15:00,84,0.045,22.8
24.08.2023 14:30,84,0.045,22.4
24.08.2023 14:00,84,0.045,22.0
24.08.2023 13:30,83,0.035,21.4
24.08.2023 13:00,83,0.035,20.6
24.08.2023 12:30,82,0.025,19.9
24.08.2023 12:00,82,0.025,19.1
24.08.2023 11:30,81,0.017,18.4
24.08.2023 11:00,81,0.017,17.6
24.08.2023 10:30,80,0.010,16.9
24.08.2023 10:00,80,0.010,16.2
24.08.2023 09:30,80,0.010,15.5
24.08.2023 09:00,79,0.007,15.2
24.08.2023 08:30,79,0.007,15.0
24.08.2023 08:00,79,0.007,15.0
24.08.2023 07:30,79,0.007,15.1
24.08.2023 07:00,79,0.007,15.1
24.08.2023 06:30,80,0.010,15.2
24.08.2023 06:00,79,0.007,15.3
24.08.2023 05:30,80,0.010,15.4
24.08.2023 05:00,80,0.010,15.6
24.08.2023 04:30,80,0.010,15.7
24.08.2023 04:00,80,0.010,15.8
24.08.2023 03:30,80,0.010,15.9
24.08.2023 03:00,80,0.010,16.0
24.08.2023 02:30,80,0.010,16.2
24.08.2023 02:00,80,0.010,16.4
24.08.2023 01:30,80,0.010,16.6
24.08.2023 01:00,80,0.010,16.8
24.08.2023 00:30,81,0.017,17.1
24.08.2023 00:00,81,0.017,17.3
23.08.2023 23:30,81,0.017,17.6
23.08.2023 23:00,81,0.017,17.9
23.08.2023 22:30,81,0.017,18.2
23.08.2023 22:00,82,0.025,18.5
23.08.2023 21:30,82,0.025,18.8
23.08.2023 21:00,82,0.025,19.0
23.08.2023 20:30,82,0.025,19.3
23.08.2023 20:00,82,0.025,19.5
23.08.2023 19:30,82,0.025,19.7
23.08.2023 19:00,83,0.035,19.9
23.08.2023 18:30,83,0.035,20.2
23.08.2023 18:00,83,0.035,20.6
23.08.2023 17:30,83,0.035,21.1
23.08.2023 17:00,84,0.045,21.5
23.08.2023 16:30,84,0.045,21.9
23.08.2023 16:00,84,0.045,22.3
23.08.2023 15:30,84,0.045,22.5
23.08.2023 15:00,84,0.045,22.5
23.08.2023 14:30,84,0.045,22.2
23.08.2023 14:00,84,0.045,21.7
23.08.2023 13:30,83,0.035,21.1
23.08.2023 13:00,83,0.035,20.3
23.08.2023 12:30,82,0.025,19.6
23.08.2023 12:00,82,0.025,18.8
23.08.2023 11:30,81,0.017,18.1
23.08.2023 11:00,81,0.017,17.3
23.08.2023 10:30,80,0.010,16.7
23.08.2023 10:00,80,0.010,16.0
23.08.2023 09:30,80,0.010,15.2
23.08.2023 09:00,79,0.007,14.8
23.08.2023 08:30,79,0.007,14.7
23.08.2023 08:00,79,0.007,14.7
