Datum,Vodostaj [cm],Pretok [m³/s],Temperatura vode [°C]
30.08.2023 00:30,176,78.7,17.3
30.08.2023 00:00,179,82.2,17.3
29.08.2023 23:30,181,84.6,17.4
29.08.2023 23:00,184,88.1,17.4
29.08.2023 22:30,185,89.3,17.4
29.08.2023 22:00,189,94.0,17.4
29.08.2023 21:30,194,100.0,17.4
29.08.2023 21:00,200,107,17.5
29.08.2023 20:30,205,113,17.6
29.08.2023 20:00,210,120,17.7
29.08.2023 19:30,214,125,18.0
29.08.2023 19:00,204,112,18.4
29.08.2023 18:30,174,76.4,18.5
29.08.2023 18:00,161,61.6,18.7
29.08.2023 17:30,156,56.0,18.8
29.08.2023 17:00,147,46.4,19.1
29.08.2023 16:30,144,43.4,19.4
29.08.2023 16:00,144,43.4,19.6
29.08.2023 15:30,142,41.5,19.6
29.08.2023 15:00,143,42.4,19.0
29.08.2023 14:30,136,35.8,18.8
29.08.2023 14:00,134,34.0,18.9
29.08.2023 13:30,133,33.2,18.8
29.08.2023 13:00,134,34.0,18.7
29.08.2023 12:30,135,34.9,18.5
29.08.2023 12:00,136,35.8,18.3
29.08.2023 11:30,137,36.8,18.2
29.08.2023 11:00,138,37.7,18.0
29.08.2023 10:30,139,38.6,18.0
29.08.2023 10:00,140,39.6,18.0
29.08.2023 09:30,142,41.5,18.0
29.08.2023 09:00,145,44.4,18.1
29.08.2023 08:30,147,46.4,18.1
29.08.2023 08:00,150,49.3,18.1
29.08.2023 07:30,150,49.3,18.2
29.08.2023 07:00,152,51.6,18.2
29.08.2023 06:30,154,53.8,18.4
29.08.2023 06:00,155,54.9,18.5
29.08.2023 05:30,155,54.9,18.6
29.08.2023 05:00,156,56.0,18.6
29.08.2023 04:30,158,58.3,18.6
29.08.2023 04:00,160,60.5,18.7
29.08.2023 03:30,164,65.0,18.8
29.08.2023 03:00,168,69.6,18.9
29.08.2023 02:30,173,75.3,19.1
29.08.2023 02:00,174,76.4,19.4
29.08.2023 01:30,149,48.4,19.5
29.08.2023 01:00,139,38.6,19.6
29.08.2023 00:30,139,38.6,19.7
29.08.2023 00:00,136,35.8,19.7
28.08.2023 23:30,131,31.4,19.9
28.08.2023 23:00,125,26.4,20.0
28.08.2023 22:30,123,24.8,20.1
28.08.2023 22:00,121,23.3,20.3
28.08.2023 21:30,121,23.3,20.4
28.08.2023 21:00,121,23.3,20.6
28.08.2023 20:30,121,23.3,20.7
28.08.2023 20:00,122,24.1,20.9
28.08.2023 19:30,122,24.1,21.0
28.08.2023 19:00,122,24.1,21.2
28.08.2023 18:30,122,24.1,21.3
28.08.2023 18:00,122,24.1,21.5
28.08.2023 17:30,122,24.1,21.6
28.08.2023 17:00,122,24.1,21.8
28.08.2023 16:30,122,24.1,21.9
28.08.2023 16:00,122,24.1,22.0
28.08.2023 15:30,122,24.1,22.0
28.08.2023 15:00,122,24.1,21.9
28.08.2023 14:30,123,24.8,21.8
28.08.2023 14:00,123,24.8,21.6
28.08.2023 13:30,123,24.8,21.4
28.08.2023 13:00,123,24.8,21.2
28.08.2023 12:30,122,24.1,20.8
28.08.2023 12:00,123,24.8,20.4
28.08.2023 11:30,122,24.1,20.2
28.08.2023 11:00,122,24.1,20.1
28.08.2023 10:30,121,23.3,19.9
28.08.2023 10:00,121,23.3,19.7
28.08.2023 09:30,121,23.3,19.5
28.08.2023 09:00,121,23.3,19.4
28.08.2023 08:30,121,23.3,19.4
28.08.2023 08:00,121,23.3,19.4
28.08.2023 07:30,120,22.5,19.4
28.08.2023 07:00,121,23.3,19.5
28.08.2023 06:30,120,22.5,19.6
28.08.2023 06:00,121,23.3,19.7
28.08.2023 05:30,121,23.3,19.7
28.08.2023 05:00,121,23.3,19.8
28.08.2023 04:30,121,23.3,19.9
28.08.2023 04:00,120,22.5,19.9
28.08.2023 03:30,120,22.5,20.0
28.08.2023 03:00,120,22.5,20.1
28.08.2023 02:30,120,22.5,20.2
28.08.2023 02:00,120,22.5,20.3
28.08.2023 01:30,120,22.5,20.4
28.08.2023 01:00,120,22.5,20.5
28.08.2023 00:30,120,22.5,20.6
28.08.2023 00:00,120,22.5,20.9
27.08.2023 23:30,120,22.5,21.0
27.08.2023 23:00,120,22.5,21.2
27.08.2023 22:30,120,22.5,21.3
27.08.2023 22:00,120,22.5,21.5
27.08.2023 21:30,120,22.5,21.7
27.08.2023 21:00,120,22.5,21.9
27.08.2023 20:30,120,22.5,22.1
27.08.2023 20:00,120,22.5,22.3
27.08.2023 19:30,120,22.5,22.5
27.08.2023 19:00,120,22.5,22.7
27.08.2023 18:30,120,22.5,22.9
27.08.2023 18:00,119,21.8,23.1
27.08.2023 17:30,120,22.5,23.3
27.08.2023 17:00,121,23.3,23.4
27.08.2023 16:30,121,23.3,23.4
27.08.2023 16:00,122,24.1,23.3
27.08.2023 15:30,123,24.8,23.1
27.08.2023 15:00,123,24.8,22.9
27.08.2023 14:30,122,24.1,22.7
27.08.2023 14:00,122,24.1,22.4
27.08.2023 13:30,121,23.3,22.1
27.08.2023 13:00,121,23.3,21.8
27.08.2023 12:30,120,22.5,21.5
27.08.2023 12:00,120,22.5,21.1
27.08.2023 11:30,120,22.5,20.6
27.08.2023 11:00,120,22.5,20.3
27.08.2023 10:30,120,22.5,20.0
27.08.2023 10:00,120,22.5,19.7
27.08.2023 09:30,120,22.5,19.4
27.08.2023 09:00,119,21.8,19.3
27.08.2023 08:30,119,21.8,19.3
27.08.2023 08:00,119,21.8,19.3
27.08.2023 07:30,119,21.8,19.3
27.08.2023 07:00,120,22.5,19.4
27.08.2023 06:30,120,22.5,19.5
27.08.2023 06:00,119,21.8,19.5
27.08.2023 05:30,119,21.8,19.6
27.08.2023 05:00,119,21.8,19.7
27.08.2023 04:30,119,21.8,19.8
27.08.2023 04:00,119,21.8,19.9
27.08.2023 03:30,119,21.8,20.0
27.08.2023 03:00,120,22.5,20.1
27.08.2023 02:30,119,21.8,20.3
27.08.2023 02:00,119,21.8,20.4
27.08.2023 01:30,117,20.4,20.5
27.08.2023 01:00,118,21.1,20.6
27.08.2023 00:30,119,21.8,20.9
27.08.2023 00:00,120,22.5,21.0
26.08.2023 23:30,120,22.5,21.2
26.08.2023 23:00,120,22.5,21.4
26.08.2023 22:30,120,22.5,21.5
26.08.2023 22:00,120,22.5,21.7
26.08.2023 21:30,120,22.5,21.9
26.08.2023 21:00,121,23.3,22.1
26.08.2023 20:30,120,22.5,22.3
26.08.2023 20:00,121,23.3,22.5
26.08.2023 19:30,122,24.1,22.7
26.08.2023 19:00,123,24.8,22.9
26.08.2023 18:30,123,24.8,23.1
26.08.2023 18:00,122,24.1,23.4
26.08.2023 17:30,121,23.3,23.5
26.08.2023 17:00,122,24.1,23.5
26.08.2023 16:30,122,24.1,23.5
26.08.2023 16:00,121,23.3,23.5
26.08.2023 15:30,121,23.3,23.3
26.08.2023 15:00,122,24.1,23.1
26.08.2023 14:30,122,24.1,22.8
26.08.2023 14:00,122,24.1,22.6
26.08.2023 13:30,121,23.3,22.3
