Datum,Vodostaj [cm],Pretok [m³/s],Temperatura vode [°C]
30.08.2023 00:30,176,2.08,15.4
30.08.2023 00:00,175,1.93,15.6
29.08.2023 23:30,175,1.93,15.7
29.08.2023 23:00,174,1.78,15.7
29.08.2023 22:30,173,1.64,15.8
29.08.2023 22:00,171,1.37,16.0
29.08.2023 21:30,169,1.13,16.1
29.08.2023 21:00,168,1.02,16.2
29.08.2023 20:30,168,1.02,16.3
29.08.2023 20:00,168,1.02,16.5
29.08.2023 19:30,168,1.02,16.6
29.08.2023 19:00,169,1.13,16.8
29.08.2023 18:30,168,1.02,16.9
29.08.2023 18:00,168,1.02,17.1
29.08.2023 17:30,168,1.02,17.2
29.08.2023 17:00,166,0.822,17.1
29.08.2023 16:30,165,0.731,17.0
29.08.2023 16:00,164,0.645,16.9
29.08.2023 15:30,163,0.565,17.0
29.08.2023 15:00,163,0.565,16.9
29.08.2023 14:30,163,0.565,16.7
29.08.2023 14:00,164,0.645,16.3
29.08.2023 13:30,164,0.645,16.2
29.08.2023 13:00,164,0.645,16.3
29.08.2023 12:30,163,0.565,16.2
29.08.2023 12:00,163,0.565,16.2
29.08.2023 11:30,162,0.490,16.0
29.08.2023 11:00,163,0.565,15.7
29.08.2023 10:30,164,0.645,15.6
29.08.2023 10:00,164,0.645,15.5
29.08.2023 09:30,164,0.645,15.5
29.08.2023 09:00,165,0.731,15.4
29.08.2023 08:30,165,0.731,15.4
29.08.2023 08:00,165,0.731,15.4
29.08.2023 07:30,166,0.822,15.4
29.08.2023 07:00,167,0.920,15.4
29.08.2023 06:30,167,0.920,15.5
29.08.2023 06:00,168,1.02,15.5
29.08.2023 05:30,169,1.13,15.5
29.08.2023 05:00,170,1.25,15.5
29.08.2023 04:30,171,1.37,15.6
29.08.2023 04:00,172,1.50,15.6
29.08.2023 03:30,173,1.64,15.7
29.08.2023 03:00,175,1.93,15.9
29.08.2023 02:30,176,2.08,15.9
29.08.2023 02:00,178,2.41,16.1
29.08.2023 01:30,179,2.59,16.2
29.08.2023 01:00,181,2.97,16.3
29.08.2023 00:30,183,3.37,16.4
29.08.2023 00:00,186,4.04,16.5
28.08.2023 23:30,189,4.77,16.6
28.08.2023 23:00,192,5.58,16.7
28.08.2023 22:30,195,6.48,16.7
28.08.2023 22:00,197,7.11,16.7
28.08.2023 21:30,200,8.14,16.9
28.08.2023 21:00,188,4.52,17.3
28.08.2023 20:30,171,1.37,17.8
28.08.2023 20:00,162,0.490,18.1
28.08.2023 19:30,160,0.357,18.5
28.08.2023 19:00,157,0.237,19.2
28.08.2023 18:30,153,0.116,19.8
28.08.2023 18:00,151,0.070,20.1
28.08.2023 17:30,151,0.070,20.2
28.08.2023 17:00,151,0.070,20.3
28.08.2023 16:30,151,0.070,20.3
28.08.2023 16:00,151,0.070,20.3
28.08.2023 15:30,151,0.070,20.4
28.08.2023 15:00,151,0.070,20.4
28.08.2023 14:30,150,0.051,20.1
28.08.2023 14:00,150,0.051,19.9
28.08.2023 13:30,150,0.051,19.8
28.08.2023 13:00,150,0.051,19.8
28.08.2023 12:30,150,0.051,19.8
28.08.2023 12:00,150,0.051,19.6
28.08.2023 11:30,150,0.051,19.6
28.08.2023 11:00,150,0.051,19.6
28.08.2023 10:30,150,0.051,19.6
28.08.2023 10:00,150,0.051,19.5
28.08.2023 09:30,150,0.051,19.4
28.08.2023 09:00,150,0.051,19.3
28.08.2023 08:30,149,0.034,19.3
28.08.2023 08:00,149,0.034,19.4
28.08.2023 07:30,149,0.034,19.5
28.08.2023 07:00,149,0.034,19.7
28.08.2023 06:30,149,0.034,19.8
28.08.2023 06:00,149,0.034,19.9
28.08.2023 05:30,148,0.019,20.1
28.08.2023 05:00,148,0.019,20.2
28.08.2023 04:30,148,0.019,20.3
28.08.2023 04:00,148,0.019,20.4
28.08.2023 03:30,148,0.019,20.5
28.08.2023 03:00,148,0.019,20.6
28.08.2023 02:30,147,0.006,20.7
28.08.2023 02:00,147,0.006,20.9
28.08.2023 01:30,147,0.006,21.0
28.08.2023 01:00,148,0.019,21.1
28.08.2023 00:30,148,0.019,21.2
28.08.2023 00:00,148,0.019,21.3
27.08.2023 23:30,148,0.019,21.4
27.08.2023 23:00,148,0.019,21.6
27.08.2023 22:30,148,0.019,21.7
27.08.2023 22:00,148,0.019,22.0
27.08.2023 21:30,149,0.034,22.2
27.08.2023 21:00,149,0.034,22.4
27.08.2023 20:30,149,0.034,22.6
27.08.2023 20:00,149,0.034,22.8
27.08.2023 19:30,149,0.034,23.0
27.08.2023 19:00,149,0.034,23.1
27.08.2023 18:30,150,0.051,23.3
27.08.2023 18:00,150,0.051,23.5
27.08.2023 17:30,150,0.051,23.7
27.08.2023 17:00,150,0.051,23.7
27.08.2023 16:30,151,0.070,24.1
27.08.2023 16:00,151,0.070,24.1
27.08.2023 15:30,151,0.070,24.1
27.08.2023 15:00,152,0.092,23.9
27.08.2023 14:30,152,0.092,23.5
27.08.2023 14:00,151,0.070,23.0
27.08.2023 13:30,152,0.092,22.4
27.08.2023 13:00,152,0.092,21.5
27.08.2023 12:30,151,0.070,20.7
27.08.2023 12:00,152,0.092,19.9
27.08.2023 11:30,152,0.092,19.5
27.08.2023 11:00,152,0.092,19.0
27.08.2023 10:30,151,0.070,18.7
27.08.2023 10:00,151,0.070,18.6
27.08.2023 09:30,151,0.070,18.5
27.08.2023 09:00,151,0.070,18.3
27.08.2023 08:30,151,0.070,18.2
27.08.2023 08:00,151,0.070,18.3
27.08.2023 07:30,151,0.070,18.4
27.08.2023 07:00,151,0.070,18.5
27.08.2023 06:30,151,0.070,18.7
27.08.2023 06:00,150,0.051,18.9
27.08.2023 05:30,150,0.051,19.1
27.08.2023 05:00,150,0.051,19.2
27.08.2023 04:30,150,0.051,19.4
27.08.2023 04:00,150,0.051,19.6
27.08.2023 03:30,150,0.051,19.7
27.08.2023 03:00,150,0.051,19.9
27.08.2023 02:30,150,0.051,20.2
27.08.2023 02:00,150,0.051,20.4
27.08.2023 01:30,150,0.051,20.6
27.08.2023 01:00,150,0.051,20.8
27.08.2023 00:30,150,0.051,21.0
27.08.2023 00:00,150,0.051,21.2
26.08.2023 23:30,150,0.051,21.4
26.08.2023 23:00,150,0.051,21.6
26.08.2023 22:30,150,0.051,21.9
26.08.2023 22:00,150,0.051,22.1
26.08.2023 21:30,150,0.051,22.4
26.08.2023 21:00,150,0.051,22.6
26.08.2023 20:30,150,0.051,22.9
26.08.2023 20:00,151,0.070,23.1
26.08.2023 19:30,151,0.070,23.4
26.08.2023 19:00,151,0.070,23.6
26.08.2023 18:30,151,0.070,23.8
26.08.2023 18:00,151,0.070,24.1
26.08.2023 17:30,151,0.070,24.3
26.08.2023 17:00,151,0.070,24.4
26.08.2023 16:30,151,0.070,24.5
26.08.2023 16:00,152,0.092,24.5
26.08.2023 15:30,152,0.092,24.4
26.08.2023 15:00,152,0.092,24.2
26.08.2023 14:30,152,0.092,23.9
26.08.2023 14:00,152,0.092,23.4
26.08.2023 13:30,152,0.092,22.8
26.08.2023 13:00,152,0.092,22.1
26.08.2023 12:30,152,0.092,21.3
26.08.2023 12:00,152,0.092,20.5
26.08.2023 11:30,152,0.092,19.8
26.08.2023 11:00,152,0.092,19.4
26.08.2023 10:30,152,0.092,19.2
26.08.2023 10:00,151,0.070,19.0
26.08.2023 09:30,151,0.070,18.9
26.08.2023 09:00,151,0.070,18.8
26.08.2023 08:30,151,0.070,18.7
26.08.2023 08:00,151,0.070,18.7
26.08.2023 07:30,151,0.070,18.8
26.08.2023 07:00,151,0.070,19.0
26.08.2023 06:30,151,0.070,19.1
26.08.2023 06:00,151,0.070,19.3
26.08.2023 05:30,151,0.070,19.5
26.08.2023 05:00,151,0.070,19.6
26.08.2023 04:30,151,0.070,19.8
26.08.2023 04:00,151,0.070,20.0
26.08.2023 03:30,151,0.070,20.3
26.08.2023 03:00,151,0.070,20.5
26.08.2023 02:30,150,0.051,20.7
26.08.2023 02:00,150,0.051,20.9
26.08.2023 01:30,150,0.051,21.2
26.08.2023 01:00,150,0.051,21.4
26.08.2023 00:30,150,0.051,21.6
26.08.2023 00:00,150,0.051,21.8
25.08.2023 23:30,150,0.051,22.0
25.08.2023 23:00,151,0.070,22.1
25.08.2023 22:30,151,0.070,22.3
25.08.2023 22:00,151,0.070,22.5
25.08.2023 21:30,151,0.070,22.7
25.08.2023 21:00,151,0.070,22.9
25.08.2023 20:30,151,0.070,23.1
25.08.2023 20:00,151,0.070,23.2
25.08.2023 19:30,151,0.070,23.4
25.08.2023 19:00,151,0.070,23.6
25.08.2023 18:30,151,0.070,23.8
25.08.2023 18:00,151,0.070,24.0
25.08.2023 17:30,152,0.092,24.2
25.08.2023 17:00,152,0.092,24.4
25.08.2023 16:30,152,0.092,24.6
25.08.2023 16:00,152,0.092,24.7
25.08.2023 15:30,152,0.092,24.6
25.08.2023 15:00,152,0.092,24.4
25.08.2023 14:30,153,0.116,24.0
25.08.2023 14:00,153,0.116,23.5
25.08.2023 13:30,153,0.116,23.0
25.08.2023 13:00,153,0.116,22.3
25.08.2023 12:30,153,0.116,21.5
25.08.2023 12:00,152,0.092,20.8
25.08.2023 11:30,152,0.092,20.1
25.08.2023 11:00,152,0.092,19.7
25.08.2023 10:30,152,0.092,19.4
25.08.2023 10:00,152,0.092,19.2
25.08.2023 09:30,152,0.092,19.1
25.08.2023 09:00,152,0.092,18.9
25.08.2023 08:30,152,0.092,18.8
25.08.2023 08:00,152,0.092,18.9
25.08.2023 07:30,152,0.092,19.0
25.08.2023 07:00,152,0.092,19.1
25.08.2023 06:30,152,0.092,19.2
25.08.2023 06:00,152,0.092,19.4
25.08.2023 05:30,151,0.070,19.5
25.08.2023 05:00,151,0.070,19.7
25.08.2023 04:30,151,0.070,19.8
25.08.2023 04:00,151,0.070,20.0
25.08.2023 03:30,151,0.070,20.2
25.08.2023 03:00,151,0.070,20.4
25.08.2023 02:30,151,0.070,20.6
25.08.2023 02:00,151,0.070,20.8
25.08.2023 01:30,151,0.070,21.0
25.08.2023 01:00,151,0.070,21.3
25.08.2023 00:30,151,0.070,21.5
25.08.2023 00:00,151,0.070,21.7
24.08.2023 23:30,151,0.070,21.9
24.08.2023 23:00,151,0.070,22.1
24.08.2023 22:30,151,0.070,22.3
24.08.2023 22:00,151,0.070,22.5
24.08.2023 21:30,151,0.070,22.6
24.08.2023 21:00,151,0.070,22.7
24.08.2023 20:30,152,0.092,22.9
24.08.2023 20:00,151,0.070,23.0
24.08.2023 19:30,152,0.092,23.1
24.08.2023 19:00,152,0.092,23.3
24.08.2023 18:30,152,0.092,23.5
24.08.2023 18:00,152,0.092,23.6
24.08.2023 17:30,152,0.092,23.8
24.08.2023 17:00,152,0.092,23.9
24.08.2023 16:30,153,0.116,24.0
24.08.2023 16:00,153,0.116,24.1
24.08.2023 15:30,153,0.116,24.1
24.08.2023 15:00,152,0.092,23.9
24.08.2023 14:30,153,0.116,23.6
24.08.2023 14:00,153,0.116,23.2
24.08.2023 13:30,153,0.116,22.7
24.08.2023 13:00,153,0.116,22.1
24.08.2023 12:30,153,0.116,21.3
24.08.2023 12:00,153,0.116,20.5
24.08.2023 11:30,153,0.116,19.7
24.08.2023 11:00,153,0.116,19.3
24.08.2023 10:30,152,0.092,19.0
24.08.2023 10:00,152,0.092,18.8
24.08.2023 09:30,152,0.092,18.7
24.08.2023 09:00,152,0.092,18.5
24.08.2023 08:30,152,0.092,18.4
24.08.2023 08:00,152,0.092,18.5
24.08.2023 07:30,152,0.092,18.6
24.08.2023 07:00,152,0.092,18.7
24.08.2023 06:30,152,0.092,18.8
24.08.2023 06:00,152,0.092,18.9
24.08.2023 05:30,152,0.092,19.0
24.08.2023 05:00,152,0.092,19.1
24.08.2023 04:30,152,0.092,19.3
24.08.2023 04:00,152,0.092,19.4
24.08.2023 03:30,152,0.092,19.5
24.08.2023 03:00,152,0.092,19.7
24.08.2023 02:30,152,0.092,19.8
24.08.2023 02:00,152,0.092,20.0
24.08.2023 01:30,152,0.092,20.1
24.08.2023 01:00,152,0.092,20.3
24.08.2023 00:30,152,0.092,20.5
24.08.2023 00:00,152,0.092,20.7
23.08.2023 23:30,152,0.092,20.8
23.08.2023 23:00,152,0.092,21.0
23.08.2023 22:30,152,0.092,21.1
23.08.2023 22:00,152,0.092,21.3
23.08.2023 21:30,152,0.092,21.5
23.08.2023 21:00,152,0.092,21.6
23.08.2023 20:30,152,0.092,21.8
23.08.2023 20:00,152,0.092,21.9
23.08.2023 19:30,152,0.092,22.0
23.08.2023 19:00,152,0.092,22.1
23.08.2023 18:30,152,0.092,22.3
23.08.2023 18:00,153,0.116,22.4
23.08.2023 17:30,153,0.116,22.7
23.08.2023 17:00,153,0.116,22.8
23.08.2023 16:30,153,0.116,22.8
23.08.2023 16:00,153,0.116,22.8
23.08.2023 15:30,153,0.116,23.0
23.08.2023 15:00,153,0.116,23.2
23.08.2023 14:30,154,0.142,22.9
23.08.2023 14:00,154,0.142,22.5
23.08.2023 13:30,153,0.116,22.0
23.08.2023 13:00,153,0.116,21.4
23.08.2023 12:30,153,0.116,20.6
23.08.2023 12:00,153,0.116,19.8
23.08.2023 11:30,153,0.116,19.1
23.08.2023 11:00,153,0.116,18.6
23.08.2023 10:30,153,0.116,18.3
23.08.2023 10:00,153,0.116,18.1
23.08.2023 09:30,153,0.116,17.9
23.08.2023 09:00,153,0.116,17.8
23.08.2023 08:30,153,0.116,17.7
23.08.2023 08:00,153,0.116,17.7
23.08.2023 07:30,153,0.116,17.8
23.08.2023 07:00,153,0.116,17.9
23.08.2023 06:30,153,0.116,18.0
23.08.2023 06:00,153,0.116,18.1
23.08.2023 05:30,153,0.116,18.2
23.08.2023 05:00,153,0.116,18.4
23.08.2023 04:30,153,0.116,18.5
23.08.2023 04:00,153,0.116,18.7
23.08.2023 03:30,153,0.116,18.8
23.08.2023 03:00,152,0.092,19.0
23.08.2023 02:30,152,0.092,19.2
23.08.2023 02:00,152,0.092,19.4
23.08.2023 01:30,152,0.092,19.7
23.08.2023 01:00,152,0.092,19.9
23.08.2023 00:30,152,0.092,20.2
23.08.2023 00:00,152,0.092,20.5
22.08.2023 23:30,152,0.092,20.7
22.08.2023 23:00,152,0.092,21.0
22.08.2023 22:30,152,0.092,21.2
22.08.2023 22:00,152,0.092,21.4
22.08.2023 21:30,152,0.092,21.6
22.08.2023 21:00,152,0.092,21.7
22.08.2023 20:30,152,0.092,21.9
22.08.2023 20:00,152,0.092,22.0
22.08.2023 19:30,153,0.116,22.2
22.08.2023 19:00,153,0.116,22.3
22.08.2023 18:30,152,0.092,22.4
22.08.2023 18:00,153,0.116,22.5
22.08.2023 17:30,153,0.116,22.7
22.08.2023 17:00,153,0.116,22.8
22.08.2023 16:30,153,0.116,22.9
22.08.2023 16:00,154,0.142,22.9
22.08.2023 15:30,154,0.142,22.9
22.08.2023 15:00,154,0.142,22.8
22.08.2023 14:30,154,0.142,22.5
22.08.2023 14:00,154,0.142,22.1
22.08.2023 13:30,154,0.142,21.5
22.08.2023 13:00,154,0.142,20.9
22.08.2023 12:30,154,0.142,20.2
22.08.2023 12:00,154,0.142,19.5
22.08.2023 11:30,154,0.142,18.8
22.08.2023 11:00,154,0.142,18.2
22.08.2023 10:30,154,0.142,17.8
22.08.2023 10:00,153,0.116,17.7
22.08.2023 09:30,153,0.116,17.5
22.08.2023 09:00,153,0.116,17.4
22.08.2023 08:30,153,0.116,17.3
22.08.2023 08:00,153,0.116,17.3
22.08.2023 07:30,153,0.116,17.4
22.08.2023 07:00,153,0.116,17.5
22.08.2023 06:30,153,0.116,17.6
22.08.2023 06:00,153,0.116,17.7
22.08.2023 05:30,153,0.116,17.8
22.08.2023 05:00,153,0.116,18.0
22.08.2023 04:30,153,0.116,18.1
22.08.2023 04:00,153,0.116,18.2
22.08.2023 03:30,153,0.116,18.4
22.08.2023 03:00,153,0.116,18.5
22.08.2023 02:30,153,0.116,18.7
22.08.2023 02:00,153,0.116,18.9
22.08.2023 01:30,153,0.116,19.1
22.08.2023 01:00,153,0.116,19.3
22.08.2023 00:30,153,0.116,19.5
22.08.2023 00:00,153,0.116,19.8
21.08.2023 23:30,153,0.116,20.0
21.08.2023 23:00,153,0.116,20.3
21.08.2023 22:30,153,0.116,20.6
21.08.2023 22:00,153,0.116,20.8
21.08.2023 21:30,153,0.116,21.0
21.08.2023 21:00,153,0.116,21.2
21.08.2023 20:30,153,0.116,21.4
21.08.2023 20:00,153,0.116,21.6
21.08.2023 19:30,153,0.116,21.7
21.08.2023 19:00,153,0.116,21.9
21.08.2023 18:30,153,0.116,22.0
21.08.2023 18:00,153,0.116,22.2
21.08.2023 17:30,153,0.116,22.4
21.08.2023 17:00,153,0.116,22.6
21.08.2023 16:30,153,0.116,22.6
21.08.2023 16:00,154,0.142,22.7
21.08.2023 15:30,154,0.142,22.6
21.08.2023 15:00,154,0.142,22.5
21.08.2023 14:30,154,0.142,22.2
21.08.2023 14:00,154,0.142,21.8
21.08.2023 13:30,154,0.142,21.3
21.08.2023 13:00,154,0.142,20.7
21.08.2023 12:30,154,0.142,20.0
21.08.2023 12:00,154,0.142,19.4
21.08.2023 11:30,154,0.142,18.7
21.08.2023 11:00,154,0.142,18.0
21.08.2023 10:30,154,0.142,17.6
21.08.2023 10:00,154,0.142,17.4
21.08.2023 09:30,154,0.142,17.3
21.08.2023 09:00,154,0.142,17.1
21.08.2023 08:30,154,0.142,17.0
21.08.2023 08:00,154,0.142,17.0
21.08.2023 07:30,154,0.142,17.1
21.08.2023 07:00,154,0.142,17.2
21.08.2023 06:30,154,0.142,17.2
21.08.2023 06:00,153,0.116,17.4
21.08.2023 05:30,153,0.116,17.5
21.08.2023 05:00,153,0.116,17.6
21.08.2023 04:30,153,0.116,17.7
21.08.2023 04:00,153,0.116,17.8
21.08.2023 03:30,153,0.116,18.0
21.08.2023 03:00,153,0.116,18.1
21.08.2023 02:30,153,0.116,18.3
21.08.2023 02:00,153,0.116,18.4
21.08.2023 01:30,153,0.116,18.6
21.08.2023 01:00,153,0.116,18.8
21.08.2023 00:30,153,0.116,19.0
21.08.2023 00:00,153,0.116,19.2
20.08.2023 23:30,153,0.116,19.5
20.08.2023 23:00,153,0.116,19.7
