Datum,Vodostaj [cm],Pretok [m³/s],Temperatura vode [°C]
31.07.2023 01:30,123,3.51,10.8
31.07.2023 02:00,123,3.51,10.7
31.07.2023 02:30,123,3.51,10.6
31.07.2023 03:00,123,3.51,10.5
31.07.2023 03:30,123,3.51,10.5
31.07.2023 04:00,123,3.51,10.4
31.07.2023 04:30,123,3.51,10.4
31.07.2023 05:00,123,3.51,10.4
31.07.2023 05:30,123,3.51,10.3
31.07.2023 06:00,123,3.51,10.3
31.07.2023 06:30,123,3.51,10.3
31.07.2023 07:00,122,3.41,10.3
31.07.2023 07:30,122,3.41,10.2
31.07.2023 08:00,122,3.41,10.2
31.07.2023 08:30,122,3.41,10.2
31.07.2023 09:00,122,3.41,10.3
31.07.2023 09:30,122,3.41,10.3
31.07.2023 10:00,121,3.31,10.4
31.07.2023 10:30,121,3.31,10.5
31.07.2023 11:00,121,3.31,10.7
31.07.2023 11:30,121,3.31,10.8
31.07.2023 12:00,121,3.31,10.9
31.07.2023 12:30,120,3.21,11.1
31.07.2023 13:00,120,3.21,11.2
31.07.2023 13:30,120,3.21,11.3
31.07.2023 14:00,120,3.21,11.4
31.07.2023 14:30,120,3.21,11.5
31.07.2023 15:00,120,3.21,11.6
31.07.2023 15:30,120,3.21,11.8
31.07.2023 16:00,120,3.21,11.9
31.07.2023 16:30,119,3.11,12.0
31.07.2023 17:00,119,3.11,12.1
31.07.2023 17:30,119,3.11,12.2
31.07.2023 18:00,119,3.11,12.2
31.07.2023 18:30,119,3.11,12.2
31.07.2023 19:00,119,3.11,12.2
31.07.2023 19:30,119,3.11,12.1
31.07.2023 20:00,118,3.01,12.0
31.07.2023 20:30,118,3.01,12.0
31.07.2023 21:00,118,3.01,11.9
31.07.2023 21:30,118,3.01,11.8
31.07.2023 22:00,118,3.01,11.7
31.07.2023 22:30,118,3.01,11.6
31.07.2023 23:00,118,3.01,11.5
31.07.2023 23:30,117,2.91,11.4
01.08.2023 00:00,117,2.91,11.3
01.08.2023 00:30,117,2.91,11.1
01.08.2023 01:00,117,2.91,11.0
01.08.2023 01:30,116,2.81,10.9
01.08.2023 02:00,116,2.81,10.8
01.08.2023 02:30,116,2.81,10.7
01.08.2023 03:00,116,2.81,10.6
01.08.2023 03:30,116,2.81,10.5
01.08.2023 04:00,116,2.81,10.4
01.08.2023 04:30,115,2.72,10.3
01.08.2023 05:00,115,2.72,10.3
01.08.2023 05:30,115,2.72,10.2
01.08.2023 06:00,115,2.72,10.2
01.08.2023 06:30,115,2.72,10.2
01.08.2023 07:00,115,2.72,10.2
01.08.2023 07:30,114,2.62,10.2
01.08.2023 08:00,114,2.62,10.2
01.08.2023 08:30,114,2.62,10.2
01.08.2023 09:00,114,2.62,10.3
01.08.2023 09:30,114,2.62,10.3
01.08.2023 10:00,113,2.53,10.4
01.08.2023 10:30,113,2.53,10.5
01.08.2023 11:00,113,2.53,10.6
01.08.2023 11:30,113,2.53,10.7
01.08.2023 12:00,112,2.44,10.8
01.08.2023 12:30,112,2.44,10.9
01.08.2023 13:00,112,2.44,11.0
01.08.2023 13:30,112,2.44,11.1
01.08.2023 14:00,112,2.44,11.2
01.08.2023 14:30,112,2.44,11.3
01.08.2023 15:00,111,2.34,11.3
01.08.2023 15:30,111,2.34,11.4
