Datum,Vodostaj [cm],Pretok [m³/s],Temperatura vode [°C]
31.07.2023 01:30,108,2.78,15.2
31.07.2023 02:00,108,2.78,15.1
31.07.2023 02:30,108,2.78,15.0
31.07.2023 03:00,108,2.78,14.9
31.07.2023 03:30,108,2.78,14.8
31.07.2023 04:00,108,2.78,14.8
31.07.2023 04:30,107,2.61,14.7
31.07.2023 05:00,107,2.61,14.6
31.07.2023 05:30,107,2.61,14.4
31.07.2023 06:00,107,2.61,14.4
31.07.2023 06:30,107,2.61,14.3
31.07.2023 07:00,107,2.61,14.3
31.07.2023 07:30,107,2.61,14.2
31.07.2023 08:00,107,2.61,14.2
31.07.2023 08:30,107,2.61,14.2
31.07.2023 09:00,107,2.61,14.2
31.07.2023 09:30,107,2.61,14.3
31.07.2023 10:00,107,2.61,14.4
31.07.2023 10:30,107,2.61,14.4
31.07.2023 11:00,106,2.45,14.6
31.07.2023 11:30,106,2.45,14.8
31.07.2023 12:00,106,2.45,14.9
31.07.2023 12:30,106,2.45,15.1
31.07.2023 13:00,106,2.45,15.4
31.07.2023 13:30,106,2.45,15.6
31.07.2023 14:00,106,2.45,15.6
31.07.2023 14:30,106,2.45,15.9
31.07.2023 15:00,106,2.45,16.0
31.07.2023 15:30,106,2.45,16.2
31.07.2023 16:00,106,2.45,16.4
31.07.2023 16:30,106,2.45,16.5
31.07.2023 17:00,106,2.45,16.6
31.07.2023 17:30,105,2.28,16.7
31.07.2023 18:00,105,2.28,16.6
31.07.2023 18:30,105,2.28,16.6
31.07.2023 19:00,105,2.28,16.6
31.07.2023 19:30,105,2.28,16.6
31.07.2023 20:00,105,2.28,16.6
31.07.2023 20:30,105,2.28,16.5
31.07.2023 21:00,105,2.28,16.4
31.07.2023 21:30,105,2.28,16.4
31.07.2023 22:00,105,2.28,16.3
31.07.2023 22:30,105,2.28,16.2
31.07.2023 23:00,105,2.28,16.1
31.07.2023 23:30,105,2.28,15.9
01.08.2023 00:00,105,2.28,15.8
01.08.2023 00:30,105,2.28,15.6
01.08.2023 01:00,105,2.28,15.5
01.08.2023 01:30,105,2.28,15.4
01.08.2023 02:00,105,2.28,15.2
01.08.2023 02:30,105,2.28,15.1
01.08.2023 03:00,104,2.12,15.0
01.08.2023 03:30,104,2.12,14.9
01.08.2023 04:00,104,2.12,14.8
01.08.2023 04:30,104,2.12,14.7
01.08.2023 05:00,104,2.12,14.6
01.08.2023 05:30,104,2.12,14.4
01.08.2023 06:00,104,2.12,14.3
01.08.2023 06:30,104,2.12,14.3
01.08.2023 07:00,104,2.12,14.2
01.08.2023 07:30,104,2.12,14.1
01.08.2023 08:00,104,2.12,14.1
01.08.2023 08:30,104,2.12,14.1
01.08.2023 09:00,104,2.12,14.1
01.08.2023 09:30,104,2.12,14.1
01.08.2023 10:00,104,2.12,14.2
01.08.2023 10:30,104,2.12,14.3
01.08.2023 11:00,104,2.12,14.4
01.08.2023 11:30,104,2.12,14.5
01.08.2023 12:00,104,2.12,14.6
01.08.2023 12:30,104,2.12,14.7
01.08.2023 13:00,104,2.12,14.8
01.08.2023 13:30,104,2.12,15.0
01.08.2023 14:00,104,2.12,15.1
01.08.2023 14:30,104,2.12,15.3
01.08.2023 15:00,104,2.12,15.4
01.08.2023 15:30,104,2.12,15.5
01.08.2023 16:00,104,2.12,15.6
01.08.2023 16:30,104,2.12,15.6
01.08.2023 17:00,107,2.61,15.7
01.08.2023 17:30,108,2.78,15.9
01.08.2023 18:00,111,3.31,16.2
01.08.2023 18:30,111,3.31,16.0
01.08.2023 19:00,111,3.31,16.1
01.08.2023 19:30,114,3.85,16.2
01.08.2023 20:00,117,4.41,16.2
01.08.2023 20:30,125,6.00,16.1
01.08.2023 21:00,155,13.1,16.0
01.08.2023 21:30,179,20.0,16.0
01.08.2023 22:00,168,16.7,16.0
01.08.2023 22:30,161,14.8,15.8
01.08.2023 23:00,156,13.4,15.7
01.08.2023 23:30,153,12.6,15.6
02.08.2023 00:00,150,11.8,15.4
02.08.2023 00:30,142,9.83,15.2
02.08.2023 01:00,143,10.1,15.1
02.08.2023 01:30,140,9.35,14.9
02.08.2023 02:00,138,8.88,14.8
02.08.2023 02:30,136,8.41,14.7
02.08.2023 03:00,134,7.95,14.6
02.08.2023 03:30,133,7.73,14.4
02.08.2023 04:00,132,7.51,14.3
02.08.2023 04:30,130,7.07,14.2
02.08.2023 05:00,129,6.85,14.2
02.08.2023 05:30,128,6.63,14.1
02.08.2023 06:00,127,6.42,14.0
02.08.2023 06:30,126,6.21,14.0
02.08.2023 07:00,126,6.21,13.9
02.08.2023 07:30,125,6.00,13.9
02.08.2023 08:00,124,5.79,13.9
02.08.2023 08:30,124,5.79,13.9
02.08.2023 09:00,121,5.19,13.9
02.08.2023 09:30,122,5.39,14.0
02.08.2023 10:00,122,5.39,14.0
02.08.2023 10:30,121,5.19,14.1
02.08.2023 11:00,121,5.19,14.2
02.08.2023 11:30,121,5.19,14.3
02.08.2023 12:00,121,5.19,14.6
02.08.2023 12:30,120,4.99,14.7
02.08.2023 13:00,120,4.99,14.8
02.08.2023 13:30,119,4.79,14.9
02.08.2023 14:00,119,4.79,15.1
02.08.2023 14:30,118,4.60,15.2
02.08.2023 15:00,118,4.60,15.3
02.08.2023 15:30,118,4.60,15.4
02.08.2023 16:00,117,4.41,15.5
02.08.2023 16:30,117,4.41,15.7
02.08.2023 17:00,117,4.41,15.8
02.08.2023 17:30,117,4.41,15.7
02.08.2023 18:00,116,4.22,15.7
02.08.2023 18:30,116,4.22,15.7
02.08.2023 19:00,116,4.22,15.7
02.08.2023 19:30,115,4.03,15.7
02.08.2023 20:00,115,4.03,15.6
02.08.2023 20:30,115,4.03,15.5
02.08.2023 21:00,115,4.03,15.5
02.08.2023 21:30,114,3.85,15.4
02.08.2023 22:00,114,3.85,15.3
02.08.2023 22:30,114,3.85,15.2
02.08.2023 23:00,114,3.85,15.1
02.08.2023 23:30,114,3.85,15.0
03.08.2023 00:00,114,3.85,14.9
03.08.2023 00:30,114,3.85,14.8
03.08.2023 01:00,113,3.66,14.7
03.08.2023 01:30,113,3.66,14.5
03.08.2023 02:00,113,3.66,14.4
03.08.2023 02:30,113,3.66,14.3
03.08.2023 03:00,113,3.66,14.3
03.08.2023 03:30,113,3.66,14.2
03.08.2023 04:00,113,3.66,14.2
03.08.2023 04:30,113,3.66,14.1
03.08.2023 05:00,112,3.48,14.1
03.08.2023 05:30,112,3.48,14.1
03.08.2023 06:00,112,3.48,14.1
03.08.2023 06:30,112,3.48,14.1
03.08.2023 07:00,112,3.48,14.1
03.08.2023 07:30,112,3.48,14.1
03.08.2023 08:00,112,3.48,14.1
03.08.2023 08:30,112,3.48,14.1
03.08.2023 09:00,111,3.31,14.1
03.08.2023 09:30,111,3.31,14.1
03.08.2023 10:00,111,3.31,14.1
03.08.2023 10:30,111,3.31,14.2
03.08.2023 11:00,111,3.31,14.2
03.08.2023 11:30,111,3.31,14.3
03.08.2023 12:00,111,3.31,14.6
03.08.2023 12:30,111,3.31,14.7
03.08.2023 13:00,111,3.31,14.8
03.08.2023 13:30,110,3.13,14.9
03.08.2023 14:00,110,3.13,15.0
03.08.2023 14:30,110,3.13,15.1
03.08.2023 15:00,110,3.13,15.2
03.08.2023 15:30,110,3.13,15.3
03.08.2023 16:00,110,3.13,15.5
03.08.2023 16:30,110,3.13,15.6
03.08.2023 17:00,110,3.13,15.6
03.08.2023 17:30,110,3.13,15.7
03.08.2023 18:00,110,3.13,15.8
03.08.2023 18:30,110,3.13,15.8
03.08.2023 19:00,109,2.95,15.8
03.08.2023 19:30,109,2.95,15.8
03.08.2023 20:00,109,2.95,15.8
03.08.2023 20:30,109,2.95,15.9
03.08.2023 21:00,110,3.13,15.9
03.08.2023 21:30,114,3.85,16.0
03.08.2023 22:00,121,5.19,16.1
03.08.2023 22:30,135,8.18,16.2
03.08.2023 23:00,139,9.11,16.2
03.08.2023 23:30,143,10.1,16.3
04.08.2023 00:00,138,8.88,16.1
04.08.2023 00:30,136,8.41,15.9
04.08.2023 01:00,139,9.11,15.8
04.08.2023 01:30,147,11.1,15.9
04.08.2023 02:00,155,13.1,15.9
04.08.2023 02:30,156,13.4,16.0
04.08.2023 03:00,154,12.9,15.8
04.08.2023 03:30,156,13.4,15.6
04.08.2023 04:00,179,20.0,15.6
04.08.2023 04:30,242,41.0,15.6
04.08.2023 05:00,294,57.7,15.9
04.08.2023 05:30,318,63.5,15.9
04.08.2023 06:00,374,-,16.0
04.08.2023 06:30,340,-,16.0
04.08.2023 07:00,346,-,15.9
04.08.2023 07:30,333,-,15.8
04.08.2023 08:00,336,-,15.7
04.08.2023 08:30,333,-,15.5
04.08.2023 09:00,328,65.3,15.2
04.08.2023 09:30,298,58.8,14.9
04.08.2023 10:00,274,51.7,14.7
04.08.2023 10:30,254,45.1,14.4
04.08.2023 11:00,240,40.3,14.3
04.08.2023 11:30,231,37.2,14.2
04.08.2023 12:00,230,36.8,14.2
04.08.2023 12:30,237,39.2,14.2
04.08.2023 13:00,252,44.4,14.3
04.08.2023 13:30,260,47.1,14.4
04.08.2023 14:00,266,49.1,14.7
04.08.2023 14:30,270,50.4,14.7
04.08.2023 15:00,267,49.4,14.6
04.08.2023 15:30,262,47.8,14.6
04.08.2023 16:00,253,44.7,14.6
04.08.2023 16:30,246,42.3,14.5
04.08.2023 17:00,240,40.3,14.4
04.08.2023 17:30,233,37.8,14.4
04.08.2023 18:00,225,35.1,14.5
04.08.2023 18:30,221,33.7,14.6
04.08.2023 19:00,217,32.4,14.4
04.08.2023 19:30,222,34.1,14.4
04.08.2023 20:00,232,37.5,14.3
04.08.2023 20:30,245,42.0,14.3
04.08.2023 21:00,254,45.1,14.3
04.08.2023 21:30,263,48.1,14.3
04.08.2023 22:00,267,49.4,14.4
04.08.2023 22:30,262,47.8,14.4
04.08.2023 23:00,256,45.8,14.4
04.08.2023 23:30,247,42.7,14.4
05.08.2023 00:00,238,39.6,14.3
05.08.2023 00:30,234,38.2,14.2
05.08.2023 01:00,237,39.2,14.1
05.08.2023 01:30,246,42.3,14.1
05.08.2023 02:00,259,46.8,14.1
05.08.2023 02:30,265,48.8,14.1
05.08.2023 03:00,262,47.8,14.1
05.08.2023 03:30,253,44.7,14.2
05.08.2023 04:00,243,41.3,14.2
05.08.2023 04:30,236,38.9,14.1
05.08.2023 05:00,232,37.5,14.0
05.08.2023 05:30,228,36.1,13.9
05.08.2023 06:00,223,34.4,13.9
05.08.2023 06:30,218,32.7,13.9
05.08.2023 07:00,214,31.4,13.9
05.08.2023 07:30,212,30.7,13.9
05.08.2023 08:00,210,30.0,13.9
05.08.2023 08:30,206,28.7,13.8
05.08.2023 09:00,203,27.8,13.8
05.08.2023 09:30,200,26.8,13.8
05.08.2023 10:00,196,25.5,13.7
05.08.2023 10:30,194,24.8,13.7
05.08.2023 11:00,191,23.8,13.7
05.08.2023 11:30,190,23.5,13.6
05.08.2023 12:00,191,23.8,13.6
05.08.2023 12:30,196,25.5,13.7
05.08.2023 13:00,201,27.1,13.7
05.08.2023 13:30,201,27.1,13.7
05.08.2023 14:00,198,26.2,13.8
05.08.2023 14:30,195,25.2,13.9
05.08.2023 15:00,197,25.8,13.9
05.08.2023 15:30,205,28.4,13.9
05.08.2023 16:00,209,29.7,14.0
05.08.2023 16:30,209,29.7,14.0
05.08.2023 17:00,206,28.7,14.1
05.08.2023 17:30,204,28.1,14.1
05.08.2023 18:00,205,28.4,14.1
05.08.2023 18:30,209,29.7,14.1
05.08.2023 19:00,218,32.7,14.1
05.08.2023 19:30,226,35.4,14.1
05.08.2023 20:00,230,36.8,14.1
05.08.2023 20:30,237,39.2,14.1
05.08.2023 21:00,244,41.7,14.1
05.08.2023 21:30,247,42.7,14.1
05.08.2023 22:00,244,41.7,14.1
05.08.2023 22:30,237,39.2,14.1
05.08.2023 23:00,229,36.5,14.1
05.08.2023 23:30,221,33.7,14.0
06.08.2023 00:00,214,31.4,13.9
06.08.2023 00:30,211,30.4,13.8
06.08.2023 01:00,205,28.4,13.7
06.08.2023 01:30,203,27.8,13.6
06.08.2023 02:00,199,26.5,13.6
06.08.2023 02:30,194,24.8,13.5
06.08.2023 03:00,192,24.2,13.4
06.08.2023 03:30,188,22.9,13.4
06.08.2023 04:00,187,22.5,13.4
06.08.2023 04:30,184,21.6,13.4
06.08.2023 05:00,182,21.0,13.4
06.08.2023 05:30,180,20.3,13.3
06.08.2023 06:00,179,20.0,13.2
06.08.2023 06:30,177,19.4,13.1
06.08.2023 07:00,176,19.1,13.1
06.08.2023 07:30,174,18.5,13.1
06.08.2023 08:00,172,17.9,13.0
06.08.2023 08:30,170,17.3,13.1
06.08.2023 09:00,170,17.3,13.1
06.08.2023 09:30,168,16.7,13.1
06.08.2023 10:00,168,16.7,13.1
06.08.2023 10:30,167,16.5,13.1
06.08.2023 11:00,166,16.2,13.2
06.08.2023 11:30,165,15.9,13.2
06.08.2023 12:00,162,15.0,13.2
06.08.2023 12:30,162,15.0,13.3
06.08.2023 13:00,161,14.8,13.4
06.08.2023 13:30,160,14.5,13.5
06.08.2023 14:00,159,14.2,13.6
06.08.2023 14:30,157,13.7,13.6
06.08.2023 15:00,157,13.7,13.6
06.08.2023 15:30,156,13.4,13.6
06.08.2023 16:00,158,13.9,13.5
06.08.2023 16:30,161,14.8,13.5
06.08.2023 17:00,165,15.9,13.5
06.08.2023 17:30,168,16.7,13.5
06.08.2023 18:00,163,15.3,13.6
06.08.2023 18:30,160,14.5,13.6
06.08.2023 19:00,158,13.9,13.6
06.08.2023 19:30,157,13.7,13.6
06.08.2023 20:00,156,13.4,13.5
06.08.2023 20:30,155,13.1,13.4
06.08.2023 21:00,153,12.6,13.4
06.08.2023 21:30,153,12.6,13.3
06.08.2023 22:00,152,12.3,13.2
06.08.2023 22:30,151,12.1,13.1
06.08.2023 23:00,150,11.8,13.0
06.08.2023 23:30,149,11.6,12.9
07.08.2023 00:00,148,11.3,12.9
07.08.2023 00:30,148,11.3,12.8
07.08.2023 01:00,147,11.1,12.7
07.08.2023 01:30,146,10.8,12.7
07.08.2023 02:00,146,10.8,12.6
07.08.2023 02:30,145,10.6,12.5
07.08.2023 03:00,145,10.6,12.5
07.08.2023 03:30,144,10.3,12.4
07.08.2023 04:00,144,10.3,12.4
07.08.2023 04:30,143,10.1,12.4
07.08.2023 05:00,142,9.83,12.3
07.08.2023 05:30,142,9.83,12.3
07.08.2023 06:00,141,9.59,12.3
07.08.2023 06:30,141,9.59,12.3
07.08.2023 07:00,141,9.59,12.3
07.08.2023 07:30,140,9.35,12.3
07.08.2023 08:00,140,9.35,12.3
07.08.2023 08:30,139,9.11,12.2
07.08.2023 09:00,139,9.11,12.2
07.08.2023 09:30,138,8.88,12.3
07.08.2023 10:00,136,8.41,12.3
07.08.2023 10:30,135,8.18,12.4
07.08.2023 11:00,137,8.64,12.6
07.08.2023 11:30,136,8.41,12.7
07.08.2023 12:00,136,8.41,12.9
07.08.2023 12:30,136,8.41,13.1
07.08.2023 13:00,135,8.18,13.2
07.08.2023 13:30,135,8.18,13.4
07.08.2023 14:00,134,7.95,13.7
07.08.2023 14:30,134,7.95,13.8
07.08.2023 15:00,134,7.95,13.9
07.08.2023 15:30,133,7.73,13.9
07.08.2023 16:00,133,7.73,13.8
07.08.2023 16:30,133,7.73,13.9
07.08.2023 17:00,133,7.73,13.8
07.08.2023 17:30,131,7.29,13.8
07.08.2023 18:00,131,7.29,13.8
07.08.2023 18:30,131,7.29,13.8
07.08.2023 19:00,131,7.29,13.7
07.08.2023 19:30,130,7.07,13.6
07.08.2023 20:00,130,7.07,13.5
07.08.2023 20:30,130,7.07,13.4
07.08.2023 21:00,129,6.85,13.3
07.08.2023 21:30,129,6.85,13.2
07.08.2023 22:00,129,6.85,13.1
07.08.2023 22:30,128,6.63,13.0
07.08.2023 23:00,128,6.63,12.9
07.08.2023 23:30,128,6.63,12.8
08.08.2023 00:00,128,6.63,12.7
08.08.2023 00:30,127,6.42,12.6
08.08.2023 01:00,127,6.42,12.6
08.08.2023 01:30,126,6.21,12.5
08.08.2023 02:00,126,6.21,12.4
08.08.2023 02:30,126,6.21,12.3
08.08.2023 03:00,126,6.21,12.2
08.08.2023 03:30,126,6.21,12.1
08.08.2023 04:00,125,6.00,12.0
08.08.2023 04:30,125,6.00,12.0
08.08.2023 05:00,125,6.00,11.9
08.08.2023 05:30,125,6.00,11.8
08.08.2023 06:00,124,5.79,11.8
08.08.2023 06:30,124,5.79,11.7
08.08.2023 07:00,124,5.79,11.6
08.08.2023 07:30,124,5.79,11.6
08.08.2023 08:00,124,5.79,11.6
08.08.2023 08:30,123,5.59,11.6
08.08.2023 09:00,123,5.59,11.6
08.08.2023 09:30,123,5.59,11.7
08.08.2023 10:00,123,5.59,11.8
08.08.2023 10:30,123,5.59,11.9
08.08.2023 11:00,122,5.39,12.1
08.08.2023 11:30,122,5.39,12.3
08.08.2023 12:00,122,5.39,12.6
08.08.2023 12:30,122,5.39,12.8
08.08.2023 13:00,122,5.39,13.0
08.08.2023 13:30,122,5.39,13.2
08.08.2023 14:00,121,5.19,13.5
08.08.2023 14:30,121,5.19,13.6
08.08.2023 15:00,121,5.19,13.8
08.08.2023 15:30,121,5.19,13.9
08.08.2023 16:00,121,5.19,14.0
08.08.2023 16:30,120,4.99,14.0
08.08.2023 17:00,120,4.99,14.0
08.08.2023 17:30,119,4.79,14.0
08.08.2023 18:00,120,4.99,14.0
08.08.2023 18:30,119,4.79,13.9
08.08.2023 19:00,119,4.79,13.9
08.08.2023 19:30,119,4.79,13.8
08.08.2023 20:00,119,4.79,13.7
08.08.2023 20:30,119,4.79,13.6
08.08.2023 21:00,119,4.79,13.5
08.08.2023 21:30,119,4.79,13.4
08.08.2023 22:00,118,4.60,13.3
08.08.2023 22:30,118,4.60,13.2
08.08.2023 23:00,118,4.60,13.1
08.08.2023 23:30,118,4.60,13.0
09.08.2023 00:00,118,4.60,12.9
09.08.2023 00:30,118,4.60,12.8
09.08.2023 01:00,118,4.60,12.7
09.08.2023 01:30,117,4.41,12.6
09.08.2023 02:00,117,4.41,12.5
09.08.2023 02:30,117,4.41,12.5
09.08.2023 03:00,117,4.41,12.4
09.08.2023 03:30,117,4.41,12.3
09.08.2023 04:00,117,4.41,12.2
09.08.2023 04:30,117,4.41,12.2
09.08.2023 05:00,116,4.22,12.1
09.08.2023 05:30,116,4.22,12.1
09.08.2023 06:00,116,4.22,12.0
09.08.2023 06:30,116,4.22,12.0
09.08.2023 07:00,116,4.22,11.9
09.08.2023 07:30,116,4.22,11.9
09.08.2023 08:00,116,4.22,11.9
09.08.2023 08:30,115,4.03,11.9
09.08.2023 09:00,116,4.22,11.9
09.08.2023 09:30,115,4.03,12.0
09.08.2023 10:00,115,4.03,12.1
09.08.2023 10:30,115,4.03,12.3
09.08.2023 11:00,115,4.03,12.4
09.08.2023 11:30,115,4.03,12.6
09.08.2023 12:00,115,4.03,12.7
09.08.2023 12:30,114,3.85,12.9
09.08.2023 13:00,115,4.03,13.0
09.08.2023 13:30,114,3.85,13.2
09.08.2023 14:00,114,3.85,13.3
09.08.2023 14:30,114,3.85,13.4
09.08.2023 15:00,114,3.85,13.5
09.08.2023 15:30,114,3.85,13.6
09.08.2023 16:00,114,3.85,13.7
09.08.2023 16:30,114,3.85,13.8
09.08.2023 17:00,113,3.66,13.8
09.08.2023 17:30,113,3.66,13.9
09.08.2023 18:00,113,3.66,13.9
09.08.2023 18:30,113,3.66,13.9
09.08.2023 19:00,113,3.66,13.9
09.08.2023 19:30,113,3.66,13.8
09.08.2023 20:00,113,3.66,13.7
09.08.2023 20:30,113,3.66,13.7
09.08.2023 21:00,113,3.66,13.6
09.08.2023 21:30,113,3.66,13.5
09.08.2023 22:00,113,3.66,13.4
09.08.2023 22:30,112,3.48,13.4
09.08.2023 23:00,112,3.48,13.3
09.08.2023 23:30,112,3.48,13.3
10.08.2023 00:00,112,3.48,13.2
10.08.2023 00:30,112,3.48,13.1
10.08.2023 01:00,112,3.48,13.1
10.08.2023 01:30,112,3.48,13.1
10.08.2023 02:00,112,3.48,13.0
10.08.2023 02:30,113,3.66,13.0
10.08.2023 03:00,116,4.22,12.9
10.08.2023 03:30,115,4.03,12.9
