Datum,Vodostaj [cm],Pretok [mÂ³/s],Temperatura vode [Â°C]
17.08.2023 00:30,68,4.98,15.4
17.08.2023 00:00,69,5.24,15.5
16.08.2023 23:30,69,5.24,15.6
16.08.2023 23:00,69,5.24,15.7
16.08.2023 22:30,69,5.24,15.9
16.08.2023 22:00,69,5.24,16.0
16.08.2023 21:30,69,5.24,16.2
16.08.2023 21:00,70,5.50,16.3
16.08.2023 20:30,70,5.50,16.4
16.08.2023 20:00,70,5.50,16.5
16.08.2023 19:30,70,5.50,16.6
16.08.2023 19:00,70,5.50,16.6
16.08.2023 18:30,70,5.50,16.7
16.08.2023 18:00,71,5.78,16.8
16.08.2023 17:30,72,6.07,16.8
16.08.2023 17:00,73,6.36,16.9
16.08.2023 16:30,72,6.07,17.0
16.08.2023 16:00,71,5.78,16.9
16.08.2023 15:30,70,5.50,17.1
16.08.2023 15:00,69,5.24,17.2
16.08.2023 14:30,69,5.24,17.2
16.08.2023 14:00,70,5.50,17.4
16.08.2023 13:30,70,5.50,17.1
16.08.2023 13:00,70,5.50,16.9
16.08.2023 12:30,70,5.50,16.6
16.08.2023 12:00,70,5.50,16.2
16.08.2023 11:30,70,5.50,15.8
16.08.2023 11:00,70,5.50,15.4
16.08.2023 10:30,70,5.50,15.1
16.08.2023 10:00,70,5.50,14.8
16.08.2023 09:30,70,5.50,14.6
16.08.2023 09:00,70,5.50,14.4
16.08.2023 08:30,70,5.50,14.3
16.08.2023 08:00,70,5.50,14.2
16.08.2023 07:30,69,5.24,14.2
16.08.2023 07:00,69,5.24,14.2
16.08.2023 06:30,70,5.50,14.3
16.08.2023 06:00,69,5.24,14.3
16.08.2023 05:30,70,5.50,14.4
16.08.2023 05:00,70,5.50,14.4
16.08.2023 04:30,70,5.50,14.6
16.08.2023 04:00,70,5.50,14.7
16.08.2023 03:30,70,5.50,14.8
16.08.2023 03:00,70,5.50,14.9
16.08.2023 02:30,70,5.50,15.0
16.08.2023 02:00,70,5.50,15.1
16.08.2023 01:30,70,5.50,15.3
16.08.2023 01:00,70,5.50,15.4
16.08.2023 00:30,70,5.50,15.6
16.08.2023 00:00,70,5.50,15.7
15.08.2023 23:30,70,5.50,15.9
15.08.2023 23:00,70,5.50,16.1
15.08.2023 22:30,70,5.50,16.2
15.08.2023 22:00,70,5.50,16.4
15.08.2023 21:30,70,5.50,16.5
15.08.2023 21:00,70,5.50,16.7
15.08.2023 20:30,70,5.50,16.8
15.08.2023 20:00,69,5.24,17.0
15.08.2023 19:30,70,5.50,17.2
15.08.2023 19:00,70,5.50,17.4
15.08.2023 18:30,70,5.50,17.5
15.08.2023 18:00,70,5.50,17.6
15.08.2023 17:30,71,5.78,17.6
15.08.2023 17:00,71,5.78,17.6
15.08.2023 16:30,71,5.78,17.6
15.08.2023 16:00,71,5.78,17.5
15.08.2023 15:30,71,5.78,17.4
15.08.2023 15:00,72,6.07,17.2
15.08.2023 14:30,72,6.07,17.0
15.08.2023 14:00,73,6.36,16.8
15.08.2023 13:30,72,6.07,16.5
15.08.2023 13:00,72,6.07,16.2
15.08.2023 12:30,72,6.07,15.8
15.08.2023 12:00,72,6.07,15.5
15.08.2023 11:30,72,6.07,15.1
15.08.2023 11:00,72,6.07,14.8
15.08.2023 10:30,73,6.36,14.4
15.08.2023 10:00,72,6.07,14.2
15.08.2023 09:30,73,6.36,14.0
15.08.2023 09:00,72,6.07,13.8
15.08.2023 08:30,72,6.07,13.7
15.08.2023 08:00,72,6.07,13.7
15.08.2023 07:30,72,6.07,13.7
15.08.2023 07:00,72,6.07,13.7
15.08.2023 06:30,72,6.07,13.8
15.08.2023 06:00,72,6.07,13.9
15.08.2023 05:30,72,6.07,14.0
15.08.2023 05:00,72,6.07,14.0
15.08.2023 04:30,72,6.07,14.1
15.08.2023 04:00,73,6.36,14.2
15.08.2023 03:30,72,6.07,14.3
15.08.2023 03:00,73,6.36,14.4
15.08.2023 02:30,72,6.07,14.6
15.08.2023 02:00,72,6.07,14.8
15.08.2023 01:30,72,6.07,14.9
15.08.2023 01:00,72,6.07,15.1
15.08.2023 00:30,73,6.36,15.2
15.08.2023 00:00,73,6.36,15.4
14.08.2023 23:30,72,6.07,15.6
14.08.2023 23:00,73,6.36,15.8
14.08.2023 22:30,72,6.07,15.9
14.08.2023 22:00,73,6.36,16.1
14.08.2023 21:30,72,6.07,16.3
14.08.2023 21:00,73,6.36,16.4
14.08.2023 20:30,73,6.36,16.6
14.08.2023 20:00,73,6.36,16.7
14.08.2023 19:30,73,6.36,16.9
14.08.2023 19:00,73,6.36,17.1
14.08.2023 18:30,73,6.36,17.2
14.08.2023 18:00,73,6.36,17.3
14.08.2023 17:30,75,6.97,17.4
14.08.2023 17:00,73,6.36,17.4
14.08.2023 16:30,73,6.36,17.4
14.08.2023 16:00,74,6.66,17.3
14.08.2023 15:30,73,6.36,17.2
14.08.2023 15:00,74,6.66,17.1
14.08.2023 14:30,74,6.66,16.9
14.08.2023 14:00,74,6.66,16.7
14.08.2023 13:30,75,6.97,16.5
14.08.2023 13:00,75,6.97,16.2
14.08.2023 12:30,75,6.97,15.9
14.08.2023 12:00,75,6.97,15.6
14.08.2023 11:30,76,7.29,15.3
14.08.2023 11:00,75,6.97,15.0
14.08.2023 10:30,76,7.29,14.7
14.08.2023 10:00,76,7.29,14.4
14.08.2023 09:30,76,7.29,14.2
14.08.2023 09:00,76,7.29,14.1
14.08.2023 08:30,76,7.29,14.0
14.08.2023 08:00,76,7.29,13.9
14.08.2023 07:30,76,7.29,14.0
14.08.2023 07:00,76,7.29,14.0
14.08.2023 06:30,76,7.29,14.1
14.08.2023 06:00,76,7.29,14.2
14.08.2023 05:30,76,7.29,14.3
14.08.2023 05:00,76,7.29,14.3
14.08.2023 04:30,76,7.29,14.4
14.08.2023 04:00,77,7.61,14.6
14.08.2023 03:30,77,7.61,14.7
14.08.2023 03:00,76,7.29,14.8
14.08.2023 02:30,76,7.29,14.9
14.08.2023 02:00,76,7.29,15.0
14.08.2023 01:30,77,7.61,15.2
14.08.2023 01:00,76,7.29,15.3
14.08.2023 00:30,77,7.61,15.5
14.08.2023 00:00,77,7.61,15.6
13.08.2023 23:30,77,7.61,15.8
13.08.2023 23:00,77,7.61,16.0
13.08.2023 22:30,77,7.61,16.1
13.08.2023 22:00,77,7.61,16.3
13.08.2023 21:30,77,7.61,16.5
13.08.2023 21:00,77,7.61,16.7
13.08.2023 20:30,78,7.94,16.9
13.08.2023 20:00,77,7.61,17.0
13.08.2023 19:30,78,7.94,17.2
13.08.2023 19:00,78,7.94,17.4
13.08.2023 18:30,78,7.94,17.5
13.08.2023 18:00,78,7.94,17.5
13.08.2023 17:30,78,7.94,17.5
13.08.2023 17:00,78,7.94,17.6
13.08.2023 16:30,79,8.28,17.5
13.08.2023 16:00,80,8.63,17.5
13.08.2023 15:30,80,8.63,17.3
13.08.2023 15:00,78,7.94,17.0
13.08.2023 14:30,80,8.63,16.8
13.08.2023 14:00,80,8.63,16.5
13.08.2023 13:30,81,8.98,16.3
13.08.2023 13:00,80,8.63,16.0
13.08.2023 12:30,80,8.63,15.7
13.08.2023 12:00,80,8.63,15.4
13.08.2023 11:30,81,8.98,15.0
13.08.2023 11:00,81,8.98,14.7
13.08.2023 10:30,81,8.98,14.3
13.08.2023 10:00,81,8.98,14.0
13.08.2023 09:30,81,8.98,13.8
13.08.2023 09:00,82,9.34,13.7
13.08.2023 08:30,81,8.98,13.5
13.08.2023 08:00,81,8.98,13.5
13.08.2023 07:30,82,9.34,13.5
13.08.2023 07:00,81,8.98,13.5
13.08.2023 06:30,81,8.98,13.6
13.08.2023 06:00,81,8.98,13.7
13.08.2023 05:30,81,8.98,13.7
13.08.2023 05:00,81,8.98,13.8
13.08.2023 04:30,81,8.98,13.8
13.08.2023 04:00,81,8.98,13.9
13.08.2023 03:30,81,8.98,14.0
13.08.2023 03:00,81,8.98,14.1
13.08.2023 02:30,82,9.34,14.1
13.08.2023 02:00,81,8.98,14.2
13.08.2023 01:30,81,8.98,14.3
13.08.2023 01:00,82,9.34,14.4
13.08.2023 00:30,82,9.34,14.7
13.08.2023 00:00,81,8.98,14.9
12.08.2023 23:30,82,9.34,15.0
12.08.2023 23:00,82,9.34,15.2
12.08.2023 22:30,82,9.34,15.4
12.08.2023 22:00,82,9.34,15.6
12.08.2023 21:30,82,9.34,15.7
12.08.2023 21:00,82,9.34,15.9
12.08.2023 20:30,82,9.34,16.0
12.08.2023 20:00,84,10.1,16.2
12.08.2023 19:30,82,9.34,16.3
12.08.2023 19:00,83,9.71,16.4
12.08.2023 18:30,82,9.34,16.5
12.08.2023 18:00,82,9.34,16.6
12.08.2023 17:30,83,9.71,16.6
