Datum,Vodostaj [cm],Pretok [mÂ³/s],Temperatura vode [Â°C]
17.08.2023 00:30,134,8.59,7.5
17.08.2023 00:00,134,8.59,7.6
16.08.2023 23:30,134,8.59,7.6
16.08.2023 23:00,134,8.59,7.7
16.08.2023 22:30,134,8.59,7.8
16.08.2023 22:00,134,8.59,7.9
16.08.2023 21:30,134,8.59,8.0
16.08.2023 21:00,134,8.59,8.1
16.08.2023 20:30,134,8.59,8.2
16.08.2023 20:00,134,8.59,8.3
16.08.2023 19:30,134,8.59,8.5
16.08.2023 19:00,134,8.59,8.7
16.08.2023 18:30,134,8.59,8.8
16.08.2023 18:00,135,8.89,9.0
16.08.2023 17:30,135,8.89,9.2
16.08.2023 17:00,135,8.89,9.4
16.08.2023 16:30,135,8.89,9.4
16.08.2023 16:00,135,8.89,9.5
16.08.2023 15:30,135,8.89,9.4
16.08.2023 15:00,135,8.89,9.4
16.08.2023 14:30,135,8.89,9.3
16.08.2023 14:00,135,8.89,9.1
16.08.2023 13:30,135,8.89,8.9
16.08.2023 13:00,135,8.89,8.8
16.08.2023 12:30,136,9.19,8.6
16.08.2023 12:00,136,9.19,8.3
16.08.2023 11:30,135,8.89,8.0
16.08.2023 11:00,135,8.89,7.8
16.08.2023 10:30,135,8.89,7.7
16.08.2023 10:00,135,8.89,7.6
16.08.2023 09:30,136,9.19,7.5
16.08.2023 09:00,136,9.19,7.4
16.08.2023 08:30,136,9.19,7.4
16.08.2023 08:00,136,9.19,7.3
16.08.2023 07:30,136,9.19,7.3
16.08.2023 07:00,136,9.19,7.3
16.08.2023 06:30,136,9.19,7.3
16.08.2023 06:00,136,9.19,7.3
16.08.2023 05:30,136,9.19,7.4
16.08.2023 05:00,136,9.19,7.4
16.08.2023 04:30,136,9.19,7.4
16.08.2023 04:00,136,9.19,7.4
16.08.2023 03:30,136,9.19,7.4
16.08.2023 03:00,136,9.19,7.4
16.08.2023 02:30,136,9.19,7.4
16.08.2023 02:00,136,9.19,7.5
16.08.2023 01:30,136,9.19,7.5
16.08.2023 01:00,137,9.50,7.5
16.08.2023 00:30,137,9.50,7.6
16.08.2023 00:00,136,9.19,7.6
15.08.2023 23:30,137,9.50,7.7
15.08.2023 23:00,136,9.19,7.7
15.08.2023 22:30,137,9.50,7.8
15.08.2023 22:00,136,9.19,7.9
15.08.2023 21:30,137,9.50,8.0
15.08.2023 21:00,137,9.50,8.1
15.08.2023 20:30,137,9.50,8.3
15.08.2023 20:00,137,9.50,8.5
15.08.2023 19:30,137,9.50,8.7
15.08.2023 19:00,137,9.50,8.9
15.08.2023 18:30,137,9.50,9.1
15.08.2023 18:00,137,9.50,9.3
15.08.2023 17:30,137,9.50,9.5
15.08.2023 17:00,137,9.50,9.6
15.08.2023 16:30,137,9.50,9.7
15.08.2023 16:00,138,9.81,9.7
15.08.2023 15:30,138,9.81,9.6
15.08.2023 15:00,137,9.50,9.6
15.08.2023 14:30,138,9.81,9.5
15.08.2023 14:00,138,9.81,9.3
15.08.2023 13:30,138,9.81,9.1
15.08.2023 13:00,138,9.81,8.9
15.08.2023 12:30,138,9.81,8.6
15.08.2023 12:00,138,9.81,8.3
15.08.2023 11:30,138,9.81,8.1
15.08.2023 11:00,138,9.81,7.9
15.08.2023 10:30,138,9.81,7.7
15.08.2023 10:00,138,9.81,7.5
15.08.2023 09:30,138,9.81,7.4
15.08.2023 09:00,138,9.81,7.3
15.08.2023 08:30,138,9.81,7.2
15.08.2023 08:00,138,9.81,7.2
15.08.2023 07:30,138,9.81,7.1
15.08.2023 07:00,138,9.81,7.1
15.08.2023 06:30,139,10.1,7.2
15.08.2023 06:00,139,10.1,7.2
15.08.2023 05:30,139,10.1,7.2
15.08.2023 05:00,139,10.1,7.2
15.08.2023 04:30,139,10.1,7.2
15.08.2023 04:00,139,10.1,7.2
15.08.2023 03:30,139,10.1,7.2
15.08.2023 03:00,139,10.1,7.3
15.08.2023 02:30,139,10.1,7.3
15.08.2023 02:00,139,10.1,7.3
15.08.2023 01:30,139,10.1,7.3
15.08.2023 01:00,139,10.1,7.4
15.08.2023 00:30,139,10.1,7.4
15.08.2023 00:00,139,10.1,7.4
14.08.2023 23:30,139,10.1,7.5
14.08.2023 23:00,139,10.1,7.6
14.08.2023 22:30,139,10.1,7.7
14.08.2023 22:00,140,10.5,7.8
14.08.2023 21:30,139,10.1,7.9
14.08.2023 21:00,140,10.5,8.0
14.08.2023 20:30,140,10.5,8.1
14.08.2023 20:00,140,10.5,8.3
14.08.2023 19:30,140,10.5,8.5
14.08.2023 19:00,140,10.5,8.7
14.08.2023 18:30,140,10.5,8.9
14.08.2023 18:00,140,10.5,9.1
14.08.2023 17:30,140,10.5,9.2
14.08.2023 17:00,141,10.8,9.4
14.08.2023 16:30,140,10.5,9.5
14.08.2023 16:00,140,10.5,9.5
14.08.2023 15:30,140,10.5,9.5
14.08.2023 15:00,141,10.8,9.4
14.08.2023 14:30,141,10.8,9.3
