Datum,Vodostaj [cm],Pretok [mÂ³/s],Temperatura vode [Â°C]
17.08.2023 00:30,100,0.905,15.2
17.08.2023 00:00,100,0.905,15.3
16.08.2023 23:30,100,0.905,15.3
16.08.2023 23:00,99,0.887,15.3
16.08.2023 22:30,98,0.869,15.4
16.08.2023 22:00,96,0.833,15.4
16.08.2023 21:30,95,0.816,15.4
16.08.2023 21:00,94,0.798,15.4
16.08.2023 20:30,93,0.781,15.4
16.08.2023 20:00,92,0.764,15.4
16.08.2023 19:30,92,0.764,15.5
16.08.2023 19:00,92,0.764,15.6
16.08.2023 18:30,92,0.764,15.7
16.08.2023 18:00,92,0.764,15.8
16.08.2023 17:30,92,0.764,15.9
16.08.2023 17:00,92,0.764,15.9
16.08.2023 16:30,92,0.764,15.9
16.08.2023 16:00,92,0.764,15.7
16.08.2023 15:30,93,0.781,15.5
16.08.2023 15:00,93,0.781,15.1
16.08.2023 14:30,93,0.781,14.8
16.08.2023 14:00,93,0.781,14.3
16.08.2023 13:30,93,0.781,14.0
16.08.2023 13:00,93,0.781,13.8
16.08.2023 12:30,93,0.781,13.6
16.08.2023 12:00,93,0.781,13.4
16.08.2023 11:30,93,0.781,13.3
16.08.2023 11:00,92,0.764,13.2
16.08.2023 10:30,93,0.781,13.2
16.08.2023 10:00,93,0.781,13.2
16.08.2023 09:30,93,0.781,13.3
16.08.2023 09:00,93,0.781,13.3
16.08.2023 08:30,93,0.781,13.3
16.08.2023 08:00,94,0.798,13.4
16.08.2023 07:30,94,0.798,13.5
16.08.2023 07:00,94,0.798,13.6
16.08.2023 06:30,94,0.798,13.6
16.08.2023 06:00,94,0.798,13.7
16.08.2023 05:30,94,0.798,13.8
16.08.2023 05:00,94,0.798,13.9
16.08.2023 04:30,94,0.798,14.0
16.08.2023 04:00,94,0.798,14.1
16.08.2023 03:30,94,0.798,14.2
16.08.2023 03:00,94,0.798,14.4
16.08.2023 02:30,94,0.798,14.6
16.08.2023 02:00,94,0.798,14.7
16.08.2023 01:30,94,0.798,14.8
16.08.2023 01:00,94,0.798,14.9
16.08.2023 00:30,94,0.798,15.0
16.08.2023 00:00,94,0.798,15.1
15.08.2023 23:30,95,0.816,15.1
15.08.2023 23:00,95,0.816,15.2
15.08.2023 22:30,95,0.816,15.2
15.08.2023 22:00,95,0.816,15.2
15.08.2023 21:30,95,0.816,15.2
15.08.2023 21:00,95,0.816,15.2
15.08.2023 20:30,95,0.816,15.2
15.08.2023 20:00,95,0.816,15.2
15.08.2023 19:30,95,0.816,15.2
15.08.2023 19:00,95,0.816,15.4
15.08.2023 18:30,96,0.833,15.5
15.08.2023 18:00,96,0.833,15.6
15.08.2023 17:30,96,0.833,15.7
15.08.2023 17:00,96,0.833,15.7
15.08.2023 16:30,96,0.833,15.7
15.08.2023 16:00,96,0.833,15.5
15.08.2023 15:30,96,0.833,15.3
15.08.2023 15:00,97,0.851,14.9
15.08.2023 14:30,97,0.851,14.5
15.08.2023 14:00,97,0.851,14.2
15.08.2023 13:30,97,0.851,13.8
15.08.2023 13:00,97,0.851,13.5
15.08.2023 12:30,96,0.833,13.3
15.08.2023 12:00,96,0.833,13.1
15.08.2023 11:30,96,0.833,13.0
15.08.2023 11:00,96,0.833,12.9
15.08.2023 10:30,96,0.833,12.9
15.08.2023 10:00,96,0.833,12.9
15.08.2023 09:30,96,0.833,13.0
15.08.2023 09:00,96,0.833,13.0
15.08.2023 08:30,96,0.833,13.1
15.08.2023 08:00,98,0.869,13.1
15.08.2023 07:30,96,0.833,13.3
15.08.2023 07:00,98,0.869,13.3
15.08.2023 06:30,97,0.851,13.4
15.08.2023 06:00,98,0.869,13.5
15.08.2023 05:30,98,0.869,13.6
15.08.2023 05:00,98,0.869,13.7
15.08.2023 04:30,98,0.869,13.8
15.08.2023 04:00,98,0.869,13.9
15.08.2023 03:30,98,0.869,14.0
15.08.2023 03:00,98,0.869,14.2
15.08.2023 02:30,98,0.869,14.3
15.08.2023 02:00,99,0.887,14.4
15.08.2023 01:30,99,0.887,14.7
15.08.2023 01:00,99,0.887,14.8
15.08.2023 00:30,99,0.887,14.9
15.08.2023 00:00,99,0.887,15.0
14.08.2023 23:30,99,0.887,15.1
14.08.2023 23:00,99,0.887,15.1
