Datum,Vodostaj [cm],Pretok [m³/s],Temperatura vode [°C]
30.08.2023 00:30,107,18.0,15.7
30.08.2023 00:00,108,18.5,15.8
29.08.2023 23:30,108,18.5,15.8
29.08.2023 23:00,109,19.1,15.8
29.08.2023 22:30,109,19.1,15.8
29.08.2023 22:00,110,19.6,15.7
29.08.2023 21:30,110,19.6,15.6
29.08.2023 21:00,112,20.7,15.4
29.08.2023 20:30,113,21.2,15.3
29.08.2023 20:00,115,22.3,15.2
29.08.2023 19:30,117,23.5,15.2
29.08.2023 19:00,119,24.6,15.2
29.08.2023 18:30,122,26.5,15.0
29.08.2023 18:00,126,29.0,14.7
29.08.2023 17:30,129,30.9,14.5
29.08.2023 17:00,130,31.6,14.5
29.08.2023 16:30,126,29.0,14.5
29.08.2023 16:00,122,26.5,14.7
29.08.2023 15:30,114,21.8,14.5
29.08.2023 15:00,106,17.5,14.8
29.08.2023 14:30,104,16.5,14.9
29.08.2023 14:00,104,16.5,15.0
29.08.2023 13:30,105,17.0,15.2
29.08.2023 13:00,105,17.0,15.4
29.08.2023 12:30,106,17.5,15.4
29.08.2023 12:00,106,17.5,15.5
29.08.2023 11:30,107,18.0,15.5
29.08.2023 11:00,107,18.0,15.5
29.08.2023 10:30,108,18.5,15.6
29.08.2023 10:00,108,18.5,15.6
29.08.2023 09:30,109,19.1,15.7
29.08.2023 09:00,110,19.6,15.8
29.08.2023 08:30,110,19.6,15.9
29.08.2023 08:00,107,18.0,16.1
29.08.2023 07:30,110,19.6,16.1
29.08.2023 07:00,112,20.7,16.3
29.08.2023 06:30,111,20.1,16.5
29.08.2023 06:00,111,20.1,16.6
29.08.2023 05:30,112,20.7,16.7
29.08.2023 05:00,112,20.7,16.8
29.08.2023 04:30,112,20.7,16.9
29.08.2023 04:00,113,21.2,17.0
29.08.2023 03:30,112,20.7,17.0
29.08.2023 03:00,114,21.8,17.1
29.08.2023 02:30,116,22.9,17.1
29.08.2023 02:00,118,24.1,17.4
29.08.2023 01:30,121,25.8,17.4
29.08.2023 01:00,123,27.1,17.5
29.08.2023 00:30,125,28.3,17.6
29.08.2023 00:00,128,30.2,17.7
28.08.2023 23:30,132,32.9,17.8
28.08.2023 23:00,136,35.7,17.8
28.08.2023 22:30,141,39.3,17.9
28.08.2023 22:00,148,44.4,18.1
28.08.2023 21:30,155,49.5,18.3
28.08.2023 21:00,165,56.7,18.3
28.08.2023 20:30,177,65.2,18.4
28.08.2023 20:00,191,75.2,18.3
28.08.2023 19:30,204,84.4,18.3
28.08.2023 19:00,210,88.6,18.4
28.08.2023 18:30,206,85.8,18.3
28.08.2023 18:00,190,74.5,18.3
28.08.2023 17:30,171,61.0,18.6
28.08.2023 17:00,156,50.2,17.7
28.08.2023 16:30,141,39.3,17.6
28.08.2023 16:00,125,28.3,17.2
28.08.2023 15:30,100,14.7,17.0
28.08.2023 15:00,85,8.59,16.8
28.08.2023 14:30,78,6.33,16.7
28.08.2023 14:00,74,5.21,16.9
28.08.2023 13:30,66,3.33,16.7
28.08.2023 13:00,65,3.14,16.5
28.08.2023 12:30,62,2.58,16.4
28.08.2023 12:00,62,2.58,16.3
28.08.2023 11:30,61,2.42,16.3
28.08.2023 11:00,60,2.25,16.2
28.08.2023 10:30,61,2.42,16.3
28.08.2023 10:00,64,2.94,16.2
28.08.2023 09:30,64,2.94,16.0
28.08.2023 09:00,62,2.58,16.0
28.08.2023 08:30,62,2.58,16.0
28.08.2023 08:00,62,2.58,16.0
28.08.2023 07:30,61,2.42,16.0
28.08.2023 07:00,61,2.42,16.0
28.08.2023 06:30,61,2.42,16.0
28.08.2023 06:00,61,2.42,16.1
28.08.2023 05:30,61,2.42,16.1
28.08.2023 05:00,61,2.42,16.2
28.08.2023 04:30,61,2.42,16.2
28.08.2023 04:00,61,2.42,16.2
28.08.2023 03:30,61,2.42,16.3
28.08.2023 03:00,61,2.42,16.3
28.08.2023 02:30,61,2.42,16.4
28.08.2023 02:00,62,2.58,16.4
28.08.2023 01:30,61,2.42,16.5
28.08.2023 01:00,61,2.42,16.6
28.08.2023 00:30,61,2.42,16.6
28.08.2023 00:00,61,2.42,16.7
27.08.2023 23:30,61,2.42,16.7
27.08.2023 23:00,61,2.42,16.8
27.08.2023 22:30,62,2.58,16.9
27.08.2023 22:00,61,2.42,16.9
27.08.2023 21:30,61,2.42,17.0
27.08.2023 21:00,61,2.42,17.0
27.08.2023 20:30,62,2.58,17.1
27.08.2023 20:00,62,2.58,17.2
27.08.2023 19:30,62,2.58,17.3
27.08.2023 19:00,62,2.58,17.4
27.08.2023 18:30,62,2.58,17.5
27.08.2023 18:00,62,2.58,17.5
27.08.2023 17:30,62,2.58,17.6
27.08.2023 17:00,62,2.58,17.6
27.08.2023 16:30,62,2.58,17.6
27.08.2023 16:00,62,2.58,17.6
27.08.2023 15:30,62,2.58,17.6
27.08.2023 15:00,62,2.58,17.5
27.08.2023 14:30,62,2.58,17.5
27.08.2023 14:00,62,2.58,17.3
