Datum,Vodostaj [cm],Pretok [mÂ³/s],Temperatura vode [Â°C]
17.08.2023 00:30,87,2.89,15.9
17.08.2023 00:00,88,3.32,15.9
16.08.2023 23:30,87,2.89,15.9
16.08.2023 23:00,87,2.89,15.9
16.08.2023 22:30,88,3.32,15.9
16.08.2023 22:00,88,3.32,15.9
16.08.2023 21:30,88,3.32,15.9
16.08.2023 21:00,88,3.32,15.9
16.08.2023 20:30,88,3.32,15.9
16.08.2023 20:00,88,3.32,15.9
16.08.2023 19:30,88,3.32,15.9
16.08.2023 19:00,88,3.32,15.9
16.08.2023 18:30,88,3.32,15.8
16.08.2023 18:00,88,3.32,15.8
16.08.2023 17:30,88,3.32,15.8
16.08.2023 17:00,88,3.32,15.7
16.08.2023 16:30,88,3.32,15.7
16.08.2023 16:00,88,3.32,15.7
16.08.2023 15:30,88,3.32,15.6
16.08.2023 15:00,88,3.32,15.6
16.08.2023 14:30,88,3.32,15.5
16.08.2023 14:00,88,3.32,15.4
16.08.2023 13:30,88,3.32,15.2
16.08.2023 13:00,88,3.32,15.2
16.08.2023 12:30,87,2.89,15.0
16.08.2023 12:00,87,2.89,14.9
16.08.2023 11:30,87,2.89,14.9
16.08.2023 11:00,88,3.32,14.8
16.08.2023 10:30,88,3.32,14.8
16.08.2023 10:00,88,3.32,14.8
16.08.2023 09:30,88,3.32,14.8
16.08.2023 09:00,88,3.32,14.9
16.08.2023 08:30,88,3.32,14.9
16.08.2023 08:00,88,3.32,15.0
16.08.2023 07:30,88,3.32,15.1
16.08.2023 07:00,88,3.32,15.2
16.08.2023 06:30,88,3.32,15.2
16.08.2023 06:00,89,3.78,15.3
16.08.2023 05:30,89,3.78,15.4
16.08.2023 05:00,89,3.78,15.5
16.08.2023 04:30,89,3.78,15.5
16.08.2023 04:00,89,3.78,15.6
16.08.2023 03:30,89,3.78,15.6
16.08.2023 03:00,89,3.78,15.7
16.08.2023 02:30,89,3.78,15.7
16.08.2023 02:00,89,3.78,15.7
16.08.2023 01:30,89,3.78,15.7
16.08.2023 01:00,89,3.78,15.7
16.08.2023 00:30,89,3.78,15.7
16.08.2023 00:00,89,3.78,15.7
15.08.2023 23:30,89,3.78,15.7
15.08.2023 23:00,89,3.78,15.7
15.08.2023 22:30,89,3.78,15.7
15.08.2023 22:00,89,3.78,15.7
15.08.2023 21:30,89,3.78,15.7
15.08.2023 21:00,89,3.78,15.7
15.08.2023 20:30,89,3.78,15.7
15.08.2023 20:00,89,3.78,15.7
15.08.2023 19:30,89,3.78,15.7
15.08.2023 19:00,89,3.78,15.7
15.08.2023 18:30,90,4.25,15.7
15.08.2023 18:00,89,3.78,15.7
15.08.2023 17:30,90,4.25,15.6
15.08.2023 17:00,90,4.25,15.6
15.08.2023 16:30,90,4.25,15.6
15.08.2023 16:00,90,4.25,15.5
15.08.2023 15:30,90,4.25,15.4
15.08.2023 15:00,90,4.25,15.3
15.08.2023 14:30,90,4.25,15.2
15.08.2023 14:00,90,4.25,15.1
15.08.2023 13:30,90,4.25,15.0
15.08.2023 13:00,90,4.25,14.8
15.08.2023 12:30,90,4.25,14.7
15.08.2023 12:00,90,4.25,14.4
15.08.2023 11:30,90,4.25,14.3
15.08.2023 11:00,90,4.25,14.2
15.08.2023 10:30,90,4.25,14.2
15.08.2023 10:00,90,4.25,14.1
15.08.2023 09:30,90,4.25,14.1
15.08.2023 09:00,90,4.25,14.1
15.08.2023 08:30,90,4.25,14.2
15.08.2023 08:00,90,4.25,14.2
15.08.2023 07:30,90,4.25,14.3
15.08.2023 07:00,90,4.25,14.4
15.08.2023 06:30,90,4.25,14.5
15.08.2023 06:00,90,4.25,14.7
15.08.2023 05:30,90,4.25,14.8
15.08.2023 05:00,90,4.25,14.9
15.08.2023 04:30,90,4.25,15.0
15.08.2023 04:00,90,4.25,15.1
15.08.2023 03:30,90,4.25,15.2
15.08.2023 03:00,90,4.25,15.3
15.08.2023 02:30,90,4.25,15.3
15.08.2023 02:00,90,4.25,15.4
15.08.2023 01:30,90,4.25,15.4
15.08.2023 01:00,90,4.25,15.4
15.08.2023 00:30,90,4.25,15.5
15.08.2023 00:00,91,4.75,15.5
14.08.2023 23:30,90,4.25,15.5
14.08.2023 23:00,90,4.25,15.5
14.08.2023 22:30,91,4.75,15.5
14.08.2023 22:00,91,4.75,15.5
14.08.2023 21:30,91,4.75,15.6
14.08.2023 21:00,91,4.75,15.6
14.08.2023 20:30,91,4.75,15.6
14.08.2023 20:00,91,4.75,15.6
14.08.2023 19:30,91,4.75,15.6
14.08.2023 19:00,91,4.75,15.6
14.08.2023 18:30,91,4.75,15.6
14.08.2023 18:00,91,4.75,15.5
14.08.2023 17:30,91,4.75,15.5
14.08.2023 17:00,91,4.75,15.5
14.08.2023 16:30,91,4.75,15.5
14.08.2023 16:00,91,4.75,15.4
14.08.2023 15:30,91,4.75,15.3
14.08.2023 15:00,91,4.75,15.3
14.08.2023 14:30,91,4.75,15.2
14.08.2023 14:00,91,4.75,15.0
14.08.2023 13:30,91,4.75,14.9
14.08.2023 13:00,91,4.75,14.7
14.08.2023 12:30,91,4.75,14.5
14.08.2023 12:00,91,4.75,14.3
14.08.2023 11:30,91,4.75,14.2
14.08.2023 11:00,92,5.26,14.1
14.08.2023 10:30,92,5.26,14.0
14.08.2023 10:00,92,5.26,14.0
14.08.2023 09:30,91,4.75,14.0
14.08.2023 09:00,92,5.26,13.9
14.08.2023 08:30,91,4.75,13.9
