Datum,Vodostaj [cm],Pretok [m³/s],Temperatura vode [°C]
30.08.2023 00:30,158,17.2,7.1
30.08.2023 00:00,158,17.2,7.1
29.08.2023 23:30,159,17.6,7.1
29.08.2023 23:00,160,18.0,7.1
29.08.2023 22:30,160,18.0,7.1
29.08.2023 22:00,160,18.0,7.1
29.08.2023 21:30,161,18.4,7.2
29.08.2023 21:00,162,18.9,7.2
29.08.2023 20:30,162,18.9,7.2
29.08.2023 20:00,163,19.3,7.2
29.08.2023 19:30,163,19.3,7.3
29.08.2023 19:00,163,19.3,7.3
29.08.2023 18:30,163,19.3,7.4
29.08.2023 18:00,164,19.7,7.4
29.08.2023 17:30,164,19.7,7.4
29.08.2023 17:00,165,20.2,7.4
29.08.2023 16:30,165,20.2,7.4
29.08.2023 16:00,165,20.2,7.3
29.08.2023 15:30,166,20.6,7.3
29.08.2023 15:00,166,20.6,7.3
29.08.2023 14:30,167,21.1,7.4
29.08.2023 14:00,167,21.1,7.4
29.08.2023 13:30,168,21.5,7.3
29.08.2023 13:00,169,22.0,7.3
29.08.2023 12:30,169,22.0,7.3
29.08.2023 12:00,170,22.4,7.2
29.08.2023 11:30,170,22.4,7.2
29.08.2023 11:00,171,22.9,7.2
29.08.2023 10:30,171,22.9,7.2
29.08.2023 10:00,171,22.9,7.1
29.08.2023 09:30,171,22.9,7.1
29.08.2023 09:00,172,23.3,7.1
29.08.2023 08:30,172,23.3,7.0
29.08.2023 08:00,172,23.3,7.0
29.08.2023 07:30,173,23.8,7.0
29.08.2023 07:00,173,23.8,7.0
29.08.2023 06:30,173,23.8,7.0
29.08.2023 06:00,173,23.8,7.0
29.08.2023 05:30,174,24.3,7.0
29.08.2023 05:00,174,24.3,7.1
29.08.2023 04:30,175,24.7,7.1
29.08.2023 04:00,176,25.2,7.1
29.08.2023 03:30,175,24.7,7.1
29.08.2023 03:00,177,25.7,7.2
29.08.2023 02:30,177,25.7,7.1
29.08.2023 02:00,177,25.7,7.2
29.08.2023 01:30,177,25.7,7.2
29.08.2023 01:00,177,25.7,7.2
29.08.2023 00:30,177,25.7,7.3
29.08.2023 00:00,177,25.7,7.3
28.08.2023 23:30,177,25.7,7.4
28.08.2023 23:00,177,25.7,7.4
28.08.2023 22:30,176,25.2,7.4
28.08.2023 22:00,175,24.7,7.5
28.08.2023 21:30,174,24.3,7.7
28.08.2023 21:00,172,23.3,7.8
28.08.2023 20:30,169,22.0,8.0
28.08.2023 20:00,165,20.2,8.3
28.08.2023 19:30,160,18.0,8.7
28.08.2023 19:00,156,16.4,9.2
28.08.2023 18:30,148,13.2,9.6
28.08.2023 18:00,144,11.8,9.9
