Datum,Vodostaj [cm],Pretok [mÂ³/s],Temperatura vode [Â°C]
17.08.2023 00:30,-,-,-
17.08.2023 00:00,-,-,-
16.08.2023 23:30,-,-,-
16.08.2023 23:00,-,-,-
16.08.2023 22:30,-,-,-
16.08.2023 22:00,-,-,-
16.08.2023 21:30,-,-,-
16.08.2023 21:00,-,-,-
16.08.2023 20:30,-,-,-
16.08.2023 20:00,-,-,-
16.08.2023 19:30,-,-,-
16.08.2023 19:00,-,-,-
16.08.2023 18:30,-,-,-
16.08.2023 18:00,-,-,-
16.08.2023 17:30,-,-,-
16.08.2023 17:00,-,-,-
16.08.2023 16:30,-,-,-
16.08.2023 16:00,-,-,-
16.08.2023 15:30,-,-,-
16.08.2023 15:00,-,-,-
16.08.2023 14:30,-,-,-
16.08.2023 14:00,-,-,-
16.08.2023 13:30,-,-,-
16.08.2023 13:00,-,-,-
16.08.2023 12:30,-,-,-
16.08.2023 12:00,-,-,-
16.08.2023 11:30,-,-,-
16.08.2023 11:00,-,-,-
16.08.2023 10:30,-,-,-
16.08.2023 10:00,-,-,-
16.08.2023 09:30,-,-,-
16.08.2023 09:00,-,-,-
16.08.2023 08:30,-,-,-
16.08.2023 08:00,-,-,-
16.08.2023 07:30,-,-,-
16.08.2023 07:00,-,-,-
16.08.2023 06:30,-,-,-
16.08.2023 06:00,-,-,-
16.08.2023 05:30,-,-,-
16.08.2023 05:00,-,-,-
16.08.2023 04:30,-,-,-
16.08.2023 04:00,-,-,-
16.08.2023 03:30,-,-,-
16.08.2023 03:00,-,-,-
16.08.2023 02:30,-,-,-
16.08.2023 02:00,-,-,-
16.08.2023 01:30,-,-,-
16.08.2023 01:00,-,-,-
16.08.2023 00:30,-,-,-
16.08.2023 00:00,-,-,-
15.08.2023 23:30,-,-,-
15.08.2023 23:00,-,-,-
15.08.2023 22:30,-,-,-
15.08.2023 22:00,-,-,-
15.08.2023 21:30,-,-,-
15.08.2023 21:00,-,-,-
15.08.2023 20:30,-,-,-
15.08.2023 20:00,-,-,-
15.08.2023 19:30,-,-,-
15.08.2023 19:00,-,-,-
15.08.2023 18:30,-,-,-
15.08.2023 18:00,-,-,-
15.08.2023 17:30,-,-,-
15.08.2023 17:00,-,-,-
15.08.2023 16:30,-,-,-
15.08.2023 16:00,-,-,-
15.08.2023 15:30,-,-,-
15.08.2023 15:00,-,-,-
15.08.2023 14:30,-,-,-
15.08.2023 14:00,-,-,-
15.08.2023 13:30,-,-,-
15.08.2023 13:00,-,-,-
15.08.2023 12:30,-,-,-
15.08.2023 12:00,-,-,-
15.08.2023 11:30,-,-,-
15.08.2023 11:00,-,-,-
15.08.2023 10:30,-,-,-
15.08.2023 10:00,-,-,-
15.08.2023 09:30,-,-,-
15.08.2023 09:00,-,-,-
15.08.2023 08:30,-,-,-
15.08.2023 08:00,-,-,-
15.08.2023 07:30,-,-,-
15.08.2023 07:00,-,-,-
15.08.2023 06:30,-,-,-
15.08.2023 06:00,-,-,-
15.08.2023 05:30,-,-,-
15.08.2023 05:00,-,-,-
15.08.2023 04:30,-,-,-
15.08.2023 04:00,-,-,-
15.08.2023 03:30,-,-,-
15.08.2023 03:00,-,-,-
15.08.2023 02:30,-,-,-
15.08.2023 02:00,-,-,-
15.08.2023 01:30,-,-,-
15.08.2023 01:00,-,-,-
15.08.2023 00:30,-,-,-
15.08.2023 00:00,-,-,-
14.08.2023 23:30,-,-,-
14.08.2023 23:00,-,-,-
14.08.2023 22:30,-,-,-
14.08.2023 22:00,-,-,-
14.08.2023 21:30,-,-,-
14.08.2023 21:00,50,0.628,22.8
14.08.2023 20:30,50,0.628,22.8
14.08.2023 20:00,50,0.628,22.7
14.08.2023 19:30,50,0.628,22.7
14.08.2023 19:00,51,0.682,22.7
14.08.2023 18:30,50,0.628,22.7
14.08.2023 18:00,50,0.628,22.8
14.08.2023 17:30,50,0.628,22.8
14.08.2023 17:00,50,0.628,22.9
14.08.2023 16:30,49,0.577,23.1
14.08.2023 16:00,49,0.577,23.3
14.08.2023 15:30,49,0.577,23.3
14.08.2023 15:00,49,0.577,23.3
14.08.2023 14:30,49,0.577,23.3
14.08.2023 14:00,49,0.577,23.3
14.08.2023 13:30,49,0.577,23.4
14.08.2023 13:00,49,0.577,23.5
14.08.2023 12:30,49,0.577,23.3
14.08.2023 12:00,49,0.577,23.0
14.08.2023 11:30,-,-,-
14.08.2023 11:00,49,0.577,22.8
14.08.2023 10:30,49,0.577,22.7
14.08.2023 10:00,49,0.577,22.6
14.08.2023 09:30,49,0.577,22.6
14.08.2023 09:00,49,0.577,22.5
14.08.2023 08:30,49,0.577,22.5
14.08.2023 08:00,49,0.577,22.5
14.08.2023 07:30,49,0.577,22.6
14.08.2023 07:00,49,0.577,22.6
14.08.2023 06:30,49,0.577,22.6
14.08.2023 06:00,49,0.577,22.6
14.08.2023 05:30,49,0.577,22.6
14.08.2023 05:00,49,0.577,22.7
14.08.2023 04:30,49,0.577,22.8
14.08.2023 04:00,49,0.577,22.8
14.08.2023 03:30,49,0.577,22.8
14.08.2023 03:00,49,0.577,22.9
14.08.2023 02:30,49,0.577,22.9
14.08.2023 02:00,49,0.577,22.9
14.08.2023 01:30,49,0.577,23.0
14.08.2023 01:00,49,0.577,23.1
14.08.2023 00:30,49,0.577,23.1
14.08.2023 00:00,49,0.577,23.2
13.08.2023 23:30,49,0.577,23.2
13.08.2023 23:00,49,0.577,23.2
13.08.2023 22:30,49,0.577,23.3
13.08.2023 22:00,49,0.577,23.3
13.08.2023 21:30,49,0.577,23.3
