Datum,Vodostaj [cm],Pretok [m³/s],Temperatura vode [°C]
30.08.2023 00:30,88,0.821,11.5
30.08.2023 00:00,88,0.821,11.6
29.08.2023 23:30,88,0.821,11.7
29.08.2023 23:00,88,0.821,11.9
29.08.2023 22:30,89,0.925,12.0
29.08.2023 22:00,89,0.925,12.1
29.08.2023 21:30,89,0.925,12.3
29.08.2023 21:00,89,0.925,12.4
29.08.2023 20:30,89,0.925,12.6
29.08.2023 20:00,89,0.925,12.7
29.08.2023 19:30,89,0.925,12.7
29.08.2023 19:00,90,1.04,12.7
29.08.2023 18:30,90,1.04,12.4
29.08.2023 18:00,91,1.17,12.3
29.08.2023 17:30,93,1.46,12.4
29.08.2023 17:00,93,1.46,12.5
29.08.2023 16:30,88,0.821,12.6
29.08.2023 16:00,87,0.727,12.6
29.08.2023 15:30,87,0.727,12.7
29.08.2023 15:00,86,0.642,12.7
29.08.2023 14:30,86,0.642,12.8
29.08.2023 14:00,86,0.642,12.9
29.08.2023 13:30,86,0.642,12.6
29.08.2023 13:00,86,0.642,12.6
29.08.2023 12:30,86,0.642,12.7
29.08.2023 12:00,86,0.642,12.3
29.08.2023 11:30,85,0.565,12.1
29.08.2023 11:00,85,0.565,12.1
29.08.2023 10:30,85,0.565,12.0
29.08.2023 10:00,85,0.565,11.9
29.08.2023 09:30,86,0.642,11.8
29.08.2023 09:00,86,0.642,11.8
29.08.2023 08:30,86,0.642,11.8
29.08.2023 08:00,85,0.565,11.8
29.08.2023 07:30,86,0.642,11.8
29.08.2023 07:00,85,0.565,11.8
29.08.2023 06:30,86,0.642,11.8
29.08.2023 06:00,86,0.642,11.9
29.08.2023 05:30,86,0.642,12.0
29.08.2023 05:00,86,0.642,12.1
29.08.2023 04:30,86,0.642,12.1
29.08.2023 04:00,86,0.642,12.2
29.08.2023 03:30,86,0.642,12.2
29.08.2023 03:00,86,0.642,12.3
29.08.2023 02:30,86,0.642,12.3
29.08.2023 02:00,86,0.642,12.2
29.08.2023 01:30,87,0.727,12.1
